index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp2	77.1	58.9	58.3	32.6	31.5	39.2
hp7	16.5	12	14.4	5.7	5.7	8.9
hp8	3.2	5.5	6	12.4	8.6	16.9
hp9	53.9	45.4	52.8	26.1	34.9	35.9
hp10	33.9	30.6	36.2	18.3	24.5	23.9
hp11	85.5	107.9	190.6	29.4	62.4	38.6
hp14	94.3	131.7	87.2	44.2	72.2	54
hp15	42.9	22.9	42.9	17.7	13.7	12.3
hp19	6.6	11.8	11.1	21.6	15	23.1
hp22	44.3	35.7	38	52.9	79.7	59.2
hp23	33.3	34.9	48.9	84	53.8	62
hp24	104.1	92.3	52.8	127.1	242.3	260.3
hp25	27.6	21.4	24.6	18.1	11.2	14.9
hp27	10.2	7.2	9.5	13.4	11.4	14.9
hp29	124.8	108.7	144.6	239.6	159.5	187.7
hp32	5.2	5.7	7.7	12.6	8.3	9.2
hp35	124.1	81.2	101	53.8	71.3	72.1
hp36	34.4	28.1	39.5	21.8	21.9	27.7
hp38	6.1	5.8	5.6	3.8	5	4.4
hp39	18.6	23	30	15.8	11.7	16.3
hp40	31.7	17	32	8.1	11.5	16.9
hp41	43.6	52.5	67.7	28.2	33.9	41.6
hp42	13.5	14.8	16.4	10.3	10.5	13.3
hp45	81.5	49	74.8	32.9	48.6	38.8
hp49	40.3	16.3	24.7	7.8	12.6	13
hp50	65	105.9	97.8	161.4	116.8	153.4
hp56	113.1	122.6	169.8	235.7	171.7	189.8
hp57	28.3	11.4	10.8	4	5.8	8
hp61	45.9	73	46.3	67.6	129.3	139.9
hp64	13.5	31.1	30.8	63.8	42.6	55.7
hp66	32.8	22	29.4	9	19.6	15.9
hp68	9.7	9.5	6.9	9.9	15	13.6
hp69	53.2	30.2	33.9	17.7	16.7	30.7
hp72	13.5	18.7	22.1	11.8	10.5	12.6
hp73	55.7	104	107.3	170.4	119.9	184.9
hp74	698	377.6	532.5	274.6	295.8	387.1
hp75	27.8	20.6	16.5	14	12.2	15.4
hp77	12.8	15.3	14.4	8.1	9.2	12.6
hp78	10.7	14	10.5	17.2	17.7	12.9
hp81	9	9.9	10.8	6.4	9	7.3
hp82	33.8	58.6	61.1	83.7	67.1	102.7
hp89	60.5	85.9	93.2	144.1	91.4	122.9
hp90	7.7	9.7	10.2	12.8	10	13
hp91	43.2	17.2	37.6	16.5	10.7	16.3
hp94	59.8	46.4	52.2	27.6	27.9	46.9
hp95	28.6	27.4	28.5	13.7	23.6	18.2
hp96	86.1	37.9	53.9	19.9	27.2	42.3
hp97	25.7	16.2	24.2	12	12.6	18.6
hp98	64.5	36.6	53.4	29.7	36.8	31.1
hp99	19.2	46.7	40.1	45.2	76.1	98.6
hp100	10.8	14.2	15.5	9.5	9.8	10.7
hp102	7	25.9	26	62.6	42.2	58.2
hp116	21.2	26.9	40.6	9.6	22.8	15.8
hp117	4.6	8	9.9	19	9.8	11.7
hp119	177.1	371.9	326.7	515.9	419.1	541.5
hp120	9.5	10.3	12.7	6.1	9.6	4.7
hp121	97.4	216.9	197.9	354.9	245.9	301.2
hp122	26.4	37.7	45.2	132	45.8	68.5
hp123	4.3	6.2	9.3	2.4	3	5.3
hp125	31.4	41.6	38	28.5	29.4	32.9
hp130	21.1	22.6	23.8	13.3	20.4	17.2
hp136	29.4	31.1	25	12.5	20.6	23.3
hp137	5.6	7	9.5	9.5	11.5	10
hp139	7	10.3	7.2	10.7	35.7	15.9
hp140	12.7	24	20.4	30.5	24.2	31.3
hp142	32.7	59	84.3	121.1	87	101.1
hp146	97.3	16	28.1	8	10.7	13.4
hp147	22.3	38.2	21.3	9.3	20.7	17.2
hp148	40.4	19.3	22	15.6	14.2	15.8
hp151	2.3	4.3	2.4	5.2	3.5	4.9
hp152	5.2	9	8.2	3.5	5.7	5.4
hp155	12.3	10.4	11.7	12.1	16.3	13.4
hp158	13.6	8.7	12	9.6	4.6	7.7
hp159	17.2	21.1	34.3	11.7	20.1	12.9
hp160	95.1	26.3	32.1	22.1	13.3	20.3
hp161	23.1	91.5	90.9	225.2	95	172.6
hp162	269.5	147.8	155.9	158.8	89.7	113.2
hp165	10.7	42.4	41.9	82.7	66.3	69.6
hp168	20.2	30.3	19	27.3	84.1	40.4
hp169	12.6	10.6	15.2	14	17	24.7
hp170	13.8	59.8	69.4	123.8	111	122.8
hp174	25.3	31.3	55.6	15.2	30.4	19.1
hp175	37.4	25.6	17.3	16.8	15.7	14.9
hp176	75.8	101.9	120	68.2	63.6	88.9
hp177	47.9	38.9	29.4	30.1	23.6	31.5
hp180	2.8	4.5	3.7	4.6	5.2	4.5
hp183	510.9	32.1	113.3	25.3	19.1	23.3
hp184	73.1	38.6	41.2	17	39.7	32.3
hp185	26.8	36.7	21.7	10.2	19.3	23.1
