index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp1	955.2	1234.1	1094.8	2079	1964.1	2881.3
hp2	4267.6	4334.1	3824.7	2858.3	2931.8	3429
hp3	49714.9	50600.8	45330	27702.6	35974.9	32465.1
hp4	328.3	378.8	359.8	453.8	408.1	468.4
hp5	254.7	247.4	238.5	309.6	305.9	360.4
hp6	3310.1	3760.3	2730.2	5066.5	4555.2	5327.6
hp7	5051.3	3706	4478.7	2554.7	3192.7	3250.6
hp8	34627.2	34035.4	28401.3	17591.3	25343.6	19941.8
hp9	4872.2	5357.2	4558.2	3566.1	4319.2	3846.2
hp10	221.3	280.3	277.2	330.5	437.7	489.3
hp11	269.1	272.6	327.1	204.2	203	247.2
hp12	7067.1	7266.9	7567.3	8223.9	9713.6	9108.5
hp13	1938.9	1963.1	2002.7	1351.1	1539.8	1625.1
hp14	28842.9	28708.6	27746.6	14661	19902	19497.5
hp15	55.4	46.3	38.9	19	30.7	29.5
hp16	11579	10351.4	12121.1	9602.7	9031.1	9854.3
hp17	41155	30836.9	25269.1	16304.7	22021.7	18720.9
hp18	491.6	514.8	639.6	385.9	440	395
hp19	8.3	8.7	6.8	9.5	10.8	10.6
hp20	257.9	229.6	290.3	170.5	199.7	220.2
hp21	859.4	666.3	820.5	497.5	590.7	648.5
hp22	72.6	36.3	59.4	16	31.8	28.5
hp23	25.9	20.5	21.6	14.8	18	19
hp24	4356.7	3819.1	4638.1	2835.1	3366	3710
hp25	2192.4	3234.6	3097.3	3605.1	5075	6493.5
hp26	137.5	200.3	166.6	114.1	106.9	128.1
hp27	2217	2391.9	2004.9	1739.8	1980.7	1864.9
hp28	5.1	6.2	7.9	8.9	8.5	11.4
hp29	555.7	230.9	243.1	73.3	170.3	135.4
hp30	25.6	41.2	41.4	55.6	65.8	62.2
hp31	4.8	9	6.6	14.8	9	13.1
hp32	20589	9917.2	13919.6	5583.3	8133.1	8348
hp33	19.1	13.6	14.4	19.4	21.1	24.8
hp34	412.5	598.2	572.7	676.1	1136.9	1363.8
hp35	79.7	39.3	56.1	32	29.2	25.1
hp36	84.7	74.2	78.9	53.8	59.1	71.2
hp37	167.4	179.6	189.1	155.7	118.1	142.4
hp38	59.7	58.7	63.4	50.6	47.6	56.8
hp39	20	25.8	25.7	35.7	26.8	37.1
hp40	647.9	640.2	829.3	522.3	521	580.9
hp41	1401.3	1388.6	1798.2	1333.3	1051.2	1121.9
hp42	111.7	90.2	139	65.9	76.9	89.3
hp43	15.7	17.6	16.2	18.6	25.6	22.3
hp45	35.9	51.7	44.3	64.2	57.1	59.2
hp46	8813.3	14614.6	10715.2	21835.8	13759.1	18163.2
hp47	355.3	728.5	642.5	745.3	1164.1	1451
hp48	208.3	159.1	163.1	198.4	233	246.1
hp49	1062	814.7	1313.7	664.6	653	831.4
hp50	80	120.2	123	162.5	135.6	171
hp52	570.9	700.8	752.8	771.3	824.2	1007.4
hp53	26.5	42.6	51.8	52.3	71.3	79.4
hp54	1632.6	2617.5	2885.5	2915.5	7993.6	7933
hp55	2926.7	3936.8	3819.4	4207.8	6556.6	8703.7
hp56	97.1	113.9	145.7	151.4	149.5	182.1
hp57	5.8	3.7	5.9	3.2	3.1	4
hp58	43	61.4	66.6	76.5	74.8	128.7
hp59	5.6	5	8.7	9.7	13.2	7.9
hp60	347.7	264.5	312.3	199.5	267.9	252.2
hp61	293.1	445.3	425.7	540.3	548.2	568.4
hp62	7623.6	9330	14123.5	3758.3	4873.7	8350.7
hp63	203	229.9	172	154.6	123.8	179.2
hp64	33184.4	30623.3	37202.4	30665.5	24061.2	28842.8
hp65	48.1	29.6	31	20.9	22.8	28.9
hp66	5505.3	8525.6	7863	7980.3	12440.9	13181.9
hp67	25049.5	30055.4	37675.5	34060.1	46680.4	56341.8
hp68	216.4	576.6	634.8	850.3	768	1642.8
hp69	111.1	86.1	93.6	81.3	76.1	81.3
hp70	46.5	44.5	42.8	28.4	41.2	27.6
hp71	351.6	477.6	404.6	468.7	823	1056.4
hp72	77.9	45.7	54.7	33.7	45.1	41.1
hp73	17.5	24.4	32.1	53.5	33.1	32.1
hp74	234.1	346.4	262.8	506.9	350.2	336.3
hp75	40.7	32.3	40.3	34	30.1	30.1
hp76	2605.1	2097.7	2312.6	1905.6	2037.4	2069.1
hp77	7	8.7	11.9	13.6	13.9	11.7
hp78	134.3	188.4	217.2	276.4	263.3	209.2
hp79	58.5	54.5	77.4	36.1	53.9	49.6
hp80	32.1	28.9	19.4	45.3	30.8	39.4
hp81	1111.1	1061.2	1377.7	940.4	949.9	1020.9
hp82	138.4	130.3	131.4	143	151.1	179.3
hp83	128.6	154.7	254.8	226.8	259.4	400.7
hp84	33.1	31.8	30.9	45.4	33.4	44.6
hp85	1535	941.4	1054.9	712.5	814.5	935.1
hp86	10725.7	21192.7	20704.2	20408.6	39755.1	31609.7
hp87	2375.8	3918.6	3534.3	5209	3832.3	4807.3
hp88	11676.5	14780.5	11747.8	23819.9	13846	18316.4
hp89	6790.8	8482.5	9772.2	11004.3	9194.5	11896.7
hp90	247.3	444.4	426.3	605.9	573.8	531.7
hp91	617.1	676.6	710.3	391.5	563.4	567.7
hp92	8035	5097.2	6042.9	4994.6	4047.2	4927
hp93	570.5	638.3	586.7	513.5	536	584.2
hp94	23.3	28.8	18.8	5.8	19.4	9.9
hp95	27671.5	49865.2	41079.8	45752.5	68914	60069.8
hp96	5.6	6.3	6.1	8	13.1	7.3
hp97	4319.4	2292.4	3387.7	2161	1993.8	2092.4
hp98	82.4	112.6	109.3	110.9	137.8	131.6
hp100	131.6	194.5	308.4	322.8	283.9	456.8
hp101	20.4	25.9	34.7	31.9	40.5	40
hp102	701.1	472.6	730.3	424.5	464.9	471.6
hp103	474.4	403.2	440.3	389.5	397.3	392.8
hp104	617.9	680.4	558.9	525.8	547.8	559.3
hp105	38.6	41.3	78.5	18.7	36.9	34.1
hp106	917.4	842.6	1268.9	640	795.5	839.5
hp107	2583.4	2029.4	2860.5	2171.9	1635.1	2054.7
hp108	5846	4368.5	4342.8	2548.3	4173.6	3818.8
hp109	86.1	187.9	192.2	318.9	201.4	268.8
hp110	1296.4	776.6	764.3	512.7	697.4	697.1
hp111	757.7	1484.6	1598.8	3333.2	1415.9	2346.1
hp112	7318	8518.8	7562.1	8244	10108.5	12824.9
hp113	4952.1	8657.2	8483.3	11410.4	9484.4	10929.7
hp114	560.9	337.2	540.4	348.4	289.4	358.5
hp115	9139.1	15011.3	16424.9	15146.5	20429.2	24499.9
hp116	124.7	202.1	156.3	78.7	134.4	121
hp117	1009.6	2367.7	2312.9	3285.3	2881.8	3577.7
hp118	150.6	205.7	223.9	237.5	237.5	265.5
hp119	19.1	28.5	28	30.5	32.2	35.4
hp120	10.1	16.4	24.9	34.2	24.3	25.4
hp121	117.6	179.4	174.7	183.5	202.4	233.9
hp122	434.9	668.3	732.3	793	711.8	1117.8
hp123	1190.7	831.7	975.1	748.7	799.5	842.1
hp124	494.9	430.8	523.9	330.8	393.9	465.6
hp125	1101.1	1412.8	1538.2	1807.7	1438.2	1736.6
hp126	8191.7	12259.1	13454.6	11662.3	26963	19363.1
hp127	1305.9	1453.1	1187.2	1614.7	1335.1	1597.5
hp128	966.7	1075.5	1147.8	1236.2	1086.7	1399.2
hp129	108.7	109.8	138.6	163.4	122.9	145.9
hp130	16955.2	27825	26988.3	37035.2	26515	34741.4
hp131	52.6	57.1	63.3	39	46.8	55.8
hp132	104.5	62.3	76.2	50.1	61.1	65.7
hp133	3.7	6.8	7.3	9	9	8.9
hp134	611.8	484.4	421.3	376.1	367	462.8
hp135	176.3	218.3	188.2	255.6	212.1	209
hp136	148.2	201.9	249.2	113.1	153.5	165.2
hp137	7349.4	9349	9759.7	10427.4	9445.6	13457
hp138	14.3	9.6	11.4	7.4	9.2	10.6
hp139	143.3	255	251	443.8	254.3	284.3
hp140	438.5	399.1	417.4	419.1	573.8	539.7
hp141	7.4	9.8	19.9	20.3	15.9	25.4
hp142	13378.6	18195.4	20060.3	16959.9	39714.4	33438.4
hp143	91.1	124	159.1	162.1	265.2	141.8
hp144	9.4	12.4	16.3	4.4	11.3	7.6
hp145	297.9	245	241.4	205.6	239.7	236.4
hp146	117.6	136	195.3	67.3	118.1	119.8
hp147	3459.6	4403.3	5670.7	2501.4	3584.1	3780.6
hp148	39.4	88.8	81.9	107.7	103.2	120.5
hp149	2534.3	3481.8	3645.1	5396.5	3247	4635.1
hp150	119.8	263.5	374.5	543.4	294.5	533.3
hp151	10809.6	7290.2	12779.1	9288.9	5739.6	6543.5
hp152	15177.8	18576.6	20172.5	32866.4	18213.7	25514.7
hp153	1777.6	2350	2058.5	2163.4	3867.7	2723.9
hp154	180.9	106	153.6	103.3	106.6	104.6
hp155	22755.1	42337.1	46656	69102.2	41661.7	59191.2
hp156	2843.3	4742.7	4447.3	7990.4	4100.7	6166.5
hp157	157.6	159.4	202.9	123.8	137.2	167.9
hp158	76.5	321.1	203.1	422.9	375	381.4
hp159	523.4	1011.8	1107.8	963.6	1465.9	1718.3
hp160	115.5	189.6	176	198	230.2	206
hp161	27.6	28.3	38	21	22.7	30.2
hp162	6893.2	17505.2	10543.4	14648.7	26330.1	16139.3
hp163	97	157.8	183.5	183.7	210.3	219.8
hp164	1468.6	585.7	1111.3	595	593.2	550.7
hp165	3222.4	4059.1	3566.3	3536.9	6761.7	7478.1
hp166	53.8	17.2	19	13.9	10.7	14.7
hp167	155.5	105.5	128.6	97.2	100.9	114.1
hp168	2079.9	4452.6	3622.4	5643.4	4556.1	4759.1
hp169	127.4	143.3	169.4	89.5	118.7	138.6
hp170	2108.9	2459.8	2531.7	5061	2419.5	3590
hp171	57.1	65.6	92.2	92	84.9	98.4
hp172	805.1	1041.1	1181.7	1040.3	1391.6	2001.7
hp173	1624.2	1827.5	1628.5	1270.5	1048.8	1680.9
hp174	10227.1	5060.7	3520.6	3202.5	2908.3	3280.4
hp175	1373.1	2415.3	2373.7	2179.5	3429.9	3144.7
hp176	111.5	157.4	170.1	189.6	163.6	198.2
hp177	555.3	866.4	1135.4	1001.2	1271.9	1369.2
hp178	455.7	826	837.5	765.3	1276.3	1049.7
hp179	28.4	60.9	50.1	67.3	70.8	67.2
hp180	18.9	14.2	18.2	20.7	17.7	23.1
hp181	72.7	287.3	214.9	1814.1	168.9	709.6
hp182	9515.9	8782.8	11060.3	7775	7610.6	9709.3
hp184	2.3	4.9	5.7	6.5	5.8	7.9
hp185	112.4	57.8	116.9	64.7	45	72.3
hp186	5074	11526	11576.1	15324.1	11473.6	17298.8
hp187	90.7	198.4	196.9	319.4	202.4	229.1
hp188	7133.4	16056	13887.9	21583.4	14744.1	19609.2
hp189	8097.4	8704.8	10455.4	11417.5	9172.9	11344.8
hp190	2483.5	1855.7	2809.6	1631.3	1909	2101.6
hp191	11.4	23	22.3	26.9	25.5	29.9
hp192	3	4.5	6.5	6.6	6.6	6.9
hp193	476.3	542.5	615.6	539.3	732.3	699.6
hp194	79.4	155.6	183.6	211.1	219.1	202
hp195	70557.7	109611.9	108976.6	94922.8	230158.6	156849.6
hp196	49.1	95.1	102	128.4	102.5	127.4
hp197	1368.6	1084.7	918.2	1095.5	1665.8	1880.8
hp198	14.6	36.3	37.7	103.2	25.7	89.8
hp199	3212.5	4791.4	3638	3665.4	6968.5	8343.2
hp200	665.3	1142.9	1226.8	1018.7	1566.6	2144.3
hp201	14.3	56.3	66.7	103.4	69.9	101.6
hp202	747.3	1309	1590.7	1737.5	1402.4	2159
hp203	15.3	31.9	30.7	48.6	29.9	37.5
hp204	2592.3	3024.1	2870.5	2356.7	2762.7	2593.5
hp205	168.1	511.8	458.9	955.4	511	540.5
hp206	722.5	1056.9	1119.8	487.6	837.2	787.2
hp207	2761.9	3193.4	4156.6	2480.2	2771.8	2837.6
hp208	120.4	419.2	404.9	581.3	484.7	645.3
hp209	7.4	27.1	22.9	28.8	32.6	42.1
hp210	147.3	198.4	202.2	191.7	215.5	281.1
hp211	2715.2	2572.9	2777.7	2009.2	1976.1	2755.3
hp212	1935.2	3994	3531.5	5659	3574.6	4454.9
hp213	298.8	328.3	429.2	287.5	272.1	305.9
hp214	125.4	107.4	127.4	116.8	165.2	194.9
hp215	3.8	7.2	5.2	7.2	6.3	8.3
hp216	1361.1	1596.2	1788.5	1586.1	1912.8	2103.4
hp217	80	80.4	101.6	88.3	153.5	110.5
hp218	20205.7	66885.2	69747.9	114002	63718.3	104318.5
hp219	14.6	61.7	38.6	52.5	61.3	95.2
hp220	367.1	269.8	334.3	329.2	212.1	232.7
hp221	200.9	656.2	555.8	852.8	719	804
hp222	128.1	260.2	289.8	243.7	344	450.8
hp223	26625.3	14119.3	11320.3	10835.1	9612.1	10953.5
hp224	524.6	290.1	307.6	203.3	308.2	276.6
hp225	907.5	3496.1	2853.8	6031.1	2790.1	4638.4
hp226	128.1	32.9	62.2	24.9	40.3	35.7
hp227	1115.3	736.4	853.7	774	660.6	742.7
hp228	9667.6	6109.9	7846.7	6400.6	5243.9	6930.5
hp229	43.5	109.1	80	86.7	160.6	112.6
hp231	530	683.4	742.3	745	714.8	842.9
hp232	5166.5	8796.9	9750.2	12471.3	8890.3	10814
hp233	409.8	454.4	373.4	411.2	495.6	618.7
hp234	125769.6	198506.4	214945.7	182411.2	271812.2	267997.9
hp235	11381.7	22518.5	24255.9	31342.3	22186.7	29984.3
hp236	51.7	112.5	98.7	134.7	111.8	127.8
hp237	113.3	61.4	153.4	87.2	49.7	61.8
hp238	248.9	269.6	283	198.5	250.2	255.2
hp239	123.9	443.8	401.8	617.2	453.5	615.4
hp240	35.5	37.8	41.9	41.5	39.4	44.3
hp241	2211	2867.3	2739.7	2434.4	4150.6	4358.6
hp242	535.6	1217.2	1175.1	917	1859.2	2244
hp243	34.6	78.7	75.7	116.4	70.5	95.4
hp244	75.3	332.1	293.8	422.1	358.9	506.2
hp245	88.4	117.7	113.2	104	191.6	141.5
