"Ctrl_1"	"CD_1"	"Ctrl_2"	"CD_2"	"Ctrl_3"	"CD_3"
"hp2"	5.26723340970585	7.63711526756418	4.85084710104843	5.53011614189973	4.99372929588874	5.3216869279827
"hp7"	4.5	5.09252424310054	4.5	4.5	4.5	4.5
"hp9"	5.00457571817469	7.13615185056895	4.99395753444642	5.17598377677367	4.88769262840515	5.18141201518508
"hp10"	4.62602463295864	6.45076186941487	4.5329251395981	4.63101807355678	4.5	4.65446461431368
"hp11"	5.05066497367399	7.76968488864453	5.76179320349038	6.35099116057116	4.92717685218685	7.00802714172296
"hp14"	5.60116342460924	7.90379638813369	5.95926007927704	6.63147140365713	5.38427739780766	5.89972221171514
"hp15"	4.60826996201846	6.73186602286955	4.5	4.5	4.5	4.89346790910838
"hp19"	4.87926474510264	4.5	4.5	4.5	4.5	4.5
"hp22"	5.92056434504085	6.86455931924541	6.13445185038186	4.83321839375673	5.55879101938937	4.72992997951689
"hp23"	6.56574325037185	6.47314097324602	5.58384731181029	4.80123905241025	5.62222100705103	5.07766067399054
"hp24"	7.02403510405421	7.97677036398829	7.63080164340461	6.11840515015888	7.5601844366764	5.20581921424271
"hp25"	4.64954659519634	6.09199340936413	4.5	4.5	4.5	4.5
"hp27"	4.5	4.55257814424001	4.5	4.5	4.5	4.5
"hp29"	7.88503567983801	8.21131655041314	7.0147486441006	6.34068631135875	7.06855120453861	6.62040757784322
"hp35"	5.86790598971402	8.28706600301524	5.93406697652819	5.94515716333049	5.78107979283523	6.1093169659321
"hp36"	4.84853478778685	6.47955074027589	4.5	4.5151614502589	4.57839120415201	4.77409534656793
"hp39"	4.5	5.56386144894933	4.5	4.5	4.5	4.5
"hp40"	4.5	6.26011120054689	4.5	4.5	4.5	4.5232674715709
"hp41"	5.09291747045701	6.84214924345251	4.95337542007648	5.37590716780021	5.08443603861439	5.52964080390522
"hp42"	4.5	5.00545164924718	4.5	4.5	4.5	4.5
"hp45"	5.25903007124583	7.71484799652154	5.44138979159741	5.26565482700991	4.97004927541062	5.67134942843342
"hp49"	4.5	6.57402127688468	4.5	4.5	4.5	4.5
"hp50"	7.38597360024468	7.33059721411549	6.60088051312542	6.31555272534552	6.81813969875228	6.07080892381969
"hp56"	7.85196815413457	8.06760560497518	7.11548507913831	6.50866134379807	7.07929341383941	6.84749570168831
"hp57"	4.5	5.78934545691556	4.5	4.5	4.5	4.5
"hp61"	6.19201325678386	6.89603861417373	6.78225650629405	5.79731862182552	6.72527896474038	5.01481636647798
"hp64"	6.26227535241564	5.28305635006851	5.26902014768459	4.6560999412712	5.50471872531847	4.5
"hp66"	4.5	6.33813292455841	4.5	4.5	4.5	4.5
"hp69"	4.57574555393267	7.08030985621878	4.5	4.61245630966261	4.71720300614653	4.56496831089092
"hp72"	4.5	5.06070562216314	4.5	4.5	4.5	4.5
"hp73"	7.45812639487456	7.11040105321608	6.63545028140894	6.2893346057572	7.08118556728177	6.20212106913912
"hp74"	7.85560057106542	10.5844091509808	7.78025614433681	8.03555451648466	7.98659532045072	8.43344267746272
"hp75"	4.5	6.07543323122048	4.5	4.5	4.5	4.5
"hp77"	4.5	4.88333663315337	4.5	4.5	4.5	4.5
"hp78"	4.58065129522031	4.74326251691881	4.5	4.5	4.5	4.5
"hp82"	6.51203028259353	6.48560390333444	5.87411085065551	5.49746463526465	6.30502691975107	5.39434222330238
"hp89"	7.24335113347321	7.25341309163047	6.2666075229507	6.02169907457285	6.51741083256455	6.00060149671135
"hp91"	4.52438639016846	6.72630127393528	4.5	4.5	4.5	4.71805064294763
"hp94"	5.07066059456826	7.28074500079045	4.6899868637628	5.2055840673316	5.25232797521015	5.16632583983991
"hp95"	4.5	6.17880681768574	4.5	4.5	4.5	4.5
"hp96"	4.6460146573224	7.79243867380605	4.656356518256	4.92750609609312	5.11315272662363	5.20999032008953
"hp97"	4.5	5.97677959690906	4.5	4.5	4.5	4.5
"hp98"	5.17785712143945	7.38666195571485	5.06636325674161	4.87968548471429	4.69212033469395	5.1971771868339
"hp99"	5.70929789195802	5.73770336756603	6.0708800379501	5.20538155756215	6.27895349347755	4.80353917612761
"hp100"	4.5	4.6615378434626	4.5	4.5	4.5	4.5
"hp102"	6.27214270458288	4.5	5.26236739602585	4.5	5.58609771740465	4.5
"hp116"	4.5	5.76371861555681	4.5	4.5	4.5	4.82358549824563
"hp117"	4.67790352303731	4.5	4.5	4.5	4.5	4.5
"hp119"	8.78120905819848	8.62779632527393	8.29211641413601	8.02178770695533	8.48004133903557	7.73713254638599
"hp121"	8.36557930846174	7.82871976288395	7.59401472817452	7.29692083797549	7.70231133827111	7.04972076808203
"hp122"	7.19921430008614	6.15889948731689	5.35908258513291	4.90396762353982	5.75874523542615	4.96906716273917
"hp125"	5.1694386252856	6.38574976581952	4.76460967644838	5.05120502720985	4.7873090001793	4.72286922554533
"hp130"	4.5	5.74103403110952	4.5	4.5	4.5	4.5
"hp136"	4.5	6.21771443861582	4.5	4.6607972881748	4.5	4.5
"hp139"	4.5	4.5	5.08647918526666	4.5	4.5	4.5
"hp140"	5.32873993599768	5.124360665624	4.52862932084835	4.5	4.76038233845358	4.5
"hp142"	7.0161509030481	6.43200209904348	6.22288086704093	5.49972997930685	6.2660410172737	5.85166588162724
"hp146"	4.5	7.84847756874419	4.5	4.5	4.5	4.5
"hp147"	4.5	5.82020483730691	4.5	4.95083764741254	4.5	4.5
"hp148"	4.5	6.62254851334196	4.5	4.5	4.5	4.5
"hp155"	4.5	4.87216105590748	4.5	4.5	4.5	4.5
"hp158"	4.5	4.7896141939902	4.5	4.5	4.5	4.5
"hp159"	4.5	5.46175343807412	4.5	4.5	4.5	4.60979432120508
"hp160"	4.86650261597427	7.89521409877853	4.5	4.5	4.5	4.5
"hp161"	7.88130165646963	5.93876070619091	6.32209337076561	6.11090299847362	7.00166135768977	5.96507965736209
"hp162"	7.31023377127926	9.31538480195624	6.20380648403507	6.78024563769126	6.35582733259843	6.72955985841356
"hp165"	6.57119196320292	4.99787143870518	5.88037385403383	5.07812757951529	5.79635384132106	4.86328901178613
"hp168"	5.11967173414522	5.79255913385151	6.22135011809955	4.61733792165362	5.07285024458215	4.5
"hp169"	4.5	4.99849301822054	4.5	4.5	4.5	4.5
