"CD_vs_Ctrl_Difference"	"Abs_CD_vs_Ctrl_Difference"	"Paired_Ttest_uncorrected_P"	"Paired_Ttest_Corrected_P"	"Pass_Selection_0_No_1_Yes"
"hp64"	-1.82212168864641	1.82212168864641	0.0207159279941859	0.620559932980571	1
"hp73"	-1.4382374072365	1.4382374072365	0.0979346926092157	0.620559932980571	1
"hp102"	-2.3083616573368	2.3083616573368	0.0557975495542408	0.620559932980571	1
"hp121"	-1.40982360750573	1.40982360750573	0.0418506472243526	0.620559932980571	1
"hp122"	-1.69549039994057	1.69549039994057	0.0461253350761418	0.620559932980571	1
"hp142"	-1.48853341621866	1.48853341621866	0.0233589266413742	0.620559932980571	1
"hp165"	-2.14782612994708	2.14782612994708	0.0436298288760021	0.620559932980571	1
"hp170"	-2.3979682133269	2.3979682133269	0.036383464965867	0.620559932980571	1
"hp198"	-1.94256061096452	1.94256061096452	0.0941170364641565	0.620559932980571	1
"hp208"	-2.30444766636902	2.30444766636902	0.081960485716608	0.620559932980571	1
"hp223"	-1.52740990444813	1.52740990444813	0.00279238586194442	0.620559932980571	1
"hp229"	-1.65024920209559	1.65024920209559	0.0391296310810179	0.620559932980571	1
"hp239"	-2.27285246903576	2.27285246903576	0.0840309449245879	0.620559932980571	1
"hp273"	-1.52983960871886	1.52983960871886	0.0695479267068447	0.620559932980571	1
"hp277"	-2.34039254163017	2.34039254163017	0.0586876545344819	0.620559932980571	1
"hp278"	-1.48824693317821	1.48824693317821	0.00521689727240651	0.620559932980571	1
"hp281"	-1.56227885152859	1.56227885152859	0.0841294097694699	0.620559932980571	1
"hp286"	-1.66499095446055	1.66499095446055	0.0685776276521537	0.620559932980571	1
"hp298"	-2.72223814499466	2.72223814499466	0.000329052924557696	0.230007994265829	1
"hp302"	-1.47588560561904	1.47588560561904	0.0598908126543728	0.620559932980571	1
"hp322"	1.73089478949143	1.73089478949143	0.0776856170467727	0.620559932980571	1
"hp325"	-1.39843030097702	1.39843030097702	0.0962323716943812	0.620559932980571	1
"hp361"	1.50144213101164	1.50144213101164	0.019268266231835	0.620559932980571	1
"hp367"	1.72609059527519	1.72609059527519	0.000269930451941191	0.230007994265829	1
"hp395"	-1.40114267805355	1.40114267805355	0.0305715088683763	0.620559932980571	1
"hp412"	-1.62219826550049	1.62219826550049	0.0862660153097593	0.620559932980571	1
"hp430"	-1.37830546836781	1.37830546836781	0.0101178922133366	0.620559932980571	1
"hp470"	-1.25577527976826	1.25577527976826	0.0213773205916266	0.620559932980571	1
"hp472"	1.97847998734872	1.97847998734872	0.0818872758676496	0.620559932980571	1
"hp474"	-1.34050952120552	1.34050952120552	0.0524626635004444	0.620559932980571	1
"hp475"	-1.64576224095128	1.64576224095128	0.0472522544429334	0.620559932980571	1
"hp503"	1.79264227655417	1.79264227655417	0.033737466215984	0.620559932980571	1
"hp505"	-1.63665577898207	1.63665577898207	0.0368685366097982	0.620559932980571	1
"hp535"	-1.50306485457167	1.50306485457167	0.0934882837078027	0.620559932980571	1
"hp540"	-1.25881773296414	1.25881773296414	0.08601925904451	0.620559932980571	1
"hp547"	1.34007945876478	1.34007945876478	0.0188390067126387	0.620559932980571	1
"hp553"	-1.56126150963709	1.56126150963709	0.0682797759588736	0.620559932980571	1
"hp575"	-1.37745206246369	1.37745206246369	0.00797017391210483	0.620559932980571	1
"hp593"	-1.41905903167898	1.41905903167898	0.0552551679761698	0.620559932980571	1
"hp601"	-2.01868419964696	2.01868419964696	0.065508177995125	0.620559932980571	1
"hp621"	-1.38571405240326	1.38571405240326	0.0519470871494626	0.620559932980571	1
"hp630"	-1.33799908363532	1.33799908363532	0.0454542536104637	0.620559932980571	1
"hp668"	-1.48063178419993	1.48063178419993	0.0812989172516829	0.620559932980571	1
"hp684"	-1.45322167872459	1.45322167872459	0.0782539902788808	0.620559932980571	1
"hp791"	1.75628419690648	1.75628419690648	0.0681154399488703	0.620559932980571	1
"hp805"	-1.36805119044357	1.36805119044357	0.0616867739317535	0.620559932980571	1
"hp811"	1.87260030872763	1.87260030872763	0.0837851315196331	0.620559932980571	1
"hp837"	-1.4162984245497	1.4162984245497	0.0343730665730776	0.620559932980571	1
"hp845"	1.32996313994393	1.32996313994393	0.082985908235048	0.620559932980571	1
"hp868"	-1.3612244134411	1.3612244134411	0.0238052284945781	0.620559932980571	1
"hp881"	1.47817099240192	1.47817099240192	0.031497940429769	0.620559932980571	1
"hp897"	-1.74474224471091	1.74474224471091	0.0740019623131308	0.620559932980571	1
"hp952"	-1.41959720951327	1.41959720951327	0.058703409043322	0.620559932980571	1
"hp1003"	-1.25083468910595	1.25083468910595	0.0244970856542766	0.620559932980571	1
"hp1027"	1.31108505242087	1.31108505242087	0.00128510945343268	0.508048416622221	1
"hp1161"	1.68365584297742	1.68365584297742	0.0645939953418004	0.620559932980571	1
"hp1169"	1.53672474627802	1.53672474627802	0.0392278371279991	0.620559932980571	1
"hp1216"	-1.34847321050398	1.34847321050398	0.0942868780878255	0.620559932980571	1
"hp1220"	1.7820256438946	1.7820256438946	0.0348216752049069	0.620559932980571	1
"hp1314"	1.36567263184763	1.36567263184763	0.057975888117296	0.620559932980571	1
"hp1350"	1.46400847676772	1.46400847676772	0.0337605625518727	0.620559932980571	1
"hp1393"	1.41859908261754	1.41859908261754	0.0561010336734504	0.620559932980571	1
"hp1488"	1.57835310075555	1.57835310075555	0.001453643538261	0.508048416622221	1
"hp1495"	1.49035081952717	1.49035081952717	0.0973444749646669	0.620559932980571	1
"hp1504"	1.42225351968732	1.42225351968732	0.0352695310821552	0.620559932980571	1
"hp1612"	1.44358150031264	1.44358150031264	0.0771464044923513	0.620559932980571	1
"hp1617"	1.42765756943669	1.42765756943669	0.0113817516893839	0.620559932980571	1
"hp1620"	1.58867331038204	1.58867331038204	0.0836003296852276	0.620559932980571	1
"hp1625"	1.70943752406209	1.70943752406209	0.0980303053166801	0.620559932980571	1
"hp1634"	1.65273019279429	1.65273019279429	0.0558240934729935	0.620559932980571	1
"hp1651"	1.36692969248469	1.36692969248469	0.0523205012459387	0.620559932980571	1
"hp1661"	1.37993079802765	1.37993079802765	0.00609913531878728	0.620559932980571	1
"hp1701"	1.71102661545633	1.71102661545633	0.0938238626019469	0.620559932980571	1
"hp1711"	1.48109370495692	1.48109370495692	0.00558507727739576	0.620559932980571	1
"hp1712"	1.47451311320033	1.47451311320033	0.0277681001445102	0.620559932980571	1
"hp1788"	1.3587542730792	1.3587542730792	0.0970826966055959	0.620559932980571	1
"hp1796"	1.33134172057839	1.33134172057839	0.0668005548858572	0.620559932980571	1
"hp1887"	1.40695094554278	1.40695094554278	0.0507494821776689	0.620559932980571	1
"hp2037"	1.33334286565756	1.33334286565756	0.0268380205427223	0.620559932980571	1
"hp2138"	1.33897127222404	1.33897127222404	0.0548310108880409	0.620559932980571	1
"hp2175"	1.28439051573974	1.28439051573974	0.0273196435675268	0.620559932980571	1
"hp2185"	1.27316421778898	1.27316421778898	0.0748625055101535	0.620559932980571	1
"hp2295"	1.34256219941655	1.34256219941655	0.0363569288345658	0.620559932980571	1
"hp2310"	1.31012724897318	1.31012724897318	0.0425548859899579	0.620559932980571	1
"hp2392"	1.29557303321669	1.29557303321669	0.0882216482517266	0.620559932980571	1
"hp2433"	1.27184223039074	1.27184223039074	0.0872409485330308	0.620559932980571	1
"hp2458"	1.35371342296403	1.35371342296403	0.055464210545067	0.620559932980571	1
