"CD_vs_Ctrl_Difference_log2"	"Paired_Ttest_uncorrected_P"	"Pass_Selection_0_No_1_Yes"
"hp64"	1.82212168864641	0.0207159279941859	1
"hp73"	1.4382374072365	0.0979346926092157	1
"hp102"	2.3083616573368	0.0557975495542408	1
"hp121"	1.40982360750573	0.0418506472243526	1
"hp122"	1.69549039994057	0.0461253350761418	1
"hp142"	1.48853341621866	0.0233589266413742	1
"hp165"	2.14782612994708	0.0436298288760021	1
"hp170"	2.3979682133269	0.036383464965867	1
"hp198"	1.94256061096452	0.0941170364641565	1
"hp208"	2.30444766636902	0.081960485716608	1
"hp223"	1.52740990444813	0.00279238586194442	1
"hp229"	1.65024920209559	0.0391296310810179	1
"hp239"	2.27285246903576	0.0840309449245879	1
"hp273"	1.52983960871886	0.0695479267068447	1
"hp277"	2.34039254163017	0.0586876545344819	1
"hp278"	1.48824693317821	0.00521689727240651	1
"hp281"	1.56227885152859	0.0841294097694699	1
"hp286"	1.66499095446055	0.0685776276521537	1
"hp298"	2.72223814499466	0.000329052924557696	1
"hp302"	1.47588560561904	0.0598908126543728	1
"hp322"	0.57773586590657	0.0776856170467727	1
"hp325"	1.39843030097702	0.0962323716943812	1
"hp361"	0.666026335178315	0.019268266231835	1
"hp367"	0.579343866849915	0.000269930451941191	1
"hp395"	1.40114267805355	0.0305715088683763	1
"hp412"	1.62219826550049	0.0862660153097593	1
"hp430"	1.37830546836781	0.0101178922133366	1
"hp470"	1.25577527976826	0.0213773205916266	1
"hp472"	0.505438521690614	0.0818872758676496	1
"hp474"	1.34050952120552	0.0524626635004444	1
"hp475"	1.64576224095128	0.0472522544429334	1
"hp503"	0.557835778548192	0.033737466215984	1
"hp505"	1.63665577898207	0.0368685366097982	1
"hp535"	1.50306485457167	0.0934882837078027	1
"hp540"	1.25881773296414	0.08601925904451	1
"hp547"	0.7462244074107	0.0188390067126387	1
"hp553"	1.56126150963709	0.0682797759588736	1
"hp575"	1.37745206246369	0.00797017391210483	1
"hp593"	1.41905903167898	0.0552551679761698	1
"hp601"	2.01868419964696	0.065508177995125	1
"hp621"	1.38571405240326	0.0519470871494626	1
"hp630"	1.33799908363532	0.0454542536104637	1
"hp668"	1.48063178419993	0.0812989172516829	1
"hp684"	1.45322167872459	0.0782539902788808	1
"hp791"	0.569383931006952	0.0681154399488703	1
"hp805"	1.36805119044357	0.0616867739317535	1
"hp811"	0.534016786892161	0.0837851315196331	1
"hp837"	1.4162984245497	0.0343730665730776	1
"hp845"	0.751900537666146	0.082985908235048	1
"hp868"	1.3612244134411	0.0238052284945781	1
"hp881"	0.676511719645554	0.031497940429769	1
"hp897"	1.74474224471091	0.0740019623131308	1
"hp952"	1.41959720951327	0.058703409043322	1
"hp1003"	1.25083468910595	0.0244970856542766	1
"hp1027"	0.762727023814006	0.00128510945343268	1
"hp1161"	0.59394561196757	0.0645939953418004	1
"hp1169"	0.650734624025558	0.0392278371279991	1
"hp1216"	1.34847321050398	0.0942868780878255	1
"hp1220"	0.561159152465678	0.0348216752049069	1
"hp1314"	0.732239906314217	0.057975888117296	1
"hp1350"	0.683056154297568	0.0337605625518727	1
"hp1393"	0.704920799860411	0.0561010336734504	1
"hp1488"	0.633571790444929	0.001453643538261	1
"hp1495"	0.670982957098156	0.0973444749646669	1
"hp1504"	0.703109527350543	0.0352695310821552	1
"hp1612"	0.692721539991631	0.0771464044923513	1
"hp1617"	0.700448077611894	0.0113817516893839	1
"hp1620"	0.629456033197615	0.0836003296852276	1
"hp1625"	0.584987743584644	0.0980303053166801	1
"hp1634"	0.605059437021166	0.0558240934729935	1
"hp1651"	0.73156652130534	0.0523205012459387	1
"hp1661"	0.724674020921419	0.00609913531878728	1
"hp1701"	0.58444444461976	0.0938238626019469	1
"hp1711"	0.67517672693713	0.00558507727739576	1
"hp1712"	0.678189967283212	0.0277681001445102	1
"hp1788"	0.735968246660086	0.0970826966055959	1
"hp1796"	0.751121958054135	0.0668005548858572	1
"hp1887"	0.710756834250689	0.0507494821776689	1
"hp2037"	0.749994638105954	0.0268380205427223	1
"hp2138"	0.746842012778206	0.0548310108880409	1
"hp2175"	0.778579402249829	0.0273196435675268	1
"hp2185"	0.785444631594057	0.0748625055101535	1
"hp2295"	0.744844447754135	0.0363569288345658	1
"hp2310"	0.763284635735767	0.0425548859899579	1
"hp2392"	0.771859227045789	0.0882216482517266	1
"hp2433"	0.786261044101967	0.0872409485330308	1
"hp2458"	0.738708786539508	0.055464210545067	1
