"CD_vs_Ctrl_Difference"	"Abs_CD_vs_Ctrl_Difference"	"Paired_Ttest_uncorrected_P"	"Paired_Ttest_Corrected_P"	"Pass_Selection_0_No_1_Yes"
"hp30"	-1.50865821163238	1.50865821163238	0.0452043463832903	0.872377524814981	1
"hp53"	-1.49532853130091	1.49532853130091	0.0949620125360067	0.872377524814981	1
"hp68"	-2.0591477512285	2.0591477512285	0.0713831927756917	0.872377524814981	1
"hp90"	-1.37306566535844	1.37306566535844	0.00183280358006797	0.872377524814981	1
"hp100"	-1.52125877827224	1.52125877827224	0.0178234691337787	0.872377524814981	1
"hp117"	-1.56463021995697	1.56463021995697	0.0288895479498891	0.872377524814981	1
"hp148"	-1.45723215085734	1.45723215085734	0.055716514668851	0.872377524814981	1
"hp155"	-1.28571945740523	1.28571945740523	0.0610656285304663	0.872377524814981	1
"hp168"	-1.30651261416487	1.30651261416487	0.0740610737073269	0.872377524814981	1
"hp179"	-1.3507424626747	1.3507424626747	0.0433002575192424	0.872377524814981	1
"hp194"	-1.40053825940361	1.40053825940361	0.0332831192730099	0.872377524814981	1
"hp196"	-1.32943367211057	1.32943367211057	0.0749159477259194	0.872377524814981	1
"hp209"	-1.44687351918405	1.44687351918405	0.0687900960521899	0.872377524814981	1
"hp229"	-1.4003082532426	1.4003082532426	0.0846114780509066	0.872377524814981	1
"hp247"	-1.29708236269491	1.29708236269491	0.0855765356848633	0.872377524814981	1
"hp259"	-1.36975061270565	1.36975061270565	0.0346160942686908	0.872377524814981	1
"hp261"	-1.25119504086505	1.25119504086505	0.00241361936496024	0.872377524814981	1
"hp307"	1.85105397378952	1.85105397378952	0.0176068215375742	0.872377524814981	1
"hp351"	-1.81531890584773	1.81531890584773	0.0659504468631268	0.872377524814981	1
"hp359"	-1.44442061518724	1.44442061518724	0.0388018755949014	0.872377524814981	1
"hp382"	-1.30368443174841	1.30368443174841	0.0406049327657147	0.872377524814981	1
"hp427"	-1.29981822655784	1.29981822655784	0.0498284531941227	0.872377524814981	1
"hp503"	-1.31283800192165	1.31283800192165	0.0473288018523988	0.872377524814981	1
"hp510"	-1.27912095676034	1.27912095676034	0.0628632159090901	0.872377524814981	1
"hp533"	-1.29801072794602	1.29801072794602	0.0755489326289465	0.872377524814981	1
"hp588"	-1.41399523460779	1.41399523460779	0.0214169371269417	0.872377524814981	1
"hp695"	-1.29826629529994	1.29826629529994	0.0408200111966363	0.872377524814981	1
"hp710"	-1.28447929934886	1.28447929934886	0.0740508549090449	0.872377524814981	1
"hp748"	1.86786865171459	1.86786865171459	0.0873996700618521	0.872377524814981	1
"hp751"	-1.45246053803329	1.45246053803329	0.0145555092806125	0.872377524814981	1
"hp778"	-1.283949842183	1.283949842183	0.0588960705443437	0.872377524814981	1
"hp783"	-1.39675910039557	1.39675910039557	0.0409009820633385	0.872377524814981	1
"hp900"	1.32819626579978	1.32819626579978	0.0818488258628211	0.872377524814981	1
"hp923"	1.47613499649839	1.47613499649839	0.0568481098393354	0.872377524814981	1
"hp1096"	1.7838159033247	1.7838159033247	0.0355177002767356	0.872377524814981	1
"hp1222"	-1.38319297372098	1.38319297372098	0.0707386247438932	0.872377524814981	1
"hp1521"	-1.2946161256214	1.2946161256214	0.00476805813914706	0.872377524814981	1
"hp1727"	1.40446284240045	1.40446284240045	0.0724821769214816	0.872377524814981	1
"hp1960"	1.31744174437159	1.31744174437159	0.0769821348137787	0.872377524814981	1
"hp1974"	1.3669402549131	1.3669402549131	0.096978201642212	0.872377524814981	1
"hp2273"	1.29971547620587	1.29971547620587	0.0132948658723857	0.872377524814981	1
"hp2288"	1.35163562302457	1.35163562302457	0.0268163927072791	0.872377524814981	1
"hp2317"	1.29000441680688	1.29000441680688	0.0727528876284451	0.872377524814981	1
"hp2356"	1.48391782001075	1.48391782001075	0.0187510156044828	0.872377524814981	1
"hp2566"	1.38047398844283	1.38047398844283	0.0590770740997191	0.872377524814981	1
"hp2713"	1.51044312426102	1.51044312426102	0.0155888594092153	0.872377524814981	1
"hp2793"	1.26756992590556	1.26756992590556	0.034178533596618	0.872377524814981	1
"hp2801"	1.40094269247197	1.40094269247197	0.0204583234172008	0.872377524814981	1
"hp2850"	1.25793828678783	1.25793828678783	0.034261982083415	0.872377524814981	1
"hp2861"	1.4257660443347	1.4257660443347	0.0828136918403142	0.872377524814981	1
"hp3033"	1.25390336462359	1.25390336462359	0.0277510775385202	0.872377524814981	1
"hp3183"	1.25480279263013	1.25480279263013	0.0430663544087571	0.872377524814981	1
"hp3209"	1.27863705952517	1.27863705952517	0.099085218034276	0.872377524814981	1
"hp3274"	1.34182773899943	1.34182773899943	0.0789833378755965	0.872377524814981	1
"hp3282"	1.27570054279054	1.27570054279054	0.0830126982577673	0.872377524814981	1
"hp3304"	1.3240915074251	1.3240915074251	0.0344248622794437	0.872377524814981	1
"hp3314"	1.32603924560519	1.32603924560519	0.0687068575981329	0.872377524814981	1
"hp3412"	1.25962742288517	1.25962742288517	0.0119443306630265	0.872377524814981	1
"hp3530"	1.26901136745795	1.26901136745795	0.0884475515114879	0.872377524814981	1
"hp3547"	1.33344524443607	1.33344524443607	0.045077305889377	0.872377524814981	1
"hp3616"	1.27387273225625	1.27387273225625	0.0759067766146823	0.872377524814981	1
