"CD_vs_Ctrl_Difference_log2"	"Paired_Ttest_uncorrected_P"	"Pass_Selection_0_No_1_Yes"
"hp30"	1.50865821163238	0.0452043463832903	1
"hp53"	1.49532853130091	0.0949620125360067	1
"hp68"	2.0591477512285	0.0713831927756917	1
"hp90"	1.37306566535844	0.00183280358006797	1
"hp100"	1.52125877827224	0.0178234691337787	1
"hp117"	1.56463021995697	0.0288895479498891	1
"hp148"	1.45723215085734	0.055716514668851	1
"hp155"	1.28571945740523	0.0610656285304663	1
"hp168"	1.30651261416487	0.0740610737073269	1
"hp179"	1.3507424626747	0.0433002575192424	1
"hp194"	1.40053825940361	0.0332831192730099	1
"hp196"	1.32943367211057	0.0749159477259194	1
"hp209"	1.44687351918405	0.0687900960521899	1
"hp229"	1.4003082532426	0.0846114780509066	1
"hp247"	1.29708236269491	0.0855765356848633	1
"hp259"	1.36975061270565	0.0346160942686908	1
"hp261"	1.25119504086505	0.00241361936496024	1
"hp307"	0.540232761529249	0.0176068215375742	1
"hp351"	1.81531890584773	0.0659504468631268	1
"hp359"	1.44442061518724	0.0388018755949014	1
"hp382"	1.30368443174841	0.0406049327657147	1
"hp427"	1.29981822655784	0.0498284531941227	1
"hp503"	1.31283800192165	0.0473288018523988	1
"hp510"	1.27912095676034	0.0628632159090901	1
"hp533"	1.29801072794602	0.0755489326289465	1
"hp588"	1.41399523460779	0.0214169371269417	1
"hp695"	1.29826629529994	0.0408200111966363	1
"hp710"	1.28447929934886	0.0740508549090449	1
"hp748"	0.535369550252938	0.0873996700618521	1
"hp751"	1.45246053803329	0.0145555092806125	1
"hp778"	1.283949842183	0.0588960705443437	1
"hp783"	1.39675910039557	0.0409009820633385	1
"hp900"	0.752900776601599	0.0818488258628211	1
"hp923"	0.677444815258866	0.0568481098393354	1
"hp1096"	0.56059596628564	0.0355177002767356	1
"hp1222"	1.38319297372098	0.0707386247438932	1
"hp1521"	1.2946161256214	0.00476805813914706	1
"hp1727"	0.712015989181205	0.0724821769214816	1
"hp1960"	0.759046845351781	0.0769821348137787	1
"hp1974"	0.731560868447444	0.096978201642212	1
"hp2273"	0.769399163360895	0.0132948658723857	1
"hp2288"	0.739844365571164	0.0268163927072791	1
"hp2317"	0.775191144287146	0.0727528876284451	1
"hp2356"	0.673891765780368	0.0187510156044828	1
"hp2566"	0.724388875394889	0.0590770740997191	1
"hp2713"	0.662057368422426	0.0155888594092153	1
"hp2793"	0.788911112170475	0.034178533596618	1
"hp2801"	0.713805072379866	0.0204583234172008	1
"hp2850"	0.794951557244929	0.034261982083415	1
"hp2861"	0.701377343059554	0.0828136918403142	1
"hp3033"	0.797509623319488	0.0277510775385202	1
"hp3183"	0.796937977723134	0.0430663544087571	1
"hp3209"	0.782082759568502	0.099085218034276	1
"hp3274"	0.745252144471002	0.0789833378755965	1
"hp3282"	0.78388302462625	0.0830126982577673	1
"hp3304"	0.755234811485691	0.0344248622794437	1
"hp3314"	0.75412549312868	0.0687068575981329	1
"hp3412"	0.793885542527727	0.0119443306630265	1
"hp3530"	0.788015005730934	0.0884475515114879	1
"hp3547"	0.749937055287872	0.045077305889377	1
"hp3616"	0.785007775642414	0.0759067766146823	1
"hp3618"	0.783604125018175	0.0523449960883439	1
"hp3622"	0.794147674737237	0.0976481871898739	1
"hp3785"	0.76951772490187	0.0580044822445099	1
"hp3814"	0.789124467150319	0.00316755283366439	1
"hp3996"	0.780857286905599	0.0608698109710285	1
"hp4022"	0.785742910057519	0.0664846253078299	1
"hp4045"	0.781287932499044	0.0223367499167596	1
"hp4063"	0.782046894042559	0.0432896675161274	1
"hp4233"	0.785558165776749	0.0599506171160315	1
"hp4284"	0.781842087553071	0.00806098153498183	1
"hp4369"	0.773062329462867	0.0922473065857205	1
"hp4416"	0.778933482185076	0.0879573902304669	1
"hp4819"	0.794454731292843	0.0836434902293706	1
