index	GFP1	GFP2	GFP3	GFP4	GFP5	R17_1	R17_2	R17_3	R17_4	R17_5	Fing1	Fing2	Fing3	Fing4	Fing5
f1	890.3	696.5	721.9	750.1	895.3	660.9	702	891.7	887.2	935.9	1005.1	931.7	793	1037.8	1005.6
f2	469.7	416.8	443.5	455.2	488.1	338.5	406.7	489.1	484.1	522.6	516.9	466.2	443.3	534.2	523.9
f3	187.1	175	167.5	165.7	177.7	106.7	110.4	140.1	128	121.8	139.3	137.1	132.7	162.1	138.9
f4	110.9	85.1	85	107.1	105	68.2	83.4	97.2	97.3	103.7	99	92.2	92.9	110.6	104.8
f5	147.8	134.6	132.8	152.5	153.6	120.3	135	158.7	146.7	142.5	146.3	161.3	138.4	180.7	175.2
f6	79.7	76.5	76.4	83	88.7	69.4	73.8	90.1	96.4	95.3	86.9	80.4	74.4	94.7	94.8
f7	511.4	404.2	427.1	468.1	534.6	316.7	330.4	410.3	419	470.1	457.4	417.4	387.7	486.6	475.4
f8	428.6	397.4	402.3	442.2	484.5	303.4	352.3	415.3	380.1	443.7	382.2	359.9	351.9	445.8	443.3
f9	283.7	270.5	270	271.4	268	220	242	286.7	280.1	278	286	283	252.1	336.3	313.1
f10	172.5	155.5	147.3	161.9	185.5	143.6	142.1	185.2	197.3	183.8	180.7	192.7	167.8	209.2	190.2
f11	272.1	230.6	227.6	252	268.6	197.3	212.1	238.4	247	266	250.9	241.4	209	273.6	278.1
f13	357.7	307.5	307.5	312.9	347.6	258.4	293.5	345.5	343.4	345.2	370	367.9	310.4	391.9	368.2
f15	366.5	308.5	319.9	349.6	368.6	276.6	269	360.5	353.3	361.1	328.2	334.1	312.7	406.5	365.8
f16	8956.2	7595.9	7126	8198.8	9349.6	6168.2	6764.1	8015.6	8012.9	8894.9	8070.8	8014.3	7373.3	9678.2	9104.8
f17	194.3	164.6	174.5	197.3	229	149.9	142.8	201.7	188.4	200.5	205.2	193.5	206.8	244.6	221
f18	1548.5	1306.6	1362.9	1512.6	1640.8	1060.6	1177	1436.5	1344.2	1530.3	1244.1	1262.7	1166.1	1476	1445
f19	130.6	114	118.1	141.1	144.5	125.6	125.2	170.5	164.1	148.8	191.6	190.7	172.6	199.9	201.5
f20	445	400.1	375.6	407.6	451	308	339.8	429	426.3	456.8	408.9	447.9	371.6	494	490.3
f21	1033.6	928.1	927.3	1003.2	1119.8	814.2	863	1044	1039.7	1070.7	1019.4	1042.3	922.9	1180.6	1137.6
f22	960.7	777	755.2	859.9	898.1	676.9	699.7	830.6	846.6	1085.8	1098.4	916.9	740.6	964.7	1030.1
f23	250.7	228.8	239.4	255.5	271.9	230.9	232.4	275.8	294.6	268.8	286.6	279.4	253.4	333.4	315.8
f24	1335.1	1252.1	1114.8	1312.3	1430.2	858.3	926.5	1187	1015.9	1353.2	1167.9	1139	1004.9	1390.2	1340.8
f25	111.1	85.3	102.1	104.4	99.4	80.6	78.4	96.7	104.8	107.6	119.7	112.5	88.5	127.5	120.1
