index	GFP1	GFP2	GFP3	GFP4	GFP5	R17_1	R17_2	R17_3	R17_4	R17_5	Fing1	Fing2	Fing3	Fing4	Fing5
f1	222785.2	200797.7	189774.4	207903.2	229923.9	181027.2	190911.9	231597.6	232862.5	238732.8	244247.4	243584.8	223845.3	280103.7	262838.9
f2	126954.1	114085.9	106865.8	117117.4	130841.4	97486.7	101916.3	122377.3	124000.6	124859.5	113331	114420.5	105313.1	133230	124075.1
f3	284663.2	255538.4	245868.2	270694.1	295245.5	240448.2	256735.1	300753.4	310163.2	309800.6	314185	321648.1	286968.2	361684	337191
f4	147399.7	132659.6	124814.7	137272.5	150455	121100.9	128736	154210.8	157044.5	156511.7	160452.4	157601	143934.1	179436.6	168288.6
f5	12007.5	10961.4	10397.6	11438.2	12497.7	9188.3	9743.2	11697	12078.1	11894.5	11977.4	11961.1	10953.1	13519.1	12561.6
f6	108530	96611	93497.5	102959.3	113012.3	95699.9	102205.2	121983.8	124847.7	123732.4	132796.6	133243.4	119455.5	149900.9	139445.7
f7	128012.9	115270.4	108208.5	120247.1	131829.9	94029.2	101370.4	117788.2	119751.1	122306.1	123724.5	123800.5	110629.5	138384	130516.6
f8	104258.8	93265.8	86844.3	96517.2	106373.1	75500.6	81051.2	95563.6	97274.4	98981.9	97081.2	98018.2	88315.9	109789.9	104356.9
f9	175063.1	159082.7	145325.5	160934.9	182332.5	120918.4	128476.6	157407.5	156741.7	166301.3	159596.8	154213.2	145240.2	181757.6	171077
f10	125034	110842.3	107288.1	117887.3	128511.6	103987.2	109157.4	131336.7	131176.1	137151.3	141714.3	141933.9	124261.2	158540.9	151090.1
f11	68609.2	61667.2	58571.4	64035.2	70896.8	52639.3	56365.9	66974.8	68540.5	68521.2	66257.2	66857.5	60071.5	77103.5	71484.8
f12	142046.4	126699.2	120634.7	132534.1	145273.2	101338.7	106386.9	128556.6	128415.4	133451.3	124057.3	127255.3	114424.5	144805.1	138039.6
f13	150112	129490	125993	138583.2	158580.8	112058.6	112394.8	137159	134345.1	142627.3	135019.4	134675	121387.3	153224.2	146645.7
f14	286951.2	251120.4	242209.3	267481	303412.1	221633	227087.5	285338.4	273794.1	292322.3	275174.9	278108.5	253057.4	321692.8	304694.6
f15	54373.4	48421.3	46999	51389.6	55047.6	47782.6	51540.6	60241	63909.8	61624.9	66690.1	65888.1	59005.3	73980.6	69313
f16	6262.7	5985	5610.4	5979.2	6697.3	5495.7	5804.3	6518.9	6689.7	6783.3	6935.7	6635	6460.6	7990.3	7192.4
f17	84302.1	75575.6	72359.7	79286	87063.7	64221.7	67881.1	79699.5	81406.2	80755	80820.7	80694.7	73944.9	91170.4	84810.9
f18	227841.8	200024	194268.1	214143.6	238139.3	188116.6	199987.9	236059.1	239160.7	242028.5	262926	273551.2	237664.5	301432.7	280993.6
f19	69123.3	61718.3	58262.7	65252.8	70933.4	54854.9	59586.1	69102.7	71255.4	70811.2	71488.2	71810.8	64896.9	80759.3	74841.3
f20	414130.2	362892.8	349155.4	382669.9	435245	300939.5	312252.3	377984.4	374128.8	393910.7	366208.3	373685.1	336685.6	426955.4	406846.7
f21	248174.7	216842.2	209194.1	229495.3	257857	201181	208119	256494.9	254159.2	262719.4	261690.3	267811.7	238793.7	304597.6	288311.5
f22	47552.1	42548.8	40723.8	45250.7	49067	36654.9	39683.3	46081.6	48224.3	48397.7	50232.4	49846	44609.1	55514.2	52605.6
f23	53838.8	48478.1	45041.9	49903.9	54876.3	39575.8	42578.6	50448.6	50910.1	50689.3	51033.1	50392.1	45968.4	56788.5	53444.2
f24	30124.6	27015.3	25784.5	28131	30929.4	24975.4	26228.4	31681.5	31956.5	32246.8	32441.9	32746.1	29898.5	37189.9	35498.5
f25	57003.9	50974.6	48603.4	53375.6	59586.3	45248.4	47510.4	56704.6	57500	57599.1	59007.8	59818.4	53888.6	67553.3	63451.4
f26	21200.9	19294.6	17849.6	19567	21744.4	16293.5	16878.6	20308.9	20739.6	21588.9	19917.8	19554.5	17772.8	22272.6	21112.5
f27	56268.9	49781.2	47163.7	51700.9	56448.4	41036.6	43368.2	52287.4	52198	54118.8	49107.5	49042.6	44969	56388.9	54093
f28	155325.1	136287.6	132305.3	147538.4	161843.5	132453.3	140794.8	165863.5	169633.6	170029.4	188110.8	191436	165428.2	211915	198202.6
f29	244280.2	214577.2	205404.5	227254.1	257169.3	173462.6	180467.9	214955.4	215410.6	228408.1	208660.6	210914.8	189261.7	241397.5	229374.3
f30	48095	43822.9	41190.5	44915.6	49677.2	38448.4	40015	48677.1	48266.3	49717.3	48985.2	49238.8	45347.8	56864.4	53947.6
f31	46000	42304	39856.8	43864.7	48198	37394.2	39244.4	47374.4	47835	48134.1	46754.9	47067.1	43385.2	54316	50844.6
f32	212393.6	186231.9	176617.2	194286.2	219236.5	149427.8	155131.3	192188.2	188042.7	194203.5	185309.3	192562.7	171876.1	221104.7	204772.8
f33	95358.3	85868.5	80937.9	88789.1	98251.1	73913.9	77202	94942.8	93971.2	96935	93257.6	92956.8	85781	108653.4	102541.5
f34	55361.1	49188.4	46335.6	51228.3	57394.3	44898.6	46824.5	57032.3	56673.5	59707.5	57944.1	58701.1	53306	68069.4	63792.1
f35	60401.9	54743.9	52210	56935.1	62591.2	48156.3	50534.8	61736.4	61123.3	63316.9	63718.6	62888.5	56961.4	71374.2	68418.7
f36	195214.5	168934.2	173722.4	193175	204469.5	182825.3	189917.1	233753	236720.1	232107.7	252784	253520.8	224802.6	287680.2	270003.7
f37	26819.5	24471.2	23044.3	25658.2	27598.6	22500.9	23179.8	27963.4	27839.4	28074.2	24958.1	24141.3	23361.8	28773.2	26398.8
f38	100251.7	90325.7	85122.3	93653.1	103826.5	78105.4	81304.7	100485.6	99105.1	103065.2	100433.2	99846.2	91710	115762.5	108494.7
f39	96664.2	85399.9	82333.5	91335.1	101979.8	76877.4	81395.2	97376.4	96307	100467.7	97915.7	99168.8	89395.9	113845.2	106769.5
f40	10950.1	9979.5	9955.9	10763.3	11697.6	9461.3	9908.9	12004.2	12319.5	12367.6	12640.8	12695.5	11472.5	14598.4	13751.5
f41	56643.2	50416.5	47140.6	52274.8	57526.1	40934.8	42383.8	51533.1	51801.2	54544.4	52138.2	50532.5	45935.5	57711.5	55169.5
f42	65461.9	58614.8	55030.7	60458.1	67158.2	44490.5	46557.2	56728.5	56435.7	59414.6	55878.8	56112.7	51871.9	64882.8	61272.6
f43	94842.9	85315.7	80496.4	88314	97861.6	76093.9	80123.8	97533.7	96999.2	101197	96858	98505.3	90021.8	115045	108459.3
f44	103719	90585.1	86770.1	95269	108264.8	82020	87352.9	104589.8	104819.4	105998.2	104266	108625	97343.4	123800.1	115962.8
f45	40744.7	36370.7	33906.4	37672.6	41932.3	30414.3	31542.6	38706.8	37920.2	39803.5	37600	38569.2	34745.8	44763.8	42468
f46	114174.7	102019.5	97311.9	107386.4	118568.1	85128.9	89096.3	109613.9	109058.6	111721.8	107829.8	108665.8	98232.5	125269.5	116789
f47	64717.1	56111.7	53952	59871.8	66124.5	48784.7	51411.8	61198.3	63740.2	64143.2	66959	68089.7	59770.5	76478.3	71795.8
f48	84928	74856.9	72660.6	79337.5	87984.9	72353.5	76062.8	93901.6	93432.7	94945.4	102711.1	102538.1	91243.1	116320.1	109279.2
f49	39616.4	35884.6	34166.4	37595.9	41270.8	34284.1	35734.5	43646.7	43355.2	43795.3	44135.9	44586.8	41037.9	51616.2	47645.8
f50	290450.9	245859.2	252361.3	282996.5	305942	280003.8	297377.7	366980.2	372533.3	367758.4	416191.8	411580.5	364638	468436.9	434321.3
f51	89947	79936.4	76718.4	84424.8	93640.1	82743.5	86526.1	103839.4	105806.1	105356.4	113371.4	117455.8	105389.6	133546	123065.5
f52	131517.1	116354.2	110466.6	121017.2	138900.7	106475.7	110322.8	131567.3	132440.4	138314.9	134445.1	135282.9	126219.4	158028.8	148905.7
f53	107552.2	97229.9	92903	102386.5	114265	91342.3	98696.8	115759.8	117916.8	118273.1	129719.5	132286.4	117688.2	147796.8	138314.4
f54	53549.2	49110.6	45186.1	49873.1	56237.6	42184	44104.1	53809	53616.3	55862.8	51358.3	52152.9	48893.6	62451.7	58104.9
f55	192230.7	166408.3	172673.4	192137.2	201452.7	200159.8	213556.8	262192.5	263565.2	249176.5	291225.5	293171	260132	327205.4	299023.5
f56	77620.1	69793.7	63926.9	70782.7	78956.5	45681.2	48586.2	58474.5	58063.6	63273.8	54564.4	55057.3	50877	64043.6	60721.8
f57	59907	53742.6	50990	55962.3	62736.6	51788.2	53068.4	65009.8	64587.1	67564.6	66557.9	67393.8	61553.4	78748.9	73341.4
f58	9699.6	8803.9	8291	9108	9845.4	7525.5	7952	9620.1	9986.2	10203	9939.5	9619.8	8870.3	11010	10648.8
f59	49858.3	44202.8	42196.5	46705.3	51786.9	41424.2	43385.6	53172.3	52700.9	53364.7	51196.5	55135	49883.8	63199	57588
f60	27042.1	25244.2	22724.1	25049.9	28306.1	21732.9	22274.4	27083.7	27365.4	28177.7	25864.3	26358.2	24409.3	31155.8	28984.5
f61	47009.2	41307.3	39167.2	43587.4	47966.4	35572.4	37553.3	44511.2	45373.1	46355.3	45510.1	46118.6	41486.5	52348	49271.7
f62	52451.1	46257.6	44535.4	49087.3	54667.8	45227.6	48414	55365.3	57981.4	56898.7	58383.6	59958.8	53206.1	67167.4	63135.3
f63	46460.3	41839.5	39738.3	43562.4	47513.9	36462.4	38054.7	45787.3	46205.5	47103.4	46831.5	46139.9	42255.8	52785.1	50137.1
f64	76616	68840.1	64122.5	71248.7	78153.3	53525.8	56208.5	68215.4	68409	70952.7	65851.6	65751	60061.3	75889.6	71562
f65	269764	236740.6	226604.9	250473.7	286480.9	184992.3	193049.4	235761.4	229017.5	251546	230868.9	228775.6	208894.9	262002.9	252484.6
f66	42839.2	38191.1	36145.9	39917.2	44108.9	31066.6	33405.3	39335.8	40435.2	42201.2	41321.4	40534.8	36675.1	45884.3	43438.2
f67	53472.5	48147.9	45650.7	50239.2	55813.6	42849.8	45404.4	53509.4	55273.5	55037.6	54965.9	55585.1	51078.6	63776.9	60392.8
f68	74498.4	65515.2	62666.4	69564.7	76889.2	53548.8	57556.5	66917.8	67329.1	71549.4	69704	71148.9	62616	79138.6	75500.8
f69	12851.4	11645.5	10892	11963	13353.5	10675.3	11565.1	13356.7	13679.5	13899.3	13332.7	13768.5	12430.1	15532	14480.3
f70	32672.7	30017.5	27550.5	30500.4	33503.3	23373.3	24766.7	29715.7	29868.8	30513.8	28136.7	28425.7	26200.6	32827.7	31273
f71	41197.7	36677.7	35308.4	38590.9	43364.2	29330.2	29812.8	36168.8	36252	38543.8	34977	34868.2	31837.6	39314.1	37553.5
f72	94866.2	83969.5	80634.2	88482.9	99489.7	73526.4	77435.2	94104.7	94298.3	95836.6	88265.3	93371.2	84072.6	107814.7	101017.5
f73	216175.8	194248.4	183274	200805.6	224091	156601.3	162974.5	203643.8	195611.9	212992.2	191603.6	192824.6	178607.4	227859.3	210488.6
f74	27658.8	24797.8	23691.4	26082	28651.3	22953.3	24058.7	29237.8	29364.1	30157.8	30098.8	29999.2	27203.2	34441.1	32308.4
f75	37527.9	33390.1	32238.8	34986.4	39052	29755.1	31424.6	37815.7	38122	39089.7	37683	38553	35149.1	43699.7	41767.4
f76	67956.9	60948.2	57787.5	64106.1	69661.5	53890.4	57808	68063.2	69235.4	70890.6	71959	71331.7	65159.1	81464.4	75945.8
