"GFP1"	"GFP2"	"GFP3"	"GFP4"	"GFP5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"	"Fing1"	"Fing2"	"Fing3"	"Fing4"	"Fing5"
"f1"	9.69779178964573	9.48760727194198	9.62588576835975	9.51626129345984	9.64525234127126	9.68392014081985	9.6893857507667	9.77832874904171	9.74580360379869	9.8067672015918	9.99660241367416	9.87277973427642	9.7748634027612	9.81708821390668	9.84361812315283
"f2"	8.78319781824571	8.75522678242786	8.92233038959642	8.7965017923778	8.77956012428002	8.72494157309349	8.90564660803069	8.91328832826299	8.87570223409811	8.96959771961554	9.02710878688633	8.87305283472505	8.9359163212064	8.86047635251324	8.90128707100819
"f3"	7.4644231736259	7.51606600132092	7.51899946607376	7.34245929583438	7.33502263631672	7.07943259058863	7.03642281244932	7.12827278018937	6.97244977757865	6.88186957094565	7.12901210815851	7.11188073835113	7.20740793014985	7.15143281127824	6.98945224935991
"f4"	6.7128159742682	6.48699490257796	6.55108111721882	6.71539146891078	6.58240308208729	6.44715541647327	6.63991977331142	6.61448139846443	6.58573972065895	6.65140001140935	6.6417880639896	6.54451891936636	6.70114989230644	6.60680515795347	6.58483557508539
"f5"	7.12873813669237	7.14259016300279	7.18895152708389	7.2246434668086	7.12771006323416	7.2494855977654	7.3219770035719	7.30548099896517	7.16630706877011	7.10504730312731	7.19891987480524	7.3434031675662	7.26712841507075	7.30637774368169	7.32043424755611
"f6"	6.24393264089083	6.33498102415723	6.3994783438558	6.35311060669046	6.34291184708188	6.47085677353461	6.46777179089185	6.50847814888536	6.5737525058977	6.53096808862289	6.45668952215764	6.34899763506812	6.38725194091018	6.38667800680025	6.44120279262137
"f7"	8.9065685757618	8.71173119276301	8.86795204653983	8.83690561826153	8.9114151045033	8.62954071227588	8.60755283082262	8.66073863964294	8.66798549364858	8.81739163591228	8.84949743659602	8.71343562051231	8.74256583201929	8.72578488061212	8.76125499765512
"f8"	8.65406902677896	8.68802833776847	8.78185623700016	8.75550536670046	8.77117335653586	8.56803244623027	8.69952151023634	8.67794290844195	8.5278021832358	8.73421871289884	8.58959143266152	8.4998095631384	8.60254473546999	8.59937256164152	8.66035802257531
"f9"	8.06582582017646	8.13950786853288	8.20880705837652	8.05589505761771	7.9270018282463	8.10795137617442	8.15880862917706	8.14714745128936	8.08982720017552	8.06226623546315	8.16392841813496	8.15021635458688	8.12095545936423	8.19343592206485	8.1586177895193
"f10"	7.35128256850335	7.34946411349781	7.3390812930618	7.31287342091476	7.39961914565464	7.50063085997722	7.39540868703494	7.52470797900044	7.58870189186795	7.46840810324302	7.50089458641824	7.59753591798938	7.54074921346008	7.51544295827056	7.43954863128363
"f11"	8.00556135853901	7.91167548556087	7.96356799870125	7.94896648724522	7.9308673877931	7.95265558173242	7.96921589884187	7.88385458055453	7.91004799730116	7.99845726363693	7.97407929142859	7.92130338993343	7.85279069353336	7.89814913609163	7.9874332994766
"f13"	8.39717881517732	8.32191332459232	8.39592744553961	8.25997439652873	8.29739275904139	8.33789676654528	8.43672154957431	8.41381783162695	8.38159055509638	8.37339628729778	8.53797459974056	8.52889188119718	8.42028880020264	8.41311767893627	8.3926225103379
"f15"	8.43195427796311	8.32648324597641	8.45263353618721	8.41900125198765	8.38140062236987	8.43536236059549	8.31194312760398	8.47476139041363	8.42235965547076	8.43803276925472	8.36628732852653	8.39078773649575	8.43097274980891	8.46565708029357	8.38331145568318
"f16"	13.032410220335	12.9327118568775	12.927086128292	12.9788645244367	13.0102918541576	12.8818014663655	12.9333500053434	12.9564343152755	12.9138190058153	13.0305582404165	13.0145275623194	12.9767036627175	12.9752706863962	13.018048799745	13.0194848778927
