"R17_vs_Fing_Difference"	"R17_vs_Fing_Difference"	"Paired_Ttest_uncorrected_P"	"Paired_Ttest_Corrected_P"	"Pass_Selection_0_No_1_Yes"
"f41"	1.2625200667096	1.2625200667096	0.00105585478170468	0.0313363175187473	1
"f92"	-1.31989218514796	1.31989218514796	0.0015616868535219	0.0353586803937712	1
"f267"	1.32562485324023	1.32562485324023	0.00103777038101723	0.0312587277688622	1
"f519"	1.44555567683654	1.44555567683654	0.000516235615026381	0.0235567312837932	1
"f523"	1.25935345308422	1.25935345308422	0.000106742349363114	0.0155297007691367	1
"f965"	1.28631401574492	1.28631401574492	0.000180067467055953	0.0172476387562418	1
"f1013"	1.58872036772505	1.58872036772505	2.96448703640576e-06	0.0139769170698046	1
"f1075"	1.38261920705011	1.38261920705011	0.000110111358191451	0.0155297007691367	1
"f1092"	-1.42029820922266	1.42029820922266	0.000135525931317919	0.0155297007691367	1
"f1473"	-1.34801492438476	1.34801492438476	0.00228560855712043	0.03917787042805	1
"f1769"	-1.27928268070813	1.27928268070813	0.00263437026638188	0.0411187509715668	1
"f1808"	-1.44424020943003	1.44424020943003	0.000279061378939346	0.0200472770017457	1
"f1874"	1.31082050011109	1.31082050011109	0.000236935612670367	0.0191310821139627	1
"f1878"	-1.27536782456569	1.27536782456569	0.00320625440835184	0.0446013390131869	1
"f2085"	1.33199141101001	1.33199141101001	0.00100890496651531	0.0309968601347629	1
"f2184"	-1.90408233872594	1.90408233872594	0.0003546606877627	0.0205031652037963	1
"f2443"	-1.34352228721606	1.34352228721606	0.00116175230235519	0.032337094000029	1
"f2449"	1.4186589109138	1.4186589109138	0.000236252929110598	0.0191310821139627	1
"f2471"	-1.3045593873936	1.3045593873936	0.00233760736882116	0.0394446010248407	1
"f2522"	-1.27397309597517	1.27397309597517	0.000186840787599922	0.0174121228189929	1
"f2524"	-1.28457763919109	1.28457763919109	0.00218450134934807	0.0389463105531581	1
"f2626"	-1.43028132095285	1.43028132095285	0.000854875770630519	0.0291015201360982	1
"f2634"	-1.29800874526526	1.29800874526526	0.00145611817512599	0.034046428833633	1
"f2646"	1.30406711528588	1.30406711528588	0.000321712418711385	0.0202294901878407	1
"f2686"	-1.37781808905508	1.37781808905508	0.00273670347049529	0.04171231342705	1
"f2712"	1.36475005798217	1.36475005798217	0.000200274311110756	0.0180095818892164	1
"f2720"	1.33155167476344	1.33155167476344	0.000320399428304639	0.0202294901878407	1
"f2746"	-1.31915052194992	1.31915052194992	0.00315188931011046	0.0444999401152879	1
"f2873"	-1.39347385430369	1.39347385430369	0.00107447966927127	0.0313363175187473	1
"f2893"	1.38342283456859	1.38342283456859	0.00157993717758109	0.0354850258045224	1
