"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f5636",1.61750744256175,12.1395864758551,44.34895648244,1.11880033210277e-17,1.09306792446441e-13,30.504859052077
"f7814",1.34201021299646,9.56399968285523,40.6243180922144,4.27745018967227e-17,2.0895344176549e-13,29.3066918761601
"f8097",2.4460011342255,8.03184175412587,39.3461711190806,6.96986124311004e-17,2.26985147817283e-13,28.8624886139501
"f4765",1.05527330785369,10.3431541373467,37.0788580518339,1.72406368017009e-16,4.21102553881545e-13,28.0281081373148
"f8488",0.950881766076934,10.5221428574512,34.2566134662101,5.76013374533779e-16,1.125530133839e-12,26.8974976694118
"f3679",1.60295643287241,10.2836392307756,33.537680641632,7.95465879786253e-16,1.22139994141084e-12,26.5915033710878
"f4369",1.64831275272281,8.94863543717732,33.3279954955274,8.75107429874707e-16,1.22139994141084e-12,26.5007881607756
"f4035",-1.10920211460329,10.645022717004,-32.829602504094,1.10049070228759e-15,1.34397427016872e-12,26.2824395529865
"f4715",0.929810547315132,11.9640433543673,32.4509301086559,1.31278149193314e-15,1.3562386782472e-12,26.1139192690238
"f8532",-1.48620086013955,9.61208674658071,-32.3319520098838,1.38816650792959e-15,1.3562386782472e-12,26.0604944351437
"f10298",0.817577511554315,9.64492120742814,32.0426319029511,1.59137441197237e-15,1.37122561779259e-12,25.9296168663111
"f9452",1.28539114552546,7.86570196024527,31.6363671323981,1.93183506359535e-15,1.37122561779259e-12,25.743496308083
"f6620",2.01051332384934,9.48016812258246,31.5469730950304,2.01668362267076e-15,1.37122561779259e-12,25.7021699033502
"f5286",1.00537144931493,8.95756919174901,31.5178953604544,2.04513043064036e-15,1.37122561779259e-12,25.6886981527944
"f2873",1.62194242099666,12.5677837413543,31.4578238701224,2.10525939272148e-15,1.37122561779259e-12,25.6608213094446
"f3185",1.43911543654012,12.3173276323029,31.1612549690763,2.43096624565802e-15,1.48440876375493e-12,25.5222869594359
"f6273",-1.14210190222994,9.7178165573205,-30.1955598722809,3.91994335070295e-15,2.25281450213928e-12,25.0604472476187
"f9404",-2.14893815169566,9.65278857210803,-29.4743019640574,5.65582334763423e-15,3.06985522813258e-12,24.7043594245707
"f6377",1.35704838857275,12.2150537123548,29.2465607793033,6.36140346985417e-15,3.24025327885457e-12,24.5898651426853
"f7407",0.792527362151809,11.1495188676692,29.1659622324797,6.63306710103289e-15,3.24025327885457e-12,24.5491035568854
"f9286",1.13270687646309,11.0617578105914,28.9636009967058,7.37101897128151e-15,3.38315808363163e-12,24.4461996980641
"f8023",1.88860570705145,10.4283783367993,28.7437839293901,8.27264206419094e-15,3.38315808363163e-12,24.3334981036184
"f5819",0.698707133935185,10.5619120427581,28.7434435104543,8.27412606708648e-15,3.38315808363163e-12,24.3333228182192
"f9738",1.80163258181354,9.30396397168852,28.7350682340253,8.31072610103983e-15,3.38315808363163e-12,24.3290095631936
"f7044",1.03383210993892,9.62471186442763,28.4307920230738,9.76441869367484e-15,3.81593482548813e-12,24.1713443302057
"f5240",0.898226088108091,9.92894558535283,28.0130380732778,1.22165683052682e-14,4.59061047471041e-12,23.9517768584566
"f6299",0.995972503162252,7.66661266856224,27.7511002693091,1.40823611690714e-14,5.0957284674751e-12,23.8122353061869
"f3754",-1.65083806870506,10.5972913217769,-27.0516717378214,2.07151143857967e-14,7.07360598302811e-12,23.4323567381287
"f8331",-1.0898491595921,12.0444235279462,-27.0275403768194,2.09963739516699e-14,7.07360598302811e-12,23.4190573868771
"f8475",-1.39405617855766,9.95704921473704,-26.9505888573155,2.19207270692143e-14,7.13885011554078e-12,23.3765601478946
"f5953",-0.83335782675295,11.2439769063868,-26.7131034196881,2.50567389682138e-14,7.78650262268846e-12,23.2445603608784
"f8742",1.11775336185293,8.9315513223344,26.6818728995849,2.55033862769735e-14,7.78650262268846e-12,23.2271059108356
"f1726",-0.817679961533212,8.45664435659894,-26.5821901039439,2.6986564482877e-14,7.98061939913254e-12,23.1712438888923
