"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f4035",-1.27098459319289,10.645022717004,-37.617958381078,1.38336443975262e-16,1.35154705763831e-12,27.4289620210661
"f5636",1.13701115535357,12.1395864758551,31.1746684571432,2.41513209891335e-15,1.17979203031917e-11,25.0494165729373
"f4765",0.804415665460715,10.3431541373467,28.2645396716742,1.06709604107188e-14,3.47517610709076e-11,23.7430530984925
"f8532",-1.10807210201486,9.61208674658071,-24.1058493415699,1.17796084901266e-13,2.59731913423424e-10,21.5479725237158
"f7814",0.789954131393975,9.56399968285523,23.9128939565622,1.32923190083636e-13,2.59731913423424e-10,21.4351333179565
"f4715",0.674845547692426,11.9640433543673,23.5525029970244,1.66988948005542e-13,2.71913670335691e-10,21.221469068187
"f10298",0.587504716678993,9.64492120742814,23.0255811978042,2.34521039296439e-13,3.27324364846601e-10,20.9020685353238
"f8488",0.618485318035921,10.5221428574512,22.2816476562538,3.83667075623891e-13,4.4792264006842e-10,20.4363678784088
"f2873",1.14325648753254,12.5677837413543,22.1736362262932,4.12620651035392e-13,4.4792264006842e-10,20.3672659030632
"f8097",1.35240278788511,8.03184175412587,21.7546389367878,5.48918571824229e-13,4.5874912008634e-10,20.0955191177883
"f5773",0.735287366912518,8.85930098749864,21.7321636142963,5.57468591140563e-13,4.5874912008634e-10,20.0807743699734
"f3719",-0.612348912774651,11.8901723633045,-21.71663522424,5.63458489358862e-13,4.5874912008634e-10,20.0705769843348
"f5286",0.675742483430065,8.95756919174901,21.1841910747267,8.16449100894288e-13,6.13592901210553e-10,19.7158476603631
"f9144",0.567363522788687,11.7155734371652,20.733602860025,1.12519513168734e-12,7.85225459756096e-10,19.407737021013
"f7407",0.552669912763776,11.1495188676692,20.3389189730064,1.49826673923196e-12,9.75871069486419e-10,19.1316656411901
"f1726",-0.621407974801706,8.45664435659894,-20.2015283428403,1.65732790531765e-12,1.01200585218459e-09,19.0341715766932
"f10418",0.649041378133136,11.2249997095724,20.1058885955164,1.77859039258128e-12,1.02216636091289e-09,18.9658723965113
"f8475",-1.03384182381255,9.95704921473704,-19.9867454164557,1.94298961414124e-12,1.05461158500888e-09,18.8802877477195
"f2791",0.549678363503798,9.23296076744653,19.8023920726392,2.2299794647136e-12,1.14667891422378e-09,18.7467527364351
