"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f6620",1.1667121619248,9.48016812258246,18.3068854830651,7.13926504695517e-12,4.86961469101338e-08,17.3425404386328
"f8097",1.0935983463404,8.03184175412587,17.5915321822929,1.28512955872967e-11,4.86961469101338e-08,16.8085580138292
"f10608",0.976230395640213,9.52625747470876,17.1251643939412,1.90778027658562e-11,4.86961469101338e-08,16.4465070566556
"f7814",0.552056081602482,9.56399968285523,16.7114241356522,2.73105168263263e-11,4.86961469101338e-08,16.1156462489781
"f3185",0.768711272140933,12.3173276323029,16.6449524065812,2.89524399532824e-11,4.86961469101338e-08,16.0616172166844
"f4148",0.794897769536478,8.31129797108785,16.6081792812228,2.99055149908703e-11,4.86961469101338e-08,16.0316220589132
"f9508",0.597960131230877,8.60560325038817,16.1894623473069,4.34431001454525e-11,6.06341554887244e-08,15.6846928151343
"f1013",-0.667865216821236,9.31271611302159,-15.9349803915065,5.47429464243107e-11,6.68548233206894e-08,15.4688879215334
"f6299",0.537296030803293,7.66661266856224,14.9708510805091,1.35562639337871e-10,1.22180613473882e-07,14.6154525349659
"f4369",0.737952003754989,8.94863543717732,14.9209917938417,1.42268643169843e-10,1.22180613473882e-07,14.5697096826899
"f3679",0.710856508509922,10.2836392307756,14.8728175485783,1.49083037494927e-10,1.22180613473882e-07,14.5253571572859
"f7312",0.546897381456841,8.25110921191267,14.8660459948902,1.50068307235065e-10,1.22180613473882e-07,14.5191104972799
"f6273",-0.555341309818576,9.7178165573205,-14.6824392266896,1.79595448982159e-10,1.34972887427361e-07,14.3485708490388
"f2184",0.929095866830273,8.64180743778383,14.5896253427301,1.96812723302991e-10,1.37347164762159e-07,14.2614990695202
"f3220",0.442282737679248,10.6004643537261,14.4969069621355,2.15770076837746e-10,1.40538243380318e-07,14.1739306898107
"f9452",0.558709266012817,7.86570196024527,13.7510916590517,4.60860322917025e-10,2.81412834681208e-07,13.447534924751
"f6377",0.633191940424302,12.2150537123548,13.6462978966144,5.1416968752017e-10,2.93453037412475e-07,13.3422292445519
"f8540",0.498988334867091,8.58430096224022,13.5984478996883,5.40650427167303e-10,2.93453037412475e-07,13.2938715900122
"f9029",0.80086137827154,8.81296373231068,13.3058513931887,7.3743909387017e-10,3.63076173432403e-07,12.9943762636503
"f6989",-0.349005749604352,10.7914227402506,-13.2985266712813,7.43247028520784e-10,3.63076173432403e-07,12.9867941259387
"f10007",0.513022445837207,11.4394129947753,13.1871002990157,8.37836934622583e-10,3.77257130845894e-07,12.8709341490585
"f5636",0.480496287208181,12.1395864758551,13.1742880252967,8.49504286449302e-10,3.77257130845894e-07,12.8575495119499
"f6861",0.647362425418307,8.53997327151181,12.912786624255,1.12938637014299e-09,4.66883376141803e-07,12.5815074800714
"f6840",0.459509120955943,8.51570295177873,12.8753919801828,1.17679407548457e-09,4.66883376141803e-07,12.5415831565038
"f5280",0.618886350565042,9.78107294139195,12.8524518616344,1.20691638571991e-09,4.66883376141803e-07,12.517034768253
"f9692",0.65679815353287,8.31504509273911,12.8261406971608,1.24247367243468e-09,4.66883376141803e-07,12.4888260190269
"f1092",0.506193873249666,10.8216274733787,12.5500092981725,1.69024850212221e-09,5.94320670041846e-07,12.1893253166112
"f965",-0.363242877235544,11.3754132517324,-12.4839215607101,1.82097652948847e-09,5.94320670041846e-07,12.1166965533186
"f7265",0.710891225108822,8.51985330591981,12.4605311189483,1.86977545118976e-09,5.94320670041846e-07,12.0909021656106
"f1808",0.530310714615988,10.029560493016,12.4587170778568,1.87361746794146e-09,5.94320670041846e-07,12.0888997389277
"f4457",0.397629192778114,9.50384932076016,12.4374083649085,1.91937897286627e-09,5.94320670041846e-07,12.0653571184848
"f4395",0.582464019232201,8.07836488512833,12.4249875959552,1.94659789573583e-09,5.94320670041846e-07,12.0516163107426
"f9259",-0.371702229419176,10.1821529021575,-12.3179359763849,2.19884961429139e-09,6.50992749443238e-07,11.9326382821855
"f2626",0.516298937511893,8.64788363043724,12.2522093582641,2.37069266518098e-09,6.70404672581464e-07,11.8590981831894
"f8023",0.804286688095452,10.4283783367993,12.2409048609693,2.40165440535837e-09,6.70404672581464e-07,11.8464119228052
"f4452",0.417918379071965,9.44044477009401,12.2103193233042,2.48759031411502e-09,6.75104371358437e-07,11.8120318933579
"f7725",0.537860008243079,9.76645155753945,12.1011325434784,2.82191054749335e-09,7.45136920243516e-07,11.6886287374044
"f1893",-0.312950286947684,10.3361818861948,-12.0688526869264,2.92962143817101e-09,7.53221090813968e-07,11.6519440913892
"f10619",-0.362791399825634,7.50971105430356,-11.9990168180276,3.17782198582762e-09,7.66486135828551e-07,11.5722609999358
