"GFP1"	"GFP2"	"GFP3"	"GFP4"	"GFP5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"	"Fing1"	"Fing2"	"Fing3"	"Fing4"	"Fing5"
"f1"	17.7160563727752	17.7409596463272	17.7285105721125	17.716017236467	17.6899844388424	17.7575653848739	17.7673231512324	17.7680811992581	17.7914491742922	17.7740750764373	17.8393289752351	17.8089329085453	17.8378227794264	17.8067525697001	17.8051938271336
"f2"	16.9070621380235	16.9286095366483	16.9020819040399	16.8912676633149	16.8833070886226	16.8659916178019	16.8614314881674	16.8503490936458	16.8789950278756	16.8405559362179	16.7274319660832	16.7162685556181	16.7482998044068	16.7371556972437	16.7207676456838
"f3"	18.0688618449965	18.0876171012379	18.1013709757095	18.0955944851042	18.0482257096386	18.1665307472417	18.1948088970529	18.144025998295	18.2063002983284	18.1493319534653	18.2039167131921	18.2108620602233	18.196797275132	18.1744817925383	18.1650818004012
"f4"	17.1216075913495	17.1449984354784	17.1253184806235	17.119182329163	17.0824001069046	17.1784417595532	17.1986054462975	17.1829995218632	17.2210143207888	17.1659796339521	17.2306109817614	17.1791735304295	17.1996600384161	17.1658494965544	17.1610292829894
"f5"	13.5141900766644	13.561661818674	13.5471351113678	13.5471555103709	13.5208608422928	13.4641652237314	13.4728865176455	13.4729094825193	13.5077718834378	13.453571418138	13.4650655634863	13.4474669877824	13.4763002407612	13.4453007544041	13.4113716695524
"f6"	16.6808738816636	16.6887820581584	16.7093028161442	16.7054174256584	16.6720284641288	16.8393153791106	16.8655115417855	16.8457243265494	16.8887887937264	16.82748623332	16.9560652317153	16.9359599193493	16.9300695210395	16.9072634627232	16.8892421207932
"f7"	16.9189840122951	16.9434275202622	16.9200447773785	16.9292344171206	16.8940014893713	16.8138640422691	16.8536937687284	16.7951472329809	16.8287685477657	16.8107117755401	16.8541293413234	16.8300058617346	16.8193939062953	16.7918554281852	16.7938228581592
"f8"	16.6237194788874	16.639011940598	16.6034474232249	16.6132138346543	16.5867787254913	16.497704749685	16.5308194826267	16.4943661399407	16.5277262301612	16.5059524269262	16.5026789709446	16.4921553311902	16.493783618392	16.4587448964219	16.4706083386152
"f9"	17.3695135834139	17.4067205014786	17.3446142569911	17.3483004848956	17.3589875855449	17.1761367843766	17.1957339978143	17.2123537346486	17.2185533621997	17.2533590122581	17.2233082689782	17.1480816711989	17.2128626524385	17.1841580915282	17.1848833577338
"f10"	16.8847498648777	16.8865466844796	16.9074965969511	16.9002889490613	16.8564951072036	16.9589434398586	16.9605109293183	16.9519453179567	16.9605923142376	16.9758217639701	17.0504646924788	17.0275027967807	16.9872259399927	16.9877741983015	17.0051592864585
"f11"	16.0214848731965	16.0442142017959	16.0363891878593	16.0232066387954	16.0054648400463	15.978181170718	16.0065556745208	15.9830868679954	16.0206645226056	15.9761936554324	15.9487035438523	15.9385323078915	15.9367300739433	15.9503457751738	15.923979828534
"f12"	17.0687911930647	17.0794454435325	17.0766504339454	17.0692445602901	17.0333687475056	16.9217246624032	16.9234218054105	16.9210817139938	16.9299030378639	16.9363687802402	16.858484741141	16.8700091272423	16.8682463611041	16.8570354681992	16.8748327533091
"f13"	17.1482395510315	17.1105630528637	17.1391542709765	17.1333293720566	17.1591902059939	17.0666666693345	17.0027137411739	17.014289497801	16.9953379667602	17.032165065973	16.9810529850368	16.9520183185604	16.9536333353014	16.9383444500727	16.9622252134779
"f14"	18.0806172392343	18.0627542779652	18.0799336600389	18.0786780758899	18.0882630438746	18.0491293650451	18.0177489752396	18.0683955728378	18.0260124705145	18.065742208866	18.0123133689449	18.0008017337167	18.0152192447116	18.0057242329459	18.0187507395509
"f15"	15.6864083443524	15.695954091326	15.7191525256382	15.7063776631537	15.6416362394187	15.8387867609137	15.8773684217496	15.830701555076	15.9191597912041	15.8234185603133	15.9572212457237	15.9169674487353	15.9105814065471	15.8911660293043	15.8792513255997
"f16"	12.5789431421473	12.6935150896616	12.6591575590077	12.6153977396264	12.6289772844988	12.7241109878097	12.724827471616	12.6320774021011	12.6524863261824	12.643930829133	12.6678521660984	12.5929419739968	12.7124194499661	12.6886401192982	12.6050923401191
"f17"	16.317929246558	16.3366147740406	16.340804616793	16.3304593800889	16.2998019227688	16.2646821071655	16.2748687296548	16.233248247435	16.2698242406497	16.2127666170432	16.2367950431672	16.2107457505788	16.237025450166	16.1913616427616	16.1709837500653
"f18"	17.7482984017656	17.7351964111159	17.762148967156	17.7584865584613	17.740215584674	17.8128964605709	17.8343488175981	17.7954436604136	17.8301654436814	17.7937460854327	17.9458711354218	17.9764687492854	17.9243473928175	17.9124611029601	17.9016386328701
"f19"	16.0321218842706	16.0452213455424	16.0286615035095	16.0502054941139	16.0058333058314	16.0375815050445	16.0867312156173	16.028061098951	16.0768900387301	16.0235400387991	16.0586014774031	16.0417970862385	16.0482950366361	16.01703415758	15.9902488465876
"f20"	18.609037759035	18.5926587843829	18.6067272647728	18.5940078129128	18.6058717074644	18.4897460834646	18.4773235375109	18.4728124534668	18.4780088482989	18.4951806917158	18.4260181829497	18.4279142463881	18.4277927479967	18.4128108860672	18.4364038052967
"f21"	17.8714675836429	17.8514494721199	17.8688000385507	17.858148482951	17.8545039427735	17.9096596438395	17.8918670630994	17.9150348615717	17.9181626443196	17.9119643239528	17.939330916624	17.9460456866318	17.9312991084757	17.9273373475474	17.9388269238609
"f22"	15.4937816322607	15.5105260672577	15.5129628047962	15.5238687821427	15.478018128515	15.4568385250614	15.5000628078965	15.4451162162086	15.5117735174525	15.4753656677147	15.5466897266581	15.513514552305	15.5065053676682	15.4778338284116	15.4809736598276
"f23"	15.6726937167786	15.6984187703866	15.6581941560697	15.6647796778546	15.6387646994387	15.5672910793467	15.6016963041416	15.575449567313	15.5902920272296	15.541953435229	15.5700022739885	15.5295033833702	15.5499780134282	15.5102902400311	15.5038969338041
