"R17_vs_Fing_Difference"	"R17_vs_Fing_Difference"	"Paired_Ttest_uncorrected_P"	"Paired_Ttest_Corrected_P"	"Pass_Selection_0_No_1_Yes"
"f37"	-1.15262367114262	1.15262367114262	0.00029972793432633	0.0129318483433845	1
"f50"	1.10286618536999	1.10286618536999	0.00480033945771065	0.0368753349251409	1
"f163"	1.13097317200142	1.13097317200142	0.000708588718471225	0.0166604998239451	1
"f200"	1.10378392601625	1.10378392601625	0.0083171601967689	0.0492092087959846	1
"f233"	1.13032138801313	1.13032138801313	0.00859842756492538	0.0498900380437392	1
"f244"	1.10245332283336	1.10245332283336	0.00476714542307677	0.0368030065810135	1
"f246"	1.12294972628709	1.12294972628709	0.000193413502493398	0.0116738864004944	1
"f290"	-1.1208171107556	1.1208171107556	0.00800137824867973	0.048282526116456	1
"f293"	1.14087719105276	1.14087719105276	0.0041207915069662	0.0344759289444202	1
"f327"	1.10440283013175	1.10440283013175	0.000809904690754507	0.0172945351834401	1
"f334"	1.15277387564271	1.15277387564271	0.000422487830277625	0.0141832960688271	1
"f355"	-1.14831434036777	1.14831434036777	0.00469519233884245	0.0368030065810135	1
"f384"	1.18921761652353	1.18921761652353	0.000633724106465104	0.0161610416255461	1
"f389"	1.12072023428648	1.12072023428648	0.00124098765746948	0.019521445853611	1
"f433"	1.10722794750743	1.10722794750743	0.0010661133507168	0.0192092659532911	1
"f482"	1.10978083083088	1.10978083083088	0.0012136125203124	0.019521445853611	1
"f498"	1.14445913884211	1.14445913884211	0.000177263416612339	0.0112743345081934	1
"f512"	1.15882491139384	1.15882491139384	0.000107315927200421	0.0105153456667855	1
"f548"	-1.11574305326388	1.11574305326388	8.30020708523514e-05	0.0102808656343948	1
"f647"	-1.14541403579964	1.14541403579964	0.00256840567481325	0.0270179385076316	1
"f689"	-1.105686144752	1.105686144752	2.61889855288868e-05	0.00937049597099141	1
"f707"	1.12640169874437	1.12640169874437	0.000458045048647814	0.0146568977179095	1
