"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f2154",1.18050343314645,12.2684708586336,41.6682036652638,3.82290212403329e-16,1.91738393970345e-12,27.3021464311959
"f246",-0.65993664887276,11.8662523188494,-40.0660449660842,6.60915381953331e-16,1.91738393970345e-12,26.796194378797
"f2293",1.08208190839045,9.35413417033995,38.8593682680688,1.01267344513179e-15,1.91738393970345e-12,26.3981900726575
"f475",0.74533682274981,15.0262347645197,38.1277779771561,1.32008715860362e-15,1.91738393970345e-12,26.1493977344977
"f910",0.711518065050885,12.7893327502519,36.7211103027508,2.22947255485175e-15,1.91738393970345e-12,25.6542737595236
"f2075",0.708625215204101,12.65266630217,36.6327312935589,2.30561141918014e-15,1.91738393970345e-12,25.6224024458919
"f390",1.33557386752006,14.3625547190287,36.4175723790365,2.50285441743596e-15,1.91738393970345e-12,25.5444235477778
"f1404",-0.386601732049956,13.566696628218,-36.3249583951412,2.59324962259131e-15,1.91738393970345e-12,25.5106874366377
"f870",0.471753272069666,14.6518407448489,35.9176002194394,3.03444490718462e-15,1.99430462511078e-12,25.3610675797198
"f5579",-0.982621976316304,9.40257572861736,-35.2324080076091,3.9680913434251e-15,2.34712602963595e-12,25.1047758809542
"f2401",-0.405731126463293,12.8755481736375,-32.9678335017805,1.0000927842692e-14,5.37777165359304e-12,24.2139481358067
"f1878",0.465203596632076,12.1817502516813,31.5778711556521,1.81973998092874e-14,8.1407224962882e-12,23.6311679142879
"f310",-0.435791668455128,13.7928225280733,-31.5097206281142,1.87517086787054e-14,8.1407224962882e-12,23.6018397518784
"f2012",0.384011823472669,13.7956248785592,31.4481581135346,1.92679822397354e-14,8.1407224962882e-12,23.5752843259306
"f1862",0.492189936666175,12.7266419526046,30.7114929258534,2.67763694263632e-14,1.05588150104626e-11,23.2528474670459
"f689",0.368384252511344,15.0057636775559,30.5050900885328,2.94030769476257e-14,1.08699500090754e-11,23.1609284271259
"f334",-0.49667496578823,14.636292424581,-30.1895884546078,3.39652725327499e-14,1.18179168841891e-11,23.0190560828315
"f5014",0.479668586206081,10.7361181408711,29.6644707930775,4.3323158018865e-14,1.42364710934215e-11,22.77918161254
"f1126",-0.749614124306026,12.7033099282057,-29.5251736685184,4.62444687438005e-14,1.43966332957674e-11,22.7147499195734
"f427",0.283116688185686,14.0571749876162,29.3962948750051,4.91355326547678e-14,1.45318337826476e-11,22.6548333849158
