"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f475",0.732894918435701,15.0262347645197,37.491311146561,1.66933878466383e-15,7.63221792606343e-12,25.6233197978661
"f390",1.33264378591647,14.3625547190287,36.3376767914766,2.58063158953962e-15,7.63221792606343e-12,25.2395361771394
"f2154",0.96307142386177,12.2684708586336,33.993510825046,6.53092197216941e-15,1.28768011551274e-11,24.4080106766488
"f246",-0.492643308186635,11.8662523188494,-29.9093389824026,3.86557293137717e-14,5.71621597227399e-11,22.7693820339818
"f549",0.312751483255889,13.3426602518386,28.950885926706,6.0713241545763e-14,7.18237647486377e-11,22.3446757435299
"f870",0.373679446007193,14.6518407448489,28.4506112549568,7.7292570412942e-14,7.6197592332092e-11,22.1162355096055
"f2075",0.527119914407058,12.65266630217,27.2497249175586,1.40378572029831e-13,1.18619893365207e-10,21.5478639051374
"f1358",0.494198816941267,12.7844899878443,25.8747996166318,2.87021274887435e-13,1.64820040015738e-10,20.8600293127772
"f793",0.291002584038379,13.1289829772448,25.8034915602498,2.98163013554837e-13,1.64820040015738e-10,20.8232109487074
"f910",0.498603468984665,12.7893327502519,25.7326888539516,3.09684708301767e-13,1.64820040015738e-10,20.7865379078988
"f2494",0.476454000537755,11.381741334971,25.6453522913777,3.24556995584843e-13,1.64820040015738e-10,20.7411414517162
"f2073",0.402259327039953,11.7492153762288,25.5899995565448,3.34377088789324e-13,1.64820040015738e-10,20.7122781144471
"f682",0.246151984797063,13.344739607977,24.8104792807063,5.12220697971496e-13,2.33060417577031e-10,20.2980837220803
"f1878",0.356075607180205,12.1817502516813,24.1702981804329,7.34156356205451e-13,3.10181060496803e-10,19.9467645139094
"f4361",-0.408975641061172,9.72429899831183,-23.310329903574,1.20819941442464e-12,4.76433302421448e-10,19.4580917572999
"f5579",-0.646609233638738,9.40257572861736,-23.1845011511468,1.30146064524486e-12,4.81133732288958e-10,19.3849152778528
"f2864",-0.673116411785442,10.4376818701674,-23.0067887630534,1.44651914760848e-12,4.86329814227339e-10,19.2808157516055
"f983",0.261853668353297,12.7055348469194,22.7970159367233,1.64033590473458e-12,4.86329814227339e-10,19.1567913788891
"f718",0.30512039526297,12.873142237461,22.6721068946817,1.76879218351031e-12,4.86329814227339e-10,19.0823447487625
"f2401",-0.278783003310267,12.8755481736375,-22.6526165650017,1.78978768959337e-12,4.86329814227339e-10,19.070687862682
"f412",0.258975517895914,14.1261328362295,22.6385611689185,1.80509384058959e-12,4.86329814227339e-10,19.0622747165048
"f2018",-0.547841435909053,11.8373577296333,-22.6351455796035,1.80883447388021e-12,4.86329814227339e-10,19.0602293818888
"f619",-0.482107532824879,14.9465849125346,-22.4168293217086,2.06600990434183e-12,5.3132385148617e-10,18.9287918037478
"f2012",0.271053895603696,13.7956248785592,22.1976127952249,2.36397804750678e-12,5.82622089625108e-10,18.795399848474
"f977",0.309692802028323,12.5601433166682,21.9121404871613,2.82270400947853e-12,6.02864181925981e-10,18.6195296689196
"f56",0.383853709164072,15.887045077323,21.8954224804052,2.85236664555268e-12,6.02864181925981e-10,18.6091533952003
"f3308",0.396130482910483,10.4144322632922,21.8920327094389,2.85842162823633e-12,6.02864181925981e-10,18.6070484393154
"f427",0.210818366968301,14.0571749876162,21.8894863463599,2.86297911055039e-12,6.02864181925981e-10,18.6054669849186
"f2805",0.709873503635086,10.7671425794705,21.8385931204836,2.95571619202932e-12,6.02864181925981e-10,18.5738172384079
"f310",-0.299980895220195,13.7928225280733,-21.6899837384872,3.2453725138842e-12,6.39879280654168e-10,18.4809411670949
"f2489",0.441814481156403,11.834046538332,21.6164840812602,3.39971767799241e-12,6.4868806662339e-10,18.434752174822
"f1404",-0.224607631580781,13.566696628218,-21.1040515238789,4.72010784680216e-12,8.72482434807337e-10,18.1079606507001
"f2293",0.585834062864572,9.35413417033995,21.0382794650873,4.92582752110985e-12,8.8291726628378e-10,18.0654016673186
"f1954",0.304247342878385,12.8847411188187,20.8682868266236,5.50323755777347e-12,9.57401475124414e-10,17.9547440471265
"f756",-0.232241278279192,13.9481987423403,-20.7455315271681,5.96500211396565e-12,1.0080853572602e-09,17.8742373947453
"f574",0.251830361215308,14.3225878932201,20.6915492380865,6.18102325438114e-12,1.0155764597129e-09,17.8386737661426
"f4608",-0.436483175941881,11.1737308506764,-20.5801129547812,6.65386172416803e-12,1.06371870536362e-09,17.7649469373756
"f2037",0.280889718692816,12.6610769455062,20.523189290566,6.91018559291965e-12,1.07562494163473e-09,17.7271225141235
"f5014",0.329895346078695,10.7361181408711,20.4019423826083,7.49201377600958e-12,1.13628875602812e-09,17.6461854433285
"f1126",-0.516624732435286,12.7033099282057,-20.3483825237751,7.76551115192602e-12,1.14832496159106e-09,17.6102701293665
"f1642",0.206103672335296,14.2653535696626,20.2606262946654,8.23695666870106e-12,1.16517546419486e-09,17.551207783718
"f3314",-0.584448229806457,10.2574066722302,-20.2459430658449,8.31878190825296e-12,1.16517546419486e-09,17.5412992333184
"f1220",-0.411483690810909,14.3244207493065,-20.1979860373566,8.59214060909693e-12,1.16517546419486e-09,17.5088840056822
"f582",0.321459214979354,13.975133723257,20.1850673662292,8.66740835580286e-12,1.16517546419486e-09,17.500138129573
"f321",-0.210292939684658,14.6541844963647,-19.8843462628187,1.0634367306388e-11,1.39782850260634e-09,17.294872292838
"f907",0.256710934255704,13.492824990189,19.7599638815297,1.15829159819129e-11,1.47415138832818e-09,17.2090183239129
"f2754",-0.280922885291888,11.8676555413559,-19.7437025205104,1.17134598903507e-11,1.47415138832818e-09,17.1977522926196
"f4397",-0.690019235753937,9.83349325071404,-19.6938245602185,1.21237754266009e-11,1.49400274267384e-09,17.1631357920849
"f4551",-0.392784619112339,8.34744463355751,-19.4617339512028,1.42457026276033e-11,1.66921748699306e-09,17.0008475875023
"f4651",0.656401211564974,11.377379897218,19.4473785357368,1.43893761820018e-11,1.66921748699306e-09,16.9907435604447
"f1423",-0.227028113229936,12.331815555442,-19.4470940815069,1.43922386875142e-11,1.66921748699306e-09,16.9905432696356
"f796",0.263683746940108,13.6670406323292,19.2300665489283,1.67642321418218e-11,1.90693140613223e-09,16.8368359388014
"f637",-0.245906946377316,14.9560548448681,-18.8686781538208,2.16905626692948e-11,2.42074864507319e-09,16.5768594999828
"f181",0.214144008819439,15.0452086475242,18.721190744065,2.41271830386793e-11,2.64282014210719e-09,16.4692822572454
"f3215",-0.397570523788145,11.1773229782314,-18.5807323667893,2.6721087467413e-11,2.87373149763178e-09,16.3660202437704
"f1751",0.358788541257754,13.6215344795005,18.5449636414925,2.74281916501492e-11,2.88502760431136e-09,16.3395960840022
"f689",0.223442325951664,15.0057636775559,18.5027677928142,2.82881463769098e-11,2.88502760431136e-09,16.3083567674952
"f3080",-0.367300663309393,10.631376950847,-18.5027089172667,2.82893661961215e-11,2.88502760431136e-09,16.3083131286392
"f3205",-0.352976412219,11.1340295399003,-18.4427864645961,2.95605002876003e-11,2.93008015830288e-09,16.26382457089
"f4615",-0.244083016677134,10.983489472844,-18.4353772572714,2.972186128456e-11,2.93008015830288e-09,16.2583134574819
"f2221",-0.251658679184699,12.2278319070712,-18.387107043321,3.07964198017132e-11,2.93135576348992e-09,16.2223536864824
"f1448",-0.454338733728825,12.6720826950918,-18.3781498158189,3.10003457511981e-11,2.93135576348992e-09,16.2156702426715
"f332",-0.342768771442312,15.445221195068,-18.3685049596799,3.1221540676224e-11,2.93135576348992e-09,16.2084700082538
"f4444",0.512252768034738,10.4023940953019,18.3358645334612,3.19827109265777e-11,2.9559021114173e-09,16.1840741176796
"f1444",0.353458618810832,13.9806110895524,18.3081073630859,3.26456061942834e-11,2.97075016367978e-09,16.1632931875786
"f82",0.212625503801984,16.0635678242591,18.233817192991,3.44930732362705e-11,3.09131103322031e-09,16.10751620134
"f1003",-0.379839880375785,11.6563018310355,-18.1535914143452,3.66142762428956e-11,3.21125689990267e-09,16.047022559448
"f677",0.192641509908317,15.0205955744779,18.1367241788025,3.7077736302752e-11,3.21125689990267e-09,16.0342693898621
"f5354",-0.639396450673209,9.82274868605625,-18.1229756447261,3.74601396607412e-11,3.21125689990267e-09,16.0238653306838
"f366",0.257923051313787,14.9405418024365,18.0519939496248,3.95026076358419e-11,3.33797034522864e-09,15.970022930198
"f2299",0.348102421568042,11.6719730335878,17.9488779555256,4.26844286403311e-11,3.55603373813463e-09,15.8914218666507
"f737",0.2653829425007,12.5555702097941,17.9277576244092,4.33692980702129e-11,3.56290830674041e-09,15.8752663124933
"f1368",0.208190998977461,13.190469142474,17.8696302829365,4.5315517049352e-11,3.59776671586796e-09,15.8307034491089
"f42",0.204235893625475,15.7985530744284,17.8454387041067,4.61528056562465e-11,3.59776671586796e-09,15.8121139823587
"f773",-0.244730903827286,13.3592323206732,-17.8330292261214,4.65887056535336e-11,3.59776671586796e-09,15.8025683233699
"f2652",0.576810779629954,11.3917284543678,17.8261204160386,4.68332909483016e-11,3.59776671586796e-09,15.7972509992025
"f2329",0.286619795154762,12.0268316994178,17.8260769803474,4.68348329876303e-11,3.59776671586796e-09,15.7972175626029
"f334",-0.291565419392429,14.636292424581,-17.722334776997,5.06773207775879e-11,3.84303015896708e-09,15.7171218274488
"f816",0.378655635182252,13.1580671153646,17.6651047845432,5.29399978880771e-11,3.96379857605033e-09,15.6727340686251
"f122",-0.173091892031456,16.1205118330179,-17.6318773126111,5.43030113720515e-11,4.01502890332106e-09,15.6468962739394
"f3018",-0.451680076525088,11.570113145166,-17.5856911138658,5.62602048318138e-11,4.10838409358245e-09,15.6109002730143
"f3786",0.368670932904813,10.4599460525031,17.4888034333394,6.06150289211594e-11,4.32594386231695e-09,15.5350796354859
"f221",-0.28712438330254,13.7540840273224,-17.4862755733708,6.07333598233883e-11,4.32594386231695e-09,15.5330957896184
"f51",-0.208077261373351,16.5910992656505,-17.471425085323,6.14335223050928e-11,4.32594386231695e-09,15.5214354250806
"f1862",0.279700475456297,12.7266419526046,17.4526509654341,6.23310360706949e-11,4.33750680421365e-09,15.5066800575144
"f1534",0.30402661258262,12.5902895985763,17.4108864214233,6.43782467126506e-11,4.42787592215498e-09,15.4737984202798
"f6310",0.529276135531216,10.1377122019169,17.2367055066406,7.37236127050948e-11,5.01235826609926e-09,15.3358077623746
"f103",-0.177743967062556,15.8606674208434,-17.0989015527565,8.21423240640065e-11,5.47425627509315e-09,15.2256459851048
"f5738",0.301374772373675,10.9066794180907,17.0954127282351,8.23683530825513e-11,5.47425627509315e-09,15.222845520843
"f2672",0.431461814469017,12.1847012189012,17.0710062411334,8.39682610529139e-11,5.49174069837398e-09,15.2032386203918
"f1703",-0.202575199208615,12.913249817853,-17.0631796100896,8.44883184365227e-11,5.49174069837398e-09,15.1969452070188
"f3649",-0.476263598990414,10.7976170443915,-17.0094779164533,8.81507355740079e-11,5.66751740130714e-09,15.1536859786457
"f800",-0.18010886513032,14.1064905485748,-16.9530982983081,9.21788920571745e-11,5.82397869848009e-09,15.1081233100052
"f147",0.211616322351619,15.3256207934646,16.9479892977967,9.25535076343413e-11,5.82397869848009e-09,15.1039870881786
"f2220",-0.51302962058814,10.2262662131607,-16.9135072766872,9.51247926619391e-11,5.92276998521442e-09,15.0760382228327
"f4630",-0.684278749289282,10.8413457706617,-16.8955240678618,9.64959496951038e-11,5.94555773381811e-09,15.0614397861083
"f120",-0.250152823188447,15.4960791122048,-16.8435599409699,1.00577979055159e-10,6.1230959835332e-09,15.0191695764124
"f213",0.155078608061896,14.1061215355116,16.832779022161,1.01447744105875e-10,6.1230959835332e-09,15.0103836637579
"f4108",-0.510402080704953,8.67940154764004,-16.7577313141631,1.07729394586392e-10,6.43655928261118e-09,14.9490687895743
