"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f2293",0.496247845525883,9.35413417033995,17.8210888029815,4.70122828326452e-11,2.78077652955096e-07,15.4792660646436
"f1404",-0.161994100469174,13.566696628218,-15.2209068712623,3.90244049457848e-10,1.15414677627159e-06,13.5684370408859
"f4202",-0.252649226203914,10.6675102813181,-13.4476425840433,2.00712624463672e-09,2.28611448861528e-06,12.0359665978798
"f1175",0.222728989892893,12.083437313319,13.4333132885093,2.0353947293395e-09,2.28611448861528e-06,12.0227047334739
"f1862",0.212489461209879,12.7266419526046,13.2588419604193,2.41577625868207e-09,2.28611448861528e-06,11.8600197698598
"f3283",-0.202585989470869,10.4381768947884,-13.2412628940674,2.45810559660564e-09,2.28611448861528e-06,11.8435032528316
"f548",0.158004824243411,12.9391935197187,13.1445897279794,2.70546093327253e-09,2.28611448861528e-06,11.7522601338834
"f665",0.113960907542227,12.7800559772348,12.8383336830717,3.68056604014004e-09,2.72131851592854e-06,11.4585173581418
"f4896",0.177763884604474,10.0423533339769,12.7186433713394,4.15812800166511e-09,2.73281412553879e-06,11.3417427659455
"f498",-0.19466595459984,13.9788219427261,-12.4783043936728,5.3282022825019e-09,2.89825171056362e-06,11.1038236873698
"f334",-0.205109546395802,14.636292424581,-12.4672536776108,5.38981721322059e-09,2.89825171056362e-06,11.0927724351419
"f3611",-0.210663215447051,10.3425581083142,-12.3277223955053,6.23656723531723e-09,2.935328622053e-06,10.9523764380524
"f202",0.133609888367639,14.1356823838152,12.1000361389609,7.93710762237576e-09,2.935328622053e-06,10.7198164670733
"f5579",-0.336012742677566,9.40257572861736,-12.0479068564623,8.39207541635125e-09,2.935328622053e-06,10.6659577086523
"f1563",-0.153771726854082,12.7951795184174,-12.0103972274137,8.73658640139844e-09,2.935328622053e-06,10.6270605009225
"f689",0.14494192655968,15.0057636775559,12.0023222957186,8.8127027656152e-09,2.935328622053e-06,10.6186711293013
"f964",-0.106556738088731,13.7133336606804,-12.0003744625093,8.83116903030367e-09,2.935328622053e-06,10.6166466113435
"f4303",0.224879691723652,9.98140108135961,11.9897594844085,8.93253004175047e-09,2.935328622053e-06,10.605608017117
"f595",-0.129513733152063,14.5610306262266,-11.8705682204075,1.01596547420544e-08,3.16286093680274e-06,10.4809941042837
"f419",0.120516145643641,14.2797502277181,11.6396366889016,1.30777026080484e-08,3.86773054633032e-06,10.2360279482367
"f745",0.134079497665439,12.9650986081546,11.50268525906,1.52198548980875e-08,4.28692579629465e-06,10.0885141301405
"f2",0.129479898934616,16.8306383442262,11.3870276538354,1.73200730922894e-08,4.57095716915301e-06,9.96261396420746
"f707",-0.171721414840896,14.2364988527889,-11.3640052346919,1.77737979527505e-08,4.57095716915301e-06,9.93740666336408
"f818",0.119518185205546,12.6409260130666,11.1210392305345,2.34123546499732e-08,5.77016990644131e-06,9.66838363710337
"f828",-0.220031531602023,13.1843430721997,-11.0772874068804,2.46160612884324e-08,5.82416010084311e-06,9.61935062778773
"f910",0.21291459606622,12.7893327502519,10.9884214487993,2.72683047916857e-08,6.19532674626052e-06,9.51919658486329
"f1837",-0.170175476530856,14.5187231475903,-10.9569349382421,2.82795979964555e-08,6.19532674626052e-06,9.48352893982507
"f3506",-0.137606798038568,12.4192514965408,-10.9092976363404,2.98861644156602e-08,6.31345223280822e-06,9.42938403426693
"f3913",-0.161715112615212,9.86748063697132,-10.6746376360903,3.93475869087062e-08,7.81628460566352e-06,9.15943462384464
"f2125",-0.161744960633357,11.3093365210184,-10.6683120291026,3.96430326576341e-08,7.81628460566352e-06,9.15208252100718
"f351",0.0973909656914849,14.4180245945446,10.4383309565534,5.2159398565286e-08,9.92575565208279e-06,8.88205113756265
"f37",0.2049215534069,14.6426701701715,10.3769549547247,5.61674331601378e-08,9.92575565208279e-06,8.80907833033037
"f1568",-0.155296536453857,13.652422568669,-10.3658022231036,5.6930236893375e-08,9.92575565208279e-06,8.79577676217073
