index	GFP1_1	GFP_2	GFP1_3	GFP_4	GFP1_5	R17_1	R17_2	R17_3	R17_4	R17_5
mp2	122.9	115.8	137	143.3	164.1	146.3	167.6	166.3	187.7	220.9
mp3	74.6	87.8	89.9	89.8	114.7	94.7	106.6	97.5	103.9	131.9
mp4	474.9	425.7	475.6	612.4	671.4	663	613	551.7	651.4	806.9
mp5	86.1	64.5	72.4	79	70.6	77.2	74.4	69.2	73.7	80
mp6	50.5	42.7	47.7	53.1	47.6	38.9	52.3	49.3	49.1	53.9
mp7	69.5	68.7	73	136.1	205.3	101.6	103.2	98.8	99	209.4
mp8	264.4	232.9	278.5	307.3	306.7	336.2	399.1	367	354.6	412.1
mp12	30.6	41.1	42.5	43.2	49.9	32.9	33.8	29.8	33.1	45.6
mp13	108.7	103.8	115.3	142.3	152.7	103.8	134.5	117	120.6	169.6
mp15	58.4	61.9	72.3	91.1	95.2	75.8	89.3	86.1	77.9	117.1
mp16	98.5	97.2	95.7	117.9	135.2	107.4	128	116.3	141.4	149.4
mp18	333.4	329.4	398.9	422.2	423.2	330.4	433.2	382.2	431.6	471.8
mp19	41.2	39.9	45.3	51.6	57.6	51.3	46.7	61.1	53.3	63
mp20	38.3	40	35.2	51.3	84.3	55.2	65.7	65.8	57.1	102.2
mp21	202.5	202.4	232.6	223.8	248.8	201.7	251	255.1	211.4	294.2
mp22	33.7	25.5	32.6	36.5	37.1	24.9	25.9	24.1	25.3	34.8
mp23	317.9	305.3	346.6	359.8	351.3	272.7	313.8	312.1	323.1	331.6
mp25	41.4	34.4	45.3	60.5	64.5	49.6	53.6	56	47.2	79.9
mp26	60.6	54.9	57.6	64.9	69.7	56.4	49.6	62.5	62.2	73.9
mp27	38.9	41	44	59.6	61.7	44.7	51.1	52	47.2	63.5
mp28	64.9	71.2	78.4	81.5	95.5	60	72.1	79.1	71.9	92.3
mp29	151	153.8	147.7	180.3	150	170.9	215.4	195.4	192.1	235.7
mp30	36.4	39.9	46.7	44.2	51.2	60.7	63.7	65.7	71.3	89.6
mp31	41	42.8	46.1	66.5	75.2	40.3	52.3	37.7	41.7	78.7
mp32	101.8	98.1	98	124.1	107.3	106.8	124.1	129.3	129	138.3
mp33	174.7	176.1	177.9	194.4	241.9	158.5	184.9	154.1	166	231
mp34	32.9	32.1	34.1	40.3	41	34.2	39.1	41.2	41	48.4
mp35	94.1	84.4	102.5	120.9	124.5	89.9	102.3	104.4	92.3	138.9
mp36	132	143.9	150.2	164.6	170.6	194.1	218.1	206	211.5	228.3
mp37	108	113.1	119.6	136.3	157.1	193.1	216.8	209.3	221.1	252.3
mp38	58.6	51.1	59.3	61.7	63.9	53.6	63.4	65.6	66.4	73
mp39	150.8	153.5	172.7	202.9	199.3	112	121.3	114.6	117.6	175.8
