index	GFP_1	GFP_2	GFP_3	GFP_4	GFP_5	R17_1	R17_2	R17_3	R17_4	R17_5
mp1	33150	32805.4	35713.3	36814.1	35150.9	44203.4	47969.1	46321.8	50451.8	50580.2
mp2	18771.5	18421.4	19994.5	20893.3	19839.8	15059.9	16765.1	16233.4	17312.3	17204.7
mp3	29351.7	29351.8	31873	32910.6	31570.2	29076.7	32283.1	30706.3	32676.2	33162.7
mp4	18225.3	17562.6	19337.2	20214.7	19266.3	19690.6	21606.8	21080.9	22274.2	22646.6
mp5	21153.2	20542.1	22643.1	23815.2	22462.6	17149.8	18587.4	18265.2	19272.3	19610.1
mp6	18246.4	18047.7	19933.7	20208.7	19185.2	25085.2	27708.3	26372.1	28668	28577.4
mp7	10896.5	10879.2	11687.5	12171.9	11782.7	12809.5	14086.7	13594.6	14236.2	14520.6
mp8	11710.1	11721.5	12818.9	13142.8	12558.5	13359.6	14497.3	14101	15510.5	15634.3
mp9	17318	17028.8	18724.8	20102.5	18617.4	20276.7	22308.8	21332	23682.2	23177.7
mp10	11269.5	11125.3	12073.9	12818.7	12185.7	10850.2	11765.6	11532.3	12663.7	12497.4
mp11	5858.6	5807.7	6392.3	6520.9	6364.4	8576.8	9490.7	9207.4	9642.3	9833
mp12	19584.8	19060.8	20866.5	21556.9	20680	19124.9	20828.2	20490.6	21325.9	21845.6
mp13	35035.8	34548.6	37716.8	39949.8	37768.5	36998.4	42027.1	39517.1	42590.5	42452.7
mp14	26401	26582.7	29093.3	29409.9	28314.8	34135.2	38013.8	35692.7	39708.9	39095.9
mp15	9538.4	9470.7	10324.4	10561.3	10051.1	10816	11731.3	11325.9	12344.5	12563.8
mp16	10144.3	9940.9	10925.6	11363.4	10723.4	10746.3	11967.4	11559.5	12444.8	12363.6
mp17	10544.4	10369.7	11555.4	12568.7	11446.3	13158.4	14081.7	13643.9	15206.7	14535.7
mp18	5756.6	5775.6	6192.5	6540.8	6205.8	6446.1	7069.6	6936.5	7568.6	7596.9
mp19	33571.9	32731	36796.3	37785.6	34810.9	37683.6	41152.7	38942.8	42947.8	42018.1
mp20	47306.1	46501.3	51256.8	52938	49596.2	53187.9	59493.5	57060.4	60960	61525.5
mp21	16434.7	15974.1	17625.7	17891.1	17032.2	17825	19618.2	19147	20341.1	20496.9
mp22	10508.2	10367.6	11161.5	11733.7	11106.5	12073.6	13417.4	12902.4	13940	14026.9
mp23	8730.9	8483	9347.8	9841.5	9468.7	9946.3	11043.6	10701.7	11391	11380
mp24	8494.5	8492.2	9315.9	9473	8991	11074	12194.7	11846.9	12662.2	12707
mp25	32625.1	32344.6	35461.4	36182	34376.8	28200.7	30800.8	28982.3	31527.8	31074.1
mp26	14001.3	13894.1	15032.3	15702.9	14793	17559.8	19381.9	18498.6	19996.8	20076.5
mp27	9201.3	8915.9	10001.7	10439.4	9877.7	11866.6	12964	12787.4	13548	13537
mp28	8266.6	8125.3	8864.6	9289.1	8835.8	8918.1	9779.3	9383.6	10250.8	10358.2
mp29	35531.9	34690.8	39194.3	40147.6	38165.3	43663.5	49031	46669.4	50242.5	49631.3
mp30	7299.7	7236.7	7805.5	8018.4	7690.2	10079.9	11156.2	10888.6	11547.9	11835.5
mp31	12644	12300.3	13694.5	14033.7	13488.1	14170.8	15811.6	15155.6	16453.4	16291.3
mp32	10472.6	10519.2	11193.3	12146	11366.6	10812.6	12037.2	11576.4	12608	12326.4
mp33	26773.3	26670.6	29170.8	30030.5	28558.1	26773.9	29739.3	27837.4	30782.6	29778.9
mp34	9617	9581.6	10348.8	10951.7	10430.2	10325.4	11487.5	11039.3	11804	11875.2
mp35	11071.2	11098	12077.1	12503.4	11770.3	11590.2	12598.8	12042.2	13115.9	13251.5
mp36	6822.3	6702.7	7224.9	7371.3	7209.4	7160.3	7880.3	7675.1	8168	8277.7
mp37	14379.5	14155.2	15311.1	16153.6	15316.5	15565.4	16406.9	15518.1	17970.9	17618.9
mp38	6125.4	6090.5	6608.6	6816	6484.4	6378.6	7014.5	6904.1	7185	7471.6
mp39	5263.6	5254.6	5661.8	5975.1	5645.1	6289.8	6749.9	6591.3	7254.1	7136.5
mp40	7912.4	7854.3	8566.9	9251.1	8554.9	10334.9	11257.8	11004.5	11956.3	11742.8
mp41	11277.6	11249.9	12210	12494.2	11913.9	13243.7	14769.2	14120.4	15261	15302.6
mp42	9795.6	9856.5	10502.3	11160.5	10529	11252.4	12535.6	11803.1	13174.6	13245.6
mp43	29900.3	29852	32663.4	32914.1	31658.6	31357.1	35157.2	32671.3	35312.6	35229.9
mp44	11576.8	11428.3	12557.2	13234.7	12462.7	13245.2	14688.5	14024.4	15217	15254.2
mp45	13207.8	12620	14190	14760.3	13973.1	12744.2	13463.3	12915.2	14825.8	14439.1
mp46	7053	6941.4	7561	7890.1	7577.2	7145.7	7815.9	7557.4	8495.9	8354.8
mp47	10112.5	9841.3	10736.8	11337.1	10419.2	10073.6	11202	10678.4	11717.8	11574.9
mp48	6285.7	6082.8	6552.9	6993.9	6585.6	7813.2	8565.3	8306.8	8701.5	8939
mp49	26183.1	25236.3	28020.3	29424.1	27412.7	22124.8	23880.1	22940.5	25702.6	25382.5
mp50	14100.5	14131.7	15058.4	15820.1	14868.2	16949.6	18796.1	17788.1	19046.1	19335.3
mp51	6992.7	6818.8	7529	7849.5	7437.9	8716.6	9363.9	9352	10026	10097.6
mp52	6647.8	6513.4	7128.9	7316.7	6897.2	7317.4	8036.2	7782.1	8262.5	8400.6
mp53	10571.3	10626.4	11530.9	12125.3	11419.2	12170.1	13509.9	13001	13981.3	14361
mp54	39093.6	37874	42986.6	44834.5	42202	42784.5	46910.8	44702	48624.8	47074.5
mp55	9904	9609	10644.3	11080.2	10399.9	12725	14030.3	13509.9	14469.6	14478.1
mp56	29843.6	29094.9	32764.6	33514.1	32244.9	30460	33589.5	32238	34172.4	34007.1
mp57	8728.7	8577.9	9442	9590.4	9279.4	10433.2	11507.5	10897	11821.1	11668
mp58	7121.1	6892.1	7573.5	8054.7	7635.1	9336	10186.5	9750.7	10985.9	10786.8
mp59	13207.6	13180.1	14591.7	15309.7	14164.9	13952.8	15327.8	14844.2	15862.1	16011.7
mp60	10288.8	10110.3	10947.3	11281.8	10882.3	10416	11244.9	10978.5	11628.6	11747.1
mp61	6188.4	6086.6	6640.7	6878.9	6522.4	6756.4	7450.9	7205.4	7735.7	7558.4
mp62	5990.2	5875.1	6551.6	6588	6372.8	7886.3	8865.6	8471.3	9211.9	9072.6
mp63	4934.2	4797.7	5337.1	5549.3	5227.3	5746.1	6211	6169.4	6589.3	6626.2
mp64	12655.5	12324.7	13408.3	13861	13199.5	10596.6	11818	11194.4	11940.9	11854.1
mp65	6762.1	6687.2	7418	7525.4	7246.6	8087.5	8823.1	8496.9	8900.2	9165.9
mp66	4777.8	4772.4	5219	5430.9	5122.4	6464.5	7090.9	6901.2	7423.5	7449.4
mp67	8874.1	8681.7	9509.6	10087.9	9316	9653.6	10448.6	10027.3	10971.6	10671.9
mp68	9283.8	9075.8	10011.9	10245.9	9854	13659	14952	14242.6	15555.9	15552.1
mp69	13949.1	13694.6	15108.6	16395.1	15261.7	8433.3	9611.1	9321.1	9861.4	9909.8
mp70	39797	38100.1	42394.4	42801.6	40487.1	50883.7	56152.5	49605.4	58110.8	55567.2
mp71	5668.5	5614.3	6063.6	6404.8	6136.6	7231.8	7999.7	7687.5	8361.6	8413.9
mp72	2661.7	2690.4	2893.7	3060.7	2882	3115.9	3293	3291.1	3531.5	3471.5
mp73	2681.9	2711.4	2930.8	3021.6	2885.5	3479.3	3746.9	3829.9	3980	4059.4
mp74	7056.4	6946.5	7615.4	7983.9	7476.7	8620.1	9581	9144	10036.8	9795.6
mp75	18634.1	18882.6	20694.9	21126	20028	25266.2	28429.1	26282.6	28481.4	28726.2
mp76	9916.8	9562	10426.1	10852.4	10309.5	9396.7	9912.9	9632.5	10216.1	10226.6
mp77	5820	5639	6210.6	6339.2	6124.6	5362	6008.7	5808.2	6267.8	6230.4
mp78	7504.2	7254.4	8094.6	8180.5	7880.7	9851.9	10695.1	10330.2	11481.3	11296.6
mp79	5619.3	5666.7	5964.8	6400.2	6048.3	6466.8	7080.6	7022.8	7330.5	7317.2
mp80	10689	10381.6	11504.8	11876.9	11210.3	11887.6	13143.9	12689.6	13529.9	13475.3
mp81	6300.4	6258.1	6860.5	7107	6747.9	7567	8317.3	8131.7	8542.7	8723.2
mp82	1323.7	1283.3	1457.6	1605.4	1499.8	1414.3	1505.2	1423.9	1657.1	1575.8
mp83	6742.3	6560.8	7251	7331.8	6976.2	8232.6	8984.3	8550.6	9303.8	9130.3
mp84	6709.1	6010.8	6924.1	7241.6	6875.4	7450.3	7727.9	7466.7	8648.9	8473.5
mp85	8357.8	8292.7	9252.2	9395.5	8994.4	9773.8	10553	10220.1	11209.8	11065.8
mp86	9331.9	9084.1	10039.2	10526.8	9878.2	9822.1	10794.4	10335.7	11451.1	11130.7
mp87	8778	8499.9	9194.1	9710.9	9149.8	9801.7	10854.2	10283.1	10907.9	10995.5
mp88	10684.7	10622.3	11241.2	12165	11299.5	13251	14486.7	13609.7	14749.3	14792.2
mp89	22963.5	22245.7	24957.9	24750	23232.9	32613.4	35449.6	34021.1	36498.4	36539.5
mp90	6967.7	6878.4	7529.1	7634.3	7379.8	7963.4	8762.4	8446.4	9036.9	9079.3
mp91	33295.1	33542.3	36193.7	36950.5	35279.5	32516.4	36512	33874.5	36528	36806.7
mp92	14082.7	13814.3	15081.4	15840	14776.2	14211.9	15567.6	14826.7	16034.9	15974.7
mp93	14781.5	14392	15715.2	17013.1	15693.7	16081.6	17964.6	16831.3	18302.5	18083.7
mp94	6591.1	6602.7	7128.8	7327.6	6940.8	8074.4	8822.9	8441.5	9129.8	9116
mp95	4063.3	4051.3	4402.7	4515.6	4380.8	5326.2	5888.7	5753.6	6074.4	5930.4
mp96	4313.3	4320.6	4649.5	4771.9	4559.7	5479.3	5837.6	5661.5	6035.9	5952.8
mp97	8026.7	7386.5	8382.2	8747.1	8247.8	9591.6	9806.9	9403.6	11154.3	10880.4
mp98	4675.4	4643.1	5196.4	5472.2	5084.6	6043.2	6878.3	7158.4	7108.6	7022.4
mp99	6914.1	6880	7539.4	7966	7446.4	8812.1	9684.8	9408	10104.6	10199.5
mp100	4155.2	4134.9	4449	4697.2	4390.2	4688.3	5064.8	5033.6	5322.9	5368.7
mp101	7876.6	7815.3	8609	8917.3	8351.9	9425.1	10475.3	9903.3	10923.8	10678.1
mp102	7035.4	6719.4	7502.3	8061.9	7273.2	7025.8	7762.2	7442.8	8308.3	8067.6
mp103	24743.1	24171.4	26827.2	27552.4	25788.8	24878.9	27462.6	25815.6	28452.9	27259.3
mp104	7068.2	6932.8	7428.1	8002.1	7426.2	6483.4	7120.5	7012.6	7522.2	7471.9
mp105	5808.3	5867.3	6293.9	6534.4	6251.3	5933.2	6553.8	6386.8	6924.2	7006.4
mp106	28808	28709.9	31756.9	33025.2	31222.7	28041.2	31480	29647.7	33260.4	32996.5
