"R17_vs_GFP_Difference"	"R17_vs_GFP_Difference"	"Paired_Ttest_uncorrected_P"	"Paired_Ttest_Corrected_P"	"Pass_Selection_0_No_1_Yes"
"mp39"	1.57564251177373	1.57564251177373	0.000805946020868471	0.00802891855498754	1
"mp58"	1.68974175915304	1.68974175915304	4.440384624912e-06	0.00117556232173342	1
"mp64"	1.7795357653034	1.7795357653034	0.000562299101033407	0.00648856622094757	1
"mp101"	1.50495007034677	1.50495007034677	0.000146063046250704	0.00330032233762863	1
"mp104"	1.70898322153943	1.70898322153943	0.0018289174140858	0.0126354435317508	1
"mp109"	1.59664782878199	1.59664782878199	2.40075817432487e-05	0.00162786446462647	1
"mp113"	-1.52312242988419	1.52312242988419	0.00067792824220985	0.00732149514455562	1
"mp124"	2.08812007649596	2.08812007649596	3.59008806703761e-05	0.00187208057577935	1
"mp133"	1.7425631027126	1.7425631027126	0.000731252139987046	0.00760445010329191	1
"mp158"	-1.5105502523401	1.5105502523401	0.00661871708148935	0.0283749182866131	1
"mp190"	-1.58912508460065	1.58912508460065	0.000146845966592343	0.00330746597934246	1
"mp199"	1.55330979201929	1.55330979201929	0.00158435328811352	0.0116205900456308	1
"mp241"	3.30516823016552	3.30516823016552	1.02100446022634e-05	0.00126078766231102	1
"mp266"	1.52326601307707	1.52326601307707	0.00205514067551402	0.0135453019523232	1
"mp281"	1.92330731892132	1.92330731892132	2.81553635564767e-05	0.00168857300052806	1
"mp284"	1.63776361966275	1.63776361966275	0.000558097560538691	0.00648664703391115	1
"mp320"	1.5903695449214	1.5903695449214	0.00137003863751321	0.0106239240976351	1
"mp362"	-1.97649902152251	1.97649902152251	0.00124350318602148	0.0100008018722277	1
"mp389"	1.61099622542245	1.61099622542245	0.0032254219541007	0.017568421513278	1
"mp401"	1.54667907152943	1.54667907152943	0.000251626595966195	0.0041538651091052	1
"mp410"	2.48187067572306	2.48187067572306	6.23067605607234e-06	0.00117556232173342	1
"mp455"	1.58802224897261	1.58802224897261	0.00062289356524564	0.00694940263935103	1
"mp459"	-1.58303611226074	1.58303611226074	0.00770245997790784	0.031306862383169	1
"mp488"	-1.55511326078546	1.55511326078546	0.00124355868956658	0.0100008018722277	1
"mp506"	-1.617101053506	1.617101053506	3.31816580145054e-05	0.00183146042772356	1
"mp508"	-1.73098992255905	1.73098992255905	0.000455135052469412	0.00581871726819319	1
"mp557"	1.75149142279233	1.75149142279233	0.000103226233583796	0.00279106902555707	1
"mp580"	-1.58299720750316	1.58299720750316	0.00375058222353202	0.0194874721522228	1
