"GFP_REP1"	"GFP_REP2"	"GFP_REP3"	"GFP_REP4"	"GFP_REP5"	"R17_REP1"	"R17_REP2"	"R17_REP3"	"R17_REP4"	"R17_REP5"
"MP1"	7.3123846149148	7.30541849756054	7.30750566978831	7.28226052659167	7.38372778284616	7.2254046942731	7.26250711986148	7.3735814201271	7.31464957668717	7.24838527860356
"MP2"	5.26372836420044	5.14813678171504	5.23600525454008	4.88445513821946	5.2960623840275	5.26129382870354	5.22119191196055	5.0871543079296	5.18060250949746	5.14364733011413
"MP3"	9.09020650630883	9.03011014248758	8.83253657631488	8.98257521668296	8.91469438229329	8.93631335253669	8.8725497980055	8.66052654135104	8.80405350518708	8.77295651212892
"MP4"	4.89226119938117	4.9852162622297	5.01154908768769	4.54742092162347	4.7897837063828	4.5	4.5	4.5	4.5	4.63066161244186
"MP5"	8.97456840467766	8.94024152720034	9.03236410768776	8.8437318436236	8.91857188881359	8.8897522529876	8.83477884684065	8.86866916801169	8.8477258243301	8.8535199781738
"MP6"	12.4135470655216	12.4127751178452	12.4066933752152	12.4310067891363	12.4052954529639	12.3586607372633	12.2956518060279	12.3339612836672	12.3806483001712	12.3680658011866
"MP7"	4.5	5.01207267404772	4.59618769310738	4.5	4.6665531189566	4.65755950894142	4.89412656836972	4.84214803152854	4.67543344223509	4.73782346978399
"MP8"	8.32216614665937	8.38380145607326	8.29769709295586	8.41453737650368	8.32246536271546	8.24051124769829	8.2141831102813	8.28003726616929	8.27390892918418	8.31979066717791
"MP9"	8.56943160694165	8.56103071593377	8.59881944917562	8.55021449689319	8.63829561540898	8.55956299748301	8.56842487377134	8.66630632896043	8.61809097762038	8.65831550672082
"MP10"	7.03168548391872	7.07359719758832	6.95021741127846	7.14560235884182	6.91976960451966	7.07501711813803	7.06545202288439	7.05513673020071	7.04388382205475	6.89310559687872
"MP11"	4.81809057330881	5.18933346994008	4.97731108272185	4.96306493342977	5.04686559760675	4.67627813444714	4.66063385566882	5.10889816135593	4.96850696159846	4.85447116156752
"MP12"	13.3601204620925	13.3586238857774	13.3633930387574	13.343666608466	13.3712972972234	13.7312704644341	13.7214745011196	13.7296696638592	13.7297919359398	13.7455054266961
"MP13"	8.70833158619454	8.70090192002401	8.66450038401464	8.66283228817499	8.66491855782772	8.40093396899483	8.21417539999528	8.33652472741635	8.30495656764106	8.36127672032182
"MP14"	10.5803899407157	10.5471141066838	10.6067985676606	10.5602390287078	10.5785831477652	10.7112951914966	10.721316574376	10.7755968029233	10.7462648207494	10.7280940296241
"MP15"	5.54544464819454	5.40489204959506	5.62512685010787	5.48534048032534	5.57270710811154	5.44379888037918	5.53886690507962	5.62271957366228	5.67666025473429	5.63890492611632
"MP16"	9.20002876823808	9.20559682300571	9.14004831710343	9.15701302784413	9.2399265893366	9.31761675672846	9.24174739993843	9.36196670509062	9.29704625948261	9.34086802884963
"MP18"	8.88722869912955	8.95588466522256	9.0183922133674	8.95954600141288	8.89532330993002	8.89622472951016	8.95223494484488	8.92389226637866	8.95263697249749	8.96979495060757
"MP19"	9.00796491789616	9.13327432211281	9.06099979869751	9.07508744335156	9.09817960909585	9.2097167578686	9.25411072288452	9.23900217703291	9.22236979072232	9.19540957407613
"MP20"	10.6971831423722	10.6815143205364	10.6972044748368	10.7620231483118	10.7237004618211	10.6111793539058	10.5935886091656	10.631662648348	10.6601123054425	10.6078939226469
"MP21"	7.26263579158756	7.40027806356079	7.24515542921914	7.40717095073316	7.18952321371408	7.16085669711895	7.38024279476321	7.35558804850536	7.22730170120087	7.21825610604077
"MP22"	9.86069510304111	9.91296026063151	9.90991203074071	9.9615189591796	9.97801201431223	9.91130419828632	10.0114274196637	10.0249488691939	9.93462823666956	9.98442520830501
"MP23"	5.76207558236109	6.28661536214909	5.6075862353909	5.74301067856948	6.00581345696096	5.80009055045231	6.0048099495752	5.99035798947094	5.87923309574231	6.05431668091807
