"R17_vs_GFP_Difference"	"R17_vs_GFP_Difference"	"Paired_Ttest_uncorrected_P"	"Paired_Ttest_Corrected_P"	"Pass_Selection_0_No_1_Yes"
"mp69"	1.85967831530287	1.85967831530287	1.22751518248516e-06	7.40946621195115e-05	1
"mp120"	1.56248609216772	1.56248609216772	1.49673807696771e-06	8.22618986223626e-05	1
"mp122"	-2.33013932247028	2.33013932247028	3.18076783697088e-08	2.54734064200839e-05	1
"mp133"	-1.66319184372123	1.66319184372123	4.51632992697896e-08	2.98674834872391e-05	1
"mp138"	1.50230837209296	1.50230837209296	1.36605848191946e-05	0.000232064359080015	1
"mp172"	1.64912267762183	1.64912267762183	8.42832345112463e-08	3.41574754350134e-05	1
"mp191"	-1.7985513571101	1.7985513571101	1.46789153571906e-05	0.000236944768799418	1
"mp196"	-1.96135522758934	1.96135522758934	6.10051713286616e-08	3.10904536789524e-05	1
"mp214"	1.52657177128605	1.52657177128605	3.91244598549036e-07	5.20734353391286e-05	1
"mp307"	-2.41769247984365	2.41769247984365	7.27173866943289e-09	2.54734064200839e-05	1
"mp367"	1.77581275333499	1.77581275333499	5.90753958047535e-05	0.00053849864858772	1
"mp377"	-1.52361846812133	1.52361846812133	4.65954381841895e-06	0.000137199985586991	1
"mp382"	-1.57995164878669	1.57995164878669	6.7524309126366e-06	0.000163870682667709	1
"mp467"	-1.84239854347669	1.84239854347669	5.42753407172614e-07	5.22903479304462e-05	1
"mp468"	1.81208625596706	1.81208625596706	3.08445496435729e-07	5.02961069458256e-05	1
"mp472"	1.68387044517783	1.68387044517783	2.75530798023203e-06	0.000106135273233903	1
"mp504"	-1.93352831498685	1.93352831498685	1.00646915178291e-08	2.54734064200839e-05	1
"mp594"	1.7107283775767	1.7107283775767	5.89977976695811e-07	5.49479661901432e-05	1
"mp627"	-2.10265251656465	2.10265251656465	1.71393672505052e-07	4.22964898486495e-05	1
"mp657"	-1.62648348846063	1.62648348846063	2.52956372068571e-07	4.88990835109106e-05	1
"mp692"	-1.51593633310391	1.51593633310391	0.000303530430780243	0.00158392347184803	1
"mp722"	1.62579438355286	1.62579438355286	6.82303057438855e-06	0.000164162701287649	1
"mp740"	-1.88496093354203	1.88496093354203	1.38689775436215e-05	0.000232770981526149	1
"mp746"	1.59286338144849	1.59286338144849	1.95695148076872e-06	9.14222500099121e-05	1
"mp770"	-1.52382423159159	1.52382423159159	1.39303816163653e-07	4.08827928297267e-05	1
"mp809"	-2.62735605330589	2.62735605330589	2.54117749994218e-05	0.000319413476786455	1
"mp813"	-1.51510582569296	1.51510582569296	6.21125102692628e-07	5.59506388532169e-05	1
"mp897"	2.973007771854	2.973007771854	2.01116561504397e-05	0.000283867661895921	1
"mp1051"	1.58999906984947	1.58999906984947	9.7608893179618e-06	0.000191971148802186	1
"mp1194"	1.52800880304651	1.52800880304651	6.28771003880247e-07	5.59506388532169e-05	1
"mp1252"	3.51357740590286	3.51357740590286	1.85757016337755e-08	2.54734064200839e-05	1
