"GFP1"	"GFP2"	"GFP3"	"GFP4"	"GFP5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"	"Fing1"	"Fing2"	"Fing3"	"Fing4"	"Fing5"
"f41"	2582.4	2228.1	2248.8	2586.6	2685.2	2216.5	2281	2842.1	2832.5	2801.9	3597.6	3487.5	2984.7	3791.1	3754.4
"f92"	140.7	120.4	117.5	143.6	146.9	69.6	82.1	87.1	85.7	96.3	69	68.9	65	64.8	79
"f267"	253.8	218.4	210.4	226.6	272.6	227.7	250.9	319.1	322.8	302.6	419.1	406.7	358.7	441.3	420.7
"f519"	154.6	137.9	159.1	176.3	164.5	191	198.5	278.3	256.3	263.8	391.8	347.2	333.1	414.4	377.5
"f523"	387.4	295.8	280.2	301.2	359.1	213	249.1	302	304.3	317.8	346.4	383	331.9	426	406.1
"f965"	2408.6	2039.1	1974.5	2254	2549.8	2073.2	2174.9	2635.6	2755.6	2674.5	3386.6	3304.9	2926.1	3773.5	3639.1
"f1013"	492.1	427.9	429.8	436.9	524.4	456.4	514.5	633.5	639.9	593	910.4	987	902.8	1092.2	972.3
"f1075"	201.7	168.9	180.5	199.6	205.5	283	290.3	316.2	374.4	312.4	477.6	476.6	419.1	543.3	460.8
"f1092"	2739.6	2392.1	2126.7	2523.3	2810.5	1521.7	1616.7	1812.4	1895.1	1959.3	1420.5	1248.9	1132.7	1452.8	1432.2
"f1473"	2906.1	2566.2	2341.6	2541.5	3036.9	2003.9	2156.2	2665.1	2359.1	2528.4	1731.8	1646.4	1741.1	2253.7	2009.7
"f1769"	555	562.7	452.3	621.3	575.3	293.1	315.9	395.2	389.7	351.5	276.9	255.3	294	340.7	313.7
"f1808"	1497.6	1350.3	1296.9	1504.1	1523.8	903.2	1016.5	1075	1082.4	1051	783.4	731.3	659.7	861.1	808.9
"f1874"	2780.1	2451.1	2170.1	2562.8	2560.4	967.6	1107.5	1125	1260.6	1502.9	1546	1685.2	1414.5	1830	1922.9
"f1878"	491.5	536.4	398.1	576.3	538.7	311.5	337.4	366.6	392.2	347.5	281.1	281.7	264.7	351.1	321.4
"f2085"	116.9	100	118.1	120.6	119.5	98	100	124.2	117.6	126.2	149.4	159.4	142.7	193.3	185.3
"f2184"	570.3	592.7	476.3	602	609.1	408.3	418	445.4	502.3	423	254.5	227.6	232.3	262.8	273.4
"f2443"	100.5	89.6	91.9	88.7	89.6	65	66	81.7	79.9	83.4	63	64.5	53.5	65.2	58.2
"f2449"	216.5	192	209.9	210.6	226.8	201.3	239.5	319	302.3	315.9	376.1	426.2	382.5	489.9	439.1
