"GFP1"	"GFP2"	"GFP3"	"GFP4"	"GFP5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"	"Fing1"	"Fing2"	"Fing3"	"Fing4"	"Fing5"
"f37"	26819.5	24471.2	23044.3	25658.2	27598.6	22500.9	23179.8	27963.4	27839.4	28074.2	24958.1	24141.3	23361.8	28773.2	26398.8
"f50"	290450.9	245859.2	252361.3	282996.5	305942	280003.8	297377.7	366980.2	372533.3	367758.4	416191.8	411580.5	364638	468436.9	434321.3
"f163"	72650.8	63203.7	65597.4	72863	76686.5	71659.9	76295	92519.4	95410.2	88036.8	105766.4	108677.7	96539.5	121485	109904.1
"f200"	45450.2	39381.6	38186.8	41642.1	45212.3	42978.3	45958.4	52437.6	56157.5	51934.2	61338	62224	56739.3	68344.1	63377.3
"f233"	34107.3	29725.6	31184.7	34804.7	34333.1	35785.1	38000.2	47330.9	50410.7	43331.7	53819.6	53579.2	48285.8	62090.1	56969.3
"f244"	37225	32421.8	32916.7	36701.8	38680.8	39276.1	42428.9	51668.4	53222.8	47534.1	57041.1	58154.6	52186.2	65412.2	59434.8
"f246"	2884.2	2587.1	2477.1	2720.1	3055.1	3295.3	3456.7	4092.7	4320	4117.1	4931.3	4921.6	4310.2	5448.6	5116
"f290"	25046.5	22036.1	20731.4	23459.1	24440.1	16974.4	18156.2	22056	22616.9	19554.5	20654.3	19639.4	18275.8	22057.8	19878.7
"f293"	30718.5	26099.1	26337.7	28132.7	31308.9	31094.3	33429.8	37993.4	41482.2	38693.3	47114.3	46977.4	42433.6	51486.9	48180.1
"f327"	84084.8	71875.6	74629.7	84366.3	88720.2	88350.2	92932.3	112021.2	114308.4	108868.1	127573.4	129981.7	113431.8	143895	130697.5
"f334"	21805.6	18796.2	18651.9	20656.8	22820.4	20932.9	22088.6	26265.5	27555.1	27910.8	32523.6	31957.1	28386.3	36053.3	34114.9
"f355"	41148.5	36405	35292.4	39646.5	41528.9	29174.5	31066.8	36489.4	37990.1	32855	34310	32976.5	29818.9	35834.4	32529.7
"f384"	22457.9	19559.9	19933.7	22213.3	23409.2	26890.7	28385.3	34813.1	35973.9	31890.3	42038	42186.8	37804.8	47583.2	43295.5
"f389"	8024.4	7069.4	7002.1	7417.6	8357.6	8407.5	8841.7	10590.9	10900.6	10211.2	11784.9	12818	10980.8	14152.4	12801
"f433"	39087.8	33834	33245.2	36571.3	40932.9	36165.1	39115.8	46143	47267	46689.1	53589.1	54035.1	47080.1	59421	56166.5
"f482"	25263.2	22344.4	22004.5	24156.5	29294.4	26917.1	26727	31195.2	32271.6	31369.4	36934.6	37796.1	32677.9	41499	38490.3
"f498"	14511.7	12772.6	12378.6	13492.2	15312.5	13091.2	13544.8	16386.7	16672.3	17645.7	18871.7	19629.8	17810.9	22682.2	21532.4
"f512"	15657.1	14138.2	13517.1	15413.8	16748.8	15881.8	16450.8	20885.9	20764.7	21126.2	24366.2	23558.2	22802.9	27282.8	26823.6
"f548"	9111.2	8020.9	7636.9	8424.4	9162.4	6305.8	6701.9	8013.7	8109.8	8461.8	7523.2	7406.7	6828.9	8421.9	8167.6
"f647"	69907.1	61677.5	58554.7	65005.8	73617.2	46688.3	48415.6	57322	54833.1	62390.5	49379.4	53033.6	46277.3	60365.7	58171
"f689"	39315.5	33849	32165	36584.8	40957.7	26251.1	27925.9	33786.5	33214.7	33791.1	30753.5	31228.7	28002.3	35537.4	33501.9
"f707"	17247.3	15333.5	14565.6	15886.5	18197	15736.4	16644.9	19458.6	20297.2	21464.9	23187.9	23459.7	21128.1	26412.4	25397.7
"f748"	5747.4	5231.7	5202.3	5637.8	6011.1	7560.2	8106.8	10000.6	10643.6	9021.4	14002.5	13688.6	12507.8	15654.2	13650.1
"f825"	17422.6	15075.7	15279.9	17106.2	17937.6	19453.9	20189.7	25739.8	26234.5	23610.1	29732.2	30818.3	26614.1	34063.7	30043.7
"f828"	7869.8	6789.2	6801	7534.1	8358.1	7538.6	8128.9	9473.5	9991	10237.6	12115.4	11882.1	10358.7	13143.1	12609.6
"f910"	9826.1	8456.9	7981.8	8956.2	9812	5316.9	5764.2	6794.3	6666.9	7251.6	5909.6	6076	5493.5	6993.6	6807.5
"f950"	25814.2	18915.5	19235.7	21765.7	24250.5	20990.7	21920.2	28144	28123.5	30588.7	34079.1	31972.7	28656.7	36665.9	36277.2
"f969"	12245	10705.8	10694.4	11477	13033.2	11290.4	11977.9	14139.9	14516.3	14008.9	16341.3	16956	15048.1	18659.4	17380.7
"f1003"	2680.9	2317.8	2271.9	2510.4	2724.2	2695.5	2893.9	3608.2	3624.2	3448.5	4106.4	4067.7	3765.7	4603.4	4248.6
"f1047"	6823.8	5995	5699.3	6072.4	7287.3	6568	6622.3	8168	8056.5	8448.7	9172.6	9236.6	8532.8	10661.6	10240.5
"f1126"	4959.7	4387	4421.2	4851.3	5292.6	5876	6233.3	7385.3	7536.6	7074.9	9077.4	9088.8	8211	10016.2	9313.4
"f1175"	4583.5	4177.4	3923.2	4381.2	4710.4	3714.7	3978.7	4677.7	4609.1	4988.8	4154.3	4189.5	3790	4857.5	4508.1
"f1202"	14490.8	12410.1	12332.8	13309.2	15057.9	12991.2	13382.4	16193.8	16765.1	16331	18586.1	19224.4	16569.6	21355	20175.8
"f1218"	14924.5	12731.8	13357.9	14929.5	15003.4	17846.4	18434.1	23119.2	24357.8	20559.9	26668.1	27830.8	23736.3	31038.7	28284.3
"f1220"	16774.1	14537	14726.3	16008.2	17055.2	17662.3	18558.6	22492.5	23287.8	22500.2	26264	25794.7	22643.6	29543	27725.6
"f1362"	28008.6	26294.4	25319.4	27639.6	30836.4	27147.3	28175.7	33656.1	32892.7	32864.1	37040.6	40329.4	34388.1	43585.6	41000.3
"f1388"	13612	11458.1	11166.6	13099.3	13068.9	7799.2	8315.9	10326.9	10493.1	10327	9319.1	9011.4	8100.4	10212.7	9900.4
"f1390"	6005.8	5762	5054.9	5916.8	6621.4	4745.5	5123.6	5555.2	5465.3	5791.6	5236.2	5241	4736.2	5952.2	5748.5
"f1404"	10801.3	9496.1	9236.9	10068.3	11189.2	10000.7	10470.9	12706.6	12831.8	13049.4	14737.4	15032.4	13143.8	16461.6	15733.7
"f1482"	2156.2	2016.4	1806.4	2031.9	2238.8	1741.5	1791.3	2013	2056.1	2239.9	2025	1896.1	1774.4	2228.3	2116.6
"f1540"	3829	3443.8	3209.7	3489.7	3983.2	2518.9	2682.6	3257.4	3162	3585	3021.2	2910.7	2758.6	3348.9	3281.6
"f1541"	3968.1	3478.9	3341.4	3675	4194.7	3799.5	3909.1	4645.1	4896.4	4787.4	5376	5467.6	5053	6277.3	5807.7
"f1563"	6670.1	5776.3	5717.2	5990.8	6771.7	5838.5	6050.1	7272.5	7364.4	7420.4	8415.6	8508.7	7554	9583.3	9005.7
"f1568"	11666.2	10162.1	10047.5	10916.6	11920.7	10453.8	11151	13330.2	13923.6	13511.2	15354.1	15782.6	13895.4	17376.2	16503.8
"f1580"	5025.4	4444.7	4294.6	4623.2	5024.3	4030	4153.9	4873.5	4972.3	5327.1	4565.3	4666.7	4251.2	5295.9	5017.1
"f1625"	7968.8	7032.4	6745.8	7534.5	8108.6	6267.1	6654.6	8110.5	8173.9	8468	9463.6	9089.1	8374	10542.2	9875
"f1707"	2808.6	2437.2	2334.3	2540.9	2770.6	1893.2	1959.8	2382.4	2497.9	2542.2	2361	2255.8	2057.8	2540.2	2438.4
"f1766"	5230.9	4546	4448	4927.1	5394.9	4757.7	4917.7	5895	6109.3	6146.1	7071.8	6960	6116.7	7623.2	7280.6
"f1828"	1407.8	1222.6	1246.1	1360.1	1456.2	1323.6	1465.2	1743.3	1761.1	1742.8	1973	2025.6	1795.2	2232.9	2169.1
"f1834"	1986.6	1782.3	1774.4	1876.7	2075	3276.5	3394.9	4202.7	4502	3534	6133.2	5876.6	4955.1	6169	4995.4
"f1837"	21158.4	18328.8	17972.3	19890.7	22349	18958.5	20158.9	24396.1	24260.4	25652.4	28593	29009.7	25304.6	31782.1	29967
"f1841"	15302.4	13297.8	12906.8	14310	16377.2	13964.4	14760.4	17398.5	17967.9	17592.3	19354.1	20634.8	18011.9	23048	21429.7
"f1862"	8417.5	7242.5	6908.7	7794	8602.8	5474.9	5638.1	7014	6917.7	6961.3	6032.6	6025.8	5662.4	7047	6720.5
"f1917"	2660.1	2425.5	2446.9	2715	2893.2	2598.8	2761.9	3325.6	3294.4	3508.1	3872.4	3869.5	3366.8	4237.6	4111.9
"f2075"	8951.8	7793.5	7327.2	8436.1	8651.6	4857.9	5072.6	6066.7	6142.4	6368	5674.2	5618.3	4925	6281.9	6177.6
"f2104"	530.8	442.3	431.1	478	510.8	459.7	500.7	572.4	589.2	584.8	689.8	663.4	604.1	733.9	736.8
"f2125"	2339.1	2032.1	2001.2	2203.9	2427.8	2054.3	2167.4	2610.7	2615.3	2638.7	2997.5	3114.1	2633	3391.3	3317.7
"f2137"	5774.9	5424	5150.8	5613	6147.7	4702.5	5076.6	6014.5	6078.2	6140.3	5412.1	5561	5079.5	6365.8	6103.6
"f2154"	8668.8	7382.9	6827.4	7941.5	8067.8	3298.4	3487	4298.1	4460.7	4404.4	3928.3	3780.2	3525.5	4138.1	4142.5
"f2182"	1821.2	1617	1717.7	1910.8	1784.6	1776.1	1944.4	2309	2455.3	2236.2	2144.3	2098	1836.5	2357.9	2249.6
"f2193"	2164.1	1884.4	1819.2	1997.8	2197.9	1895.2	2051.1	2541.5	2465	2564.5	2904.9	2895.7	2476.7	3194.6	3077.8
"f2220"	868	802.2	815.5	875.2	936.8	1046.8	1069.2	1359.5	1358.2	1287.7	1558.5	1579.6	1485.5	1866.5	1693.3
"f2293"	980.3	901.7	820.8	901.7	1017.5	551.9	537	639.3	659.6	668.7	467.6	476.1	452.1	557.2	520.6
"f2343"	1834.7	1553.5	1501.3	1732.7	1891.3	1478.2	1643.3	1946	1990.6	2115.1	2327.4	2312.3	1978.8	2495.5	2470.4
"f2370"	3958.5	3341.3	3290.2	3777.4	4057.5	3833	4121.4	4849.4	5131.7	5083.7	6276.8	5898.6	5030.8	6547.1	6291
"f2391"	3171.2	2716.7	2638.1	2924	3385.6	2888.2	3055.5	3680.3	3751.9	4026	4543.8	4315.7	3873.4	5010.9	4805.8
"f2425"	2973.7	2630.8	2534	2745.5	3103	2840.1	2926.9	3592.6	3774.1	3531.7	4092.3	4084.5	3704.4	4710.4	4416
"f2441"	877.3	736.9	746	799.8	903.6	728.7	798.9	941.4	937.8	956	1122.1	1075.3	923.2	1210.5	1159.4
"f2475"	2727.7	2490.2	2260.6	2462.2	2778	1991.1	2035.4	2401.8	2559.3	2559.3	2280.5	2249.6	2131.2	2686.3	2573.1
"f2564"	632	538.5	432.5	456.3	541.1	438.3	493.4	564.1	528.7	522.8	543.8	526.1	494.9	528.5	535.5
"f2578"	3427	2999.6	2868.9	3172.3	3374.8	2114.3	2280.2	2709.2	2729.4	3050.4	2567	2478.5	2311.5	2790.8	2800.9
"f2589"	2331.4	1985.3	1860.3	2143	2432.2	1855.8	2003.3	2371	2393.3	2342.8	2771.9	2822.5	2437.8	3099.5	2932.5
"f2607"	2320.7	2029	1843.8	2088.3	2330.5	1404.2	1526.1	1805.7	1849.8	1758.6	1768.5	1680.4	1489.5	1856.2	1772.9
"f2614"	6274.1	5544	5049.4	5611.4	6449.1	4177.4	4402.6	5275.7	5324	5366.2	4911.1	4969.8	4445.2	5605.7	5353.4
"f2652"	3854.1	3420.9	3090.9	3439.1	3877.1	2000.6	2035.4	2453.4	2489.2	2874.7	2247.6	2290.6	2056.7	2555	2532.4
"f2672"	6175.9	5578.2	5063.3	5593.8	6442	3551.3	3740.2	4517.8	4556.2	5039.6	3929.9	4007.5	3628	4580.2	4504.1
"f2797"	3281.9	2872.7	2828.2	2950.7	3300.8	3386.2	3528.8	4133.1	4192.6	4021.8	4890.9	5068.8	4388.3	5551.4	5105.9
"f2814"	1692.1	1446.2	1371.9	1529.4	1730	1073.7	1171.8	1366.3	1368.5	1480.4	1298	1268.6	1128.4	1477.9	1446.5
"f2864"	1002.2	835.1	863.5	972.4	1015.4	1240.5	1293	1586.9	1689.4	1654.9	2012.6	1859.2	1659.5	2068.9	1982.8
"f2875"	893.9	798.6	767.3	855.4	928.4	619.9	688.8	750.2	836.6	882.5	703.3	734.1	682.1	801.7	784
"f2877"	2827.7	2500.6	2469.1	2584.5	2915.3	2489.8	2604.4	3184.3	3132.2	3092.7	3584.9	3724.2	3296.9	4120.5	3843.3
"f2887"	1940.7	1738.5	1670.7	1791.8	1938.4	1765.6	1884.2	2244.9	2291.7	2366	2776.4	2713.9	2324.2	2917.4	2829.8
"f2929"	3597.4	3294.1	3001.9	3347.2	3488.3	1986.5	2165.2	2574.2	2470	2837.2	2393.8	2344.8	2068.7	2632.5	2676
"f2930"	2225.2	1890.8	1868.5	2119.9	2284.1	2609.3	2784	3312.2	3488.8	2982.6	3878.1	3949.2	3469.7	4343	3870.8
"f2977"	1580.1	1408.2	1286	1448.1	1653.4	1239.2	1284.3	1524.5	1434.8	1642.8	1191.6	1275	1199.6	1521.2	1436.7
"f2978"	2288.9	2024.8	1979.5	2115.1	2336.2	2110.8	2223.7	2665.6	2708.1	2681.3	3052.3	3180.3	2772.7	3400	3215.9
"f3014"	2725.7	2364.1	2428.9	2611.9	2828.8	2752.5	2925.8	3400.4	3554.4	3403.4	3934.4	4062.9	3562.7	4428.1	4278.6
"f3018"	2372.7	2087.6	2083.5	2225.1	2538	2646.3	2774.1	3380.7	3441.5	3186.5	3899.9	4099.6	3557.3	4564.9	4136.9
"f3019"	918.2	827.6	887.4	920.8	981.2	722.4	778.5	873.2	872.9	960.7	884.6	848.8	751.6	971.9	905.5
"f3053"	1236	1114.8	1097.3	1163.3	1336.1	1183.4	1315.7	1533.3	1523.5	1494.4	1732	1788.9	1576.8	1971.3	1898.3
"f3080"	1291.6	1177.6	1092	1226.7	1377.1	1364.5	1394.7	1747	1706.2	1708.1	2050.4	2000	1756.5	2318.2	2141.6
"f3104"	3934.2	3330.8	3122.9	3501.7	3973.3	2712	2872.2	3363.2	3480.3	3550.9	3170.6	3222.5	3020.2	3604.5	3543.3
"f3137"	3055	2514.8	2443.3	2654.2	3028	2758.8	2948.5	3632.3	3484.5	3541.9	3999.7	4271.8	3854.9	4979.3	4413.3
"f3205"	1866.8	1622.2	1596.9	1811.8	1977.9	1867	2006.5	2466.4	2509.3	2466.3	2779.8	2795.1	2436	3185.9	3046.7
"f3239"	1102.2	961.3	946.7	1109.1	1193.1	1063.8	1111.2	1361.7	1378	1375.9	1566.3	1569	1365.2	1790.7	1614.2
"f3240"	786.6	721.8	686.3	741.5	844.1	571.9	615.9	757.3	721.4	777	670.8	686.4	643.1	783.7	752.6
"f3241"	1226.7	1239	984.7	1200.9	1329.8	1062.4	1061.4	1268.5	1290.1	1392.5	1034.3	1135.9	987.8	1287.2	1217.9
"f3248"	1076.1	963.8	932.2	1003.6	1110.4	942.4	1019.2	1254.5	1232.4	1237.8	1367.1	1425.4	1264.2	1603.5	1526
"f3251"	2574.3	2230.6	2147	2381.8	2693.7	2270.8	2464.6	2984.5	3006.2	3038.8	3437.9	3486.2	2962.9	3863.6	3755.9
"f3283"	1393.8	1197.9	1147.7	1240.2	1421.6	1046.8	1147.1	1358.7	1385.9	1378.5	1609.2	1642.5	1447.5	1850.5	1745.4
"f3300"	1226.8	1052.8	936.3	1139.7	1264.8	1020	1057.8	1234	1229.3	1389	1484.3	1457.9	1318.7	1679.6	1596.5
"f3314"	897.5	786.9	777.7	839.7	970.5	1067.2	1133.3	1428.5	1419.6	1336.9	1668.3	1649.4	1558.9	1862.3	1688.9
"f3348"	849	701.1	727.5	772.3	832.2	722.1	807.8	937.3	955	1015.3	1377	1264.8	1024.9	1332.5	1342.8
"f3355"	1026.8	956.9	893.2	945.1	1048.7	859.7	889.6	1060.7	1049.6	1098.5	898.9	935.3	847.6	1065.6	1052.7
"f3384"	2082.6	1823.6	1795.8	1991.8	2050.2	1774.1	1880.7	2135.3	2259.4	2398	2812.7	2568	2232.2	2812.9	2801.8
"f3413"	2347.4	2010.4	2146.6	2295.3	2543.8	2121.7	2275	2736.6	2813.3	2761.4	3188.8	3282	2686.9	3658.2	3364.7
"f3506"	5000.5	4402.1	4355.8	4776.7	5273.3	4459.3	4789.3	5580.3	5677.4	5792.3	6435.9	6594.6	5854.8	7223.6	6897.1
"f3527"	701.5	604.4	578.5	633.2	715.8	644.8	688.4	832.7	811	789.6	928.9	974.7	866.6	1058.9	972
"f3549"	2436.2	2228	2092.3	2317.2	2615.2	1763.4	1964.3	2253.2	2268.8	2318.8	2606.5	2862.9	2547.4	3091.8	3014.6
"f3581"	1428.6	1289.5	1246.9	1345.3	1510.5	1011.2	1075.9	1259.1	1331.8	1354.2	1200.4	1180.3	1058.1	1375.1	1346.6
"f3611"	1199.8	1053.7	1013.6	1111.7	1271.4	1029.7	1109.4	1297.2	1270.9	1355.2	1556.5	1607.4	1408.1	1774.6	1663.9
"f3672"	123.2	104.8	111.3	120.6	129.4	116.6	120.4	147.9	156.4	144	181.5	187	152.6	211	180.1
"f3768"	588.6	557.7	533.5	590.6	657.4	486	501.5	605.4	620	576.4	546.1	576.8	540.1	650.5	575.8
