	Ctrl_1	CD_1	Ctrl_2	CD_2	Ctrl_3	CD_3
CANX	6.262275352	5.28305635	5.269020148	4.656099941	5.504718725	4.5
HP1BP3	7.458126395	7.110401053	6.635450281	6.289334606	7.081185567	6.202121069
HMGN3	6.272142705	4.5	5.262367396	4.5	5.586097717	4.5
CBX1	8.365579308	7.828719763	7.594014728	7.296920838	7.702311338	7.049720768
TRA2B	7.1992143	6.158899487	5.359082585	4.903967624	5.758745235	4.969067163
NOLC1	7.016150903	6.432002099	6.222880867	5.499729979	6.266041017	5.851665882
HMGN3	6.571191963	4.997871439	5.880373854	5.07812758	5.796353841	4.863289012
HTATSF1	7.057024697	5.302327261	6.5768174	5.522066798	6.551088391	5.575098824
HMGN1	7.997693126	6.407280023	7.275893331	6.664004821	7.1229889	6.451411672
HTATSF1	7.37662793	5.481491691	6.468549156	5.390272164	6.792320409	6.152470626
PSIP1	5.801037181	5.176289643	5.162101509	4.612629956	5.216962487	4.557919726
SRSF6	5.931689057	4.914420359	5.080049208	4.500224382	5.070958177	4.5
HTATSF1	6.409972003	4.5	5.523391914	4.79718256	5.619947386	4.702616618
BCKDHA	6.337689268	5.443871023	5.61777242	4.975685652	5.41404832	5.109812115
HTATSF1	6.32338641	4.5	5.275876503	4.5	5.601153219	4.520164555
HNRNPUL2	6.061744208	5.418842789	5.510841352	5.011741024	5.488829345	4.909989328
PHIP	6.347757626	5.548861715	5.724788091	5.477088244	5.90706145	5.022701257
CDS2	5.879638562	4.762038222	4.924476484	4.5	5.253542736	4.589076542
CHGA	6.57499373	5.181912175	8.350840371	6.887678752	7.223849586	5.745712916
H1-3	7.183459072	6.644556551	6.849096686	6.524788477	7.21961529	6.398083309
SRRM2	4.543794219	5.777203714	4.996348238	5.430815268	4.5	5.20667758
BAZ1B	5.608570986	4.846345397	4.701022194	4.5	4.988177268	4.5
SRRM2	4.5	5.221619626	4.541576964	4.97819624	4.5	5.100807711
SRRM2	5.249563	6.019847455	4.578144031	5.357533325	4.5	5.312850813
PSIP1	6.616458806	5.955678951	5.987788457	5.587016529	6.186590663	5.788330828
CHGB	6.631253893	5.569367244	6.189893201	5.886390375	6.445132406	5.71667141
PSIP1	6.41682219	5.862914726	5.897907376	5.500307817	6.108400126	5.671220162
AKAP12	6.177917945	5.810635281	5.484564088	5.252984122	5.689394991	5.302522668
SRRM2	4.982043776	6.367314711	5.789449674	6.185690651	4.732927669	5.904593174
ILF3	6.026179406	5.571659565	5.529583463	5.295171099	5.814715197	5.235303003
SCG2	5.468534919	4.777461517	5.661812329	5.208851271	5.924060162	4.911826838
SRRM2	4.5	5.585297381	4.902134845	5.445953341	4.5	5.397146999
HMGN3	5.488085623	4.5	5.313148854	4.70314934	5.258980536	4.724812893
CHGB	5.416960978	4.5	4.746624782	4.5	5.100136021	4.5
RSF1	6.737898518	6.332401532	6.423701543	5.959361947	6.238032826	6.111661186
FOXK1	4.5	4.906896757	4.5	5.030993674	4.5	4.829065208
NCL	4.985619934	4.5	5.107562475	4.661322054	5.581120346	4.584844078
HDGFL3	5.789383167	5.357998214	5.804018351	5.259907839	5.757994332	5.347483462
HMGN3	5.221759057	4.5	4.910902672	4.618225534	5.000367622	4.5
CHGB	5.889218263	4.5	6.360216026	5.877675381	6.853060097	5.6845733
HSF1	5.711600363	5.075225807	5.562525075	5.045141967	5.384505963	5.12637488
SLC44A2	5.631018112	5.148256858	5.409864772	5.172332631	5.470164945	4.930226956
TCEA1	5.842329502	4.998087124	5.881404755	5.62999833	5.855952688	5.252962779
SCLY	5.32570649	4.5	4.925411401	4.65454844	5.18394052	4.662745593
SRRM2	4.616373953	5.677271158	5.16590806	5.532076303	4.565029067	5.575542567
BNIP2	5.11232757	4.5	5.021658731	4.5	5.10101069	4.878630347
SRRM2	4.5	5.484632622	5.777863413	6.163281023	4.719687248	6.064766019
CCDC86	5.192472586	4.5	5.492901448	5.070782023	5.247175571	4.85539173
#N/A	4.5	4.671585542	4.795368034	5.256677289	4.5	5.101263989
KTN1	5.05656579	4.5	5.089779633	4.773548928	5.322263721	4.860345422
#N/A	5.197225594	5.922787427	4.965147223	5.339010504	4.512551436	5.104565826
CHGA	5.260762179	4.5	7.309040837	6.884194536	7.059263334	5.835830056
CRMP1	4.924760424	4.5	5.890888243	5.555778577	6.077163857	5.320589016
RSF1	5.047004053	4.621175003	4.963343197	4.689476416	4.878362837	4.609385263
TCOF1	4.5	4.889495654	4.5	4.867132551	4.5	4.915655632
