	Ctrl_1	CD_1	Ctrl_2	CD_2	Ctrl_3	CD_3
ANKH	5.928790733	5.595380786	6.062654982	5.362489231	5.815866914	5.069644617
HPSE	5.843551371	5.648850022	6.175991846	5.406617901	6.155742306	5.378430139
ENPP6	9.780074959	8.719880935	9.584317212	9.061039123	10.4513595	8.908689552
TMEM130	9.298464423	8.87915829	9.162824499	8.694446921	8.83432825	8.349810094
DAAM1	8.404877367	7.9537468	8.151451756	7.517149128	8.6222519	7.891888331
EDIL3	11.70880762	11.04209877	11.50596422	11.06410634	11.55529238	10.72639391
TENM4	6.857075578	6.225221002	6.702100729	6.422012036	6.73109559	6.013346667
H1-3	16.11650398	15.64225762	15.42724558	15.25139027	15.60824792	15.17062193
PSAP	12.48449402	12.11853788	12.1737587	11.97008062	11.9621874	11.37465845
GPRC5B	6.195356378	5.747987104	6.166804387	5.901058374	5.91929972	5.331157113
SLC25A14	7.805911045	7.227305093	7.779244735	7.204004319	7.456123257	7.15202544
TMEM201	7.105718179	6.535901787	6.693736743	6.516374972	6.807169393	6.321912154
NDFIP1	5.026861458	4.5	5.08649907	4.805945117	5.291401024	4.5
C1RL	6.550142199	6.365860224	7.331057297	6.711659661	6.633065765	5.979512037
RTN3	10.49684208	9.97851801	9.946018076	9.803643893	10.20824267	9.743130648
LSAMP	8.923695087	8.559757282	8.520211121	8.149721682	9.216579537	8.589267034
SLC35B1	7.592693681	7.271925068	7.512086672	7.160037589	7.297754289	7.000651886
AKAP2	5.788733069	6.628700998	6.067345938	6.777260303	5.88023504	6.995393634
CGA	13.31295616	12.00316827	13.65458068	12.91571725	13.30862819	12.77661045
PSEN1	5.239506417	4.5	5.188608213	4.807387266	5.335318531	4.864573146
DEGS1	6.091794843	5.629673786	5.989964916	5.766447027	6.140975272	5.678830133
AAAS	8.320590845	7.832856222	8.334590562	7.892139788	8.115144728	7.910400476
GLT8D1	11.75337799	11.21596859	11.49712544	11.26537202	11.65724153	11.24833762
FGF1	7.37290828	6.891887471	7.087262004	6.914844825	7.438957195	7.026937096
FRRS1L	8.110112952	7.551741332	8.088883386	7.909792158	7.981266215	7.589822141
GBP6	5.438329336	5.072711952	6.404128114	5.892768025	5.872822539	5.250468238
ZNF512	8.159641777	7.820045111	8.78691349	8.259676618	8.318105969	8.055180506
HMGN4	12.91888874	12.40518725	12.99254786	12.58472682	12.74531498	12.58328659
NAV2	7.350080824	8.457330759	5.547486656	5.884608114	5.901220939	7.161028572
FABP7	9.652913764	9.217179305	10.80856783	10.28956671	10.04964352	9.388882192
SCCPDH	12.09366251	11.57877395	12.04065438	11.84276692	12.13152785	11.76253733
DKK2	8.111737517	7.697664246	8.646884023	8.294801162	8.981661872	8.301568344
XRN1	5.668564106	6.302562398	5.589559916	5.981777924	5.670140232	5.872328975
CHAMP1	7.734192025	8.462457201	8.080095591	8.363713367	7.70280022	8.376391265
MAX	6.375708963	7.203944739	7.486869425	8.045192027	6.881236024	7.999577839
COCH	11.13505001	10.4977042	11.76025713	11.55132555	11.79696841	11.23923846
SERPINA7	8.403473974	8.0310778	9.426850958	9.009548618	9.043652006	8.715777383
THBS2	10.55842804	10.77179431	9.435626069	10.03095062	9.367138434	10.02850297
ITIH5	8.006304938	8.219471244	7.418845274	7.783641989	7.273973272	7.889227758
NIBAN2	10.44076407	11.13574101	10.31661593	10.48943327	10.31411443	10.79917071
AHCTF1	7.252180215	7.717279825	7.277690598	7.624940331	7.047016258	7.369254417
MASTL	7.348969561	7.912379175	7.4874072	7.916184133	7.559266676	7.871198967
DAP	7.757750685	8.287472672	7.648004758	8.049306422	7.734503569	7.905607933
TFG	10.71790193	11.40818702	11.19590738	11.61652366	11.0686391	11.66597131
STAM2	8.199155696	8.896753767	8.702396772	9.012397625	8.635576749	9.023468939
MYO10	6.041567117	6.742049615	6.953381567	7.588339236	7.18920873	7.638684145
TIMM17B	8.752199404	9.157240242	8.115068316	8.327322512	8.258924841	8.667825815
ATXN2L	7.835793959	8.312435957	8.441004633	8.810186516	8.092209942	8.705579885
TRIQK	8.559078915	8.999390621	8.244215436	8.57469134	8.334814154	8.557209984
CAB39L	8.876490678	9.506192011	9.495262204	9.695627569	9.349147335	10.05429244
PPFIA3	6.511144504	6.916717173	5.993602855	6.212955666	6.277914433	6.632267455
SCRIB	8.619499907	9.072115732	8.405487051	8.615093645	8.423396885	8.743556401
NR3C1	6.984391138	7.280756268	7.039978308	7.220661054	6.692977608	7.279750174
PRPF40A	11.04350334	11.54114955	11.29437921	11.47153716	10.89595142	11.49374567
DBNL	10.60820361	11.1747714	10.48733553	10.7144619	10.43431056	10.69448554
NMT2	7.280017691	7.833627871	7.831003355	8.125738328	7.671925024	8.03858836
SZRD1	6.106211199	6.543416441	6.620834378	6.819631084	6.361433669	6.946802145
CUTA	4.5	4.896902753	4.812671365	5.082365902	4.892039759	5.224433683
SIN3A	6.513594278	7.033796572	6.975471997	7.118269396	6.642496178	7.010611462
ZNF207	9.698126131	10.25840558	10.22790654	10.47464315	9.931601894	10.37006159
SRA1	6.906168103	7.298687375	6.960801823	7.115512098	6.993206207	7.493640111
DDX3Y	8.412382057	8.905154106	8.58864772	8.791408809	8.572536412	8.932412582
SEPTIN5	9.495628797	10.05204106	9.524506961	9.729500061	9.490408953	9.726565953
SCAF1	7.55057588	7.931401195	8.18037302	8.392004064	7.709919411	8.251383664
ICA1L	7.17408685	7.550970141	7.487590384	7.798062081	7.312444177	7.650114858
DYNLL1	10.73774788	11.18363624	10.82096441	10.99324219	10.6981876	11.15062906
LAMP1	11.84479848	12.38123163	11.81059382	12.05371364	11.76468129	12.02874056
FST	6.638727726	7.099112268	7.385426609	7.664265868	7.091516503	7.420513994
SCAF4	8.404388539	8.849835704	9.083240246	9.286308572	8.583751182	8.999254619
CACNA2D1	11.73152971	12.19123643	11.68921788	11.8607917	11.70700128	12.12035072
TBCC	6.173820249	6.483374921	6.933472125	7.27211287	6.795967582	7.212924703
MAP1S	10.06500491	10.39190147	10.52127514	10.70821652	10.47809175	11.07828387
UGP2	12.38026052	12.88454209	12.61922457	12.75320378	12.60331572	13.04633883
MYH14	12.9936102	13.28978084	13.24460894	13.41956003	13.0531987	13.5779662
