"GFP1_1"	"GFP_2"	"GFP1_3"	"GFP_4"	"GFP1_5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"
"mp39"	150.8	153.5	172.7	202.9	199.3	112	121.3	114.6	117.6	175.8
"mp58"	49.5	51.2	57.3	61.3	59.8	30.8	40	36.3	35.2	40.8
"mp64"	70	59.2	67.4	84.8	78.9	42.5	46	48.6	43.7	43.4
"mp101"	110.4	116.4	119.7	144.3	171	88.5	92.9	88.2	92.3	138.5
"mp104"	40.8	34.2	35	39.7	35	18.7	26.5	21.9	23.9	24.6
"mp109"	176.6	183.4	208.4	210.7	242.2	122.1	143	139.3	148.4	180.3
"mp113"	78.8	76.3	64.7	83.5	82.3	124.3	132.1	126.4	144.4	148.4
"mp124"	61.4	64.5	62.6	72.9	63.9	28.1	36.7	35.1	33.2	38.7
"mp133"	57.5	46.8	56.5	59.1	62.6	29.9	40.6	33.5	32	44.3
"mp158"	20.9	19.5	22.3	26.9	31	28.6	44.4	47.9	44	47.1
"mp190"	36.6	32.5	40.1	49.7	50.5	69.3	66.8	77.7	82.4	85
"mp199"	57.6	64.1	67.6	72.7	76.3	39.5	45.8	42	55.7	63.7
"mp241"	459.2	488.5	520.4	528.2	538.2	161.1	178.4	157.4	167.1	224.1
"mp266"	30.5	33.7	35.5	30.4	35.1	18.1	24	25	23.7	28.3
"mp281"	46	43.3	44.9	48.7	53	24.8	24.7	25.3	25.6	33.9
"mp284"	164.6	156	185.9	202.6	186.2	100.4	129.2	118.3	121.2	158.5
"mp320"	38.3	38.5	42.4	39.5	43.9	23.4	32.4	24.2	28.7	32.5
"mp362"	37	38.6	31.1	56.6	71.9	94.7	92.1	93.1	97.8	148.2
"mp389"	74.8	82.2	91.6	93.2	78.7	57.1	54.4	56	54.3	72.7
"mp401"	77.1	68	83.8	97.3	94.8	55.4	60.2	54.2	60.2	76.5
"mp410"	509.6	492.1	510	586.5	508.8	207.1	249.2	248.7	252.3	260.4
"mp455"	152.8	153.9	159.4	131.3	148.8	92	121.3	105.3	95.1	123.1
"mp459"	26	24.8	29.2	40.7	37.5	56.1	47.9	42	85.9	61.4
"mp488"	34.8	29.4	34.3	38.4	39.5	60.4	69	64.5	61.4	60.6
"mp506"	98.8	92.4	99.1	119.1	120.2	186.7	194.2	190.9	198.4	214.9
"mp508"	91.6	93	103	117.4	134.9	178.4	235.8	206.1	222.6	232.2
"mp557"	118.9	134.7	141.3	145.7	157.8	68.6	96.6	87.5	82.7	122.1
"mp580"	22.6	29.4	32.9	28.6	30.7	48.6	58.5	45.6	53.5	57.7
"mp584"	64.9	68.2	75.1	99.9	110.1	34.7	44.2	43.2	43.4	72
"mp587"	349	354.7	387.9	447.6	478.2	228.4	291.1	284.7	287.3	366.6
"mp609"	47.4	43.5	37.3	54.8	49.3	71.8	83.2	79.8	86.8	90.4
"mp621"	34.1	37.9	44.8	44.2	51.2	129.4	139.3	130.8	134.7	167.3
"mp638"	102.4	105.8	119.7	124.3	128.6	61.6	69.4	64.7	75.7	83.8
"mp644"	149.3	149.4	165.2	161.6	159.1	102.3	108.3	99.6	104.9	116.5
"mp709"	46.3	47.6	51.7	67.7	59.9	81.9	108.2	94.1	90.5	99.4
"mp716"	98.4	100.1	105.8	113	113.3	75	78.7	75	71.8	91.7
"mp729"	72.8	69.6	76.2	85.7	80.9	36.3	49.1	55.2	43.2	49.3
"mp741"	78.8	74.9	75.9	85.4	87.9	41.2	59.3	48.3	43.3	57
"mp759"	50.6	48	50	54.1	56.3	30.5	43.4	38.4	32.5	48
"mp819"	282.2	262.6	296.9	300.1	292.7	171.7	210.4	178.9	195.1	204
"mp855"	57.2	48.3	61.5	78.5	87.7	114.3	121.8	124.7	134.8	161.7
"mp860"	31.3	31.8	39.3	46.3	49.8	14.2	28.5	16.8	14.6	32.8
"mp874"	124	127.9	156.2	164.1	162.2	257.1	325.5	344.1	295.4	353.7
"mp881"	62.2	54.9	62.9	71	66.1	136.3	154.6	142.7	141.7	153.1
"mp887"	30.9	29.8	30.9	35.9	40.1	19	20.8	19.8	18.6	27.7
"mp888"	523.8	564.6	594.1	685.5	695.3	277	316.7	294.3	291.1	353.6
"mp924"	133.4	122.6	137.4	156	149.4	235.6	273.7	251.3	276	284.9
"mp937"	60.7	64.2	65.9	73.8	69.7	117.1	130.2	129.8	134.8	126
"mp979"	107.2	101	114.4	126.1	118.9	63.9	77.8	73.5	78.3	94.2
"mp1006"	185.4	202.6	207.5	218.1	196.2	122.8	138.5	148.3	156.6	153.5
"mp1025"	993.1	933.6	992.3	945.8	911.8	634.8	771.9	753.1	679.1	839.9
"mp1032"	58.6	75.8	89.9	85.8	64.4	194	206.6	198.4	194.3	204.7
"mp1037"	75.2	64.7	82.5	99.2	98.6	129.8	176.8	155.1	159.5	194
"mp1041"	19.7	19.2	21.5	23.3	26.9	39.9	50.8	42.3	45.6	56.6
"mp1068"	49.5	43.4	37.7	54.4	56.1	76.3	81.9	80.3	92.9	92.2
"mp1072"	100.7	106.2	119	115.1	118	60.6	61.2	66.6	79.9	89.6
"mp1078"	55.8	62	60.1	77.4	93	160.8	177.1	169.7	203.3	202.6
