"GFP_1"	"GFP_2"	"GFP_3"	"GFP_4"	"GFP_5"	"R17_1"	"R17_2"	"R17_3"	"R17_4"	"R17_5"
"mp69"	13949.1	13694.6	15108.6	16395.1	15261.7	8433.3	9611.1	9321.1	9861.4	9909.8
"mp120"	6417.4	6441.1	7072.2	7470.6	7014.7	4763.2	5244.8	5161.3	5382.8	5498.8
"mp122"	5366.4	5317.4	5663.3	5972	5573.6	14301.3	15579.5	14975.3	16009.2	15863.7
"mp133"	3006.9	2959.7	3239.8	3405	3255.1	5748.9	6367.9	5982.3	6657	6551.8
"mp138"	8383	7617.1	8700.5	8962.8	8300.9	6124.4	6549.4	6213.4	7247.7	6891.3
"mp172"	3233.2	3187.1	3445.5	3571.4	3424.9	2226.4	2469.8	2385.5	2569.9	2511.2
"mp191"	5041.3	4969.3	4958.3	5473.8	5326	10493.3	10938.8	10748.1	11401.7	11177.3
"mp196"	5368	5302.9	5673.7	5887.5	5705.1	11791.5	13163.1	12568.1	13620.3	13621.9
"mp214"	6927.3	6692.1	7422.3	7979.8	7418.1	5218.5	5708.5	5432.9	5954.7	5901.7
"mp307"	3365.3	3363.9	3629.3	3855.3	3612.2	9251.6	10395.4	9937.1	10689.3	10756.1
"mp367"	111.7	99.6	124.1	112	117.5	70	76.7	71.6	77.2	78.3
"mp377"	1503.3	1534.4	1640	1727.8	1568.2	2743.1	3001.2	2784.5	3002.1	2933
"mp382"	4867.8	4768.2	5205.3	5440.4	5146.9	8798.9	9324.5	8901.6	10513	10030.3
"mp467"	2586.8	2556.2	2825	2842.4	2675.3	5480.2	5892.8	5699.6	6268.8	6165.1
"mp468"	6024.7	5946.6	6658.5	7030.9	6509.4	3848.6	4314.9	4073.6	4428.1	4347
"mp472"	3232.1	3171.7	3573.7	3578.1	3497.2	2234.6	2421.5	2295.2	2576.5	2515.9
"mp504"	3649.5	3565.6	3939.5	4013.2	3782.2	7980.3	8821.5	8427.5	9135.8	9031.5
"mp594"	9622.6	9121.5	10145.2	11131	9954.7	6324.4	7046.1	6535.1	7404.6	7172.8
"mp627"	1340.1	1315.8	1421	1457.8	1410.4	3147.3	3477.8	3404.9	3641.9	3746.7
"mp657"	1188.8	1180.4	1284.3	1307.2	1271.8	2197	2454.9	2341.2	2559.1	2533.2
"mp692"	2517.2	2334.9	2287.3	2805.2	2594.2	4462.1	4406.9	4432	4800.8	4441.7
"mp722"	5616.3	5798.3	6129.6	6589.1	6296	4033	4562.3	4401.8	4653.3	4508.9
"mp740"	1508.5	1427.3	1458.1	1700.9	1670.9	3163.6	3548.6	3380.4	3677.5	3649.2
"mp746"	3366.1	3348	3610.5	3856.1	3644.2	2367.1	2657.4	2659.7	2785.7	2839.2
"mp770"	2962.7	2996.4	3296.3	3289	3181.1	5206.2	5927	5553.9	5838.1	5915.2
"mp809"	46.6	44.6	49	42.4	43.4	128.4	150	143.5	155.9	148.6
"mp813"	1441.5	1448.5	1616.4	1649.9	1597.3	2574.7	2775.8	2759.6	2914	2964.1
"mp897"	189	187.6	186.9	201.1	209.7	67.9	75	84.9	71	85.7
"mp1051"	2711.5	2731.4	3001.6	3127.1	2971	2055.8	2202	2156.4	2190.6	2266.4
"mp1194"	1838	1838.4	2045.7	2082.6	2029.8	1397.9	1566.5	1499.7	1591.6	1602.3
"mp1252"	3613.6	3493	3850.9	4154.1	3818.7	1190.1	1255.6	1270	1343	1344.1
"mp1261"	190	193.6	210.2	226.7	218.8	333	389.3	366.3	418.8	418.3
"mp1272"	236.8	248.1	269.3	285.3	267.7	501.1	548	563.1	574.5	573.1
"mp1310"	2390.7	2381.9	2670.5	2827	2620.2	1597.2	1743.9	1741.3	1901.4	1883.1
"mp1342"	1061.5	1080.6	1121.3	1151.5	1144.7	2143.5	2428.2	2360.9	2529.5	2540
"mp1345"	980.7	987.9	1067.9	1069.2	1055.4	2015.6	2305.6	2222.1	2334.1	2375.9
"mp1402"	1336.6	1289.3	1233.4	1459.6	1386.8	904.3	1010.1	981.6	1072	1098.6
"mp1474"	183.6	155.8	134.6	182.5	172.4	348	274.9	250.8	343.5	319
"mp1488"	468.3	517.4	573.1	559.4	563.7	917.3	1032.6	988.5	1069.7	1098.6
"mp1572"	1070.6	1049.6	1122.8	1236	1117.1	801.5	874.3	868.6	926	921.7
"mp1577"	136.6	158.2	162.6	152.9	168.3	299.8	339.7	345.7	331	356.8
"mp1606"	627.8	614	667.6	653	682.7	1088.2	1167.9	1158.1	1312.1	1237.3
"mp1663"	228.4	228.2	244.1	250.1	238	426.3	507.4	495.5	491	500
"mp1715"	1098.7	1040.9	1204.2	1278.2	1195.3	761.6	834.1	835	901.5	912.2
"mp1734"	1055.2	988.9	1106.2	1195.7	1157.5	766.5	854.6	863.1	900	878.1
"mp1752"	929.8	909.6	988.8	1054.8	963.7	1668.4	1766.9	1747.8	1859.9	1905.5
"mp1761"	2276.9	2337.1	2557.9	2735.7	2469.6	4358.8	5145.5	4906.6	5233	5248.2
"mp1764"	3661.6	3171.5	3920.2	3494	3037.9	2675.2	2884.6	2204.4	2594	2118.9
"mp1779"	573.6	562	614.2	644.6	578.6	1040.2	1131.3	1088.7	1203.4	1167.7
"mp1811"	535.9	515.8	563.4	594.7	539.4	1137.3	1220.9	1151	1325.9	1282.4
"mp1871"	1212.3	1225.4	1316.9	1360.5	1271.8	847.4	1004.4	931.1	994.7	1018.5
"mp1888"	401.7	401.2	439.6	473.9	435.8	735.3	805	808	868.3	871.7
"mp1920"	1134.9	1086.9	1207.2	1290.9	1211.7	2123.6	2301	2206.3	2626.7	2512
"mp1924"	168.4	171.3	190.3	180.9	174.9	298	318.3	344.2	367.4	360.7
"mp2015"	1257.1	1224.7	1317.8	1323.6	1251.1	2205.5	2329.1	2254.6	2388.8	2375.7
"mp2072"	110.2	123.6	121.5	129.5	131.6	630.4	674.5	664.5	712.7	758.2
"mp2158"	895.9	848.3	937.9	949.9	904	1652.1	1825.1	1781.7	1908.4	1941.3
"mp2160"	642.5	593.1	633.3	686.9	621.6	423.7	453	440.3	507.7	476.9
"mp2194"	70.4	71.3	83.8	89	81.3	206.7	241.2	240.1	273.3	271.2
"mp2200"	354	366.7	380.3	422	401.8	643.8	716.4	704.2	740.4	754.8
"mp2203"	1029.8	1040.5	1113	1168.5	1077.6	633.8	736.1	679.1	775	761.5
"mp2262"	629.5	602	657.2	651.4	649.7	1728.2	1957.2	1919.2	1928.4	2059.4
"mp2298"	513.7	543.4	561.5	628.8	573.6	951	1010.9	972.5	1090.1	1109.5
"mp2315"	253.6	260.5	296.8	312.8	295.2	160.3	181.7	154.2	166.1	158.4
"mp2365"	194.3	182.8	195.6	216.4	190.5	334.8	357.9	370.9	397.2	399.3
"mp2372"	358.5	366.1	385.9	402.2	376.2	252.7	283.7	279.2	290.1	300.7
"mp2379"	110.3	107.6	136.7	117.6	116	245.5	270.8	256.9	255	295.1
"mp2395"	228.8	243	250.5	278.4	265.2	861.8	913	938.6	1066.8	993.2
"mp2414"	228	256.8	243.8	263.7	268.3	643.5	684	669.3	718.2	749.5
"mp2438"	55.1	56.2	55.8	63	64.8	103.4	108	103.4	117.7	131.4
"mp2444"	2929.1	2485.2	2672.7	2790.7	2679.2	2423.9	2448.1	1772.5	1913.6	1849.9
"mp2486"	608.1	598.7	651.1	655.7	625.3	388.4	426.2	413.9	457	455.1
"mp2490"	80.1	72.6	80.5	92.3	70.8	493.7	510.6	509.8	553	546.3
