Name	P-value	log P-pvalue	q-value (Benjamini)	# Target Sequences with Motif	% of Targets Sequences with Motif	# Background Sequences with Motif	% of Background Sequences with Motif
"GRE(NR),IR3/A549-GR-ChIP-Seq(GSE32465)/Homer"	1.00E-57	-1.32E+02	0	76	12.54%	456.4	0.96%
"GRE(NR),IR3/RAW264.7-GRE-ChIP-Seq(Unpublished)/Homer"	1.00E-54	-1.26E+02	0	92	15.18%	833	1.75%
PGR(NR)/EndoStromal-PGR-ChIP-Seq(GSE69539)/Homer	1.00E-51	-1.18E+02	0	85	14.03%	754.9	1.59%
ARE(NR)/LNCAP-AR-ChIP-Seq(GSE27824)/Homer	1.00E-45	-1.04E+02	0	85	14.03%	905.7	1.91%
Fos(bZIP)/TSC-Fos-ChIP-Seq(GSE110950)/Homer	1.00E-23	-5.43E+01	0	88	14.52%	1954.5	4.11%
Fra2(bZIP)/Striatum-Fra2-ChIP-Seq(GSE43429)/Homer	1.00E-23	-5.41E+01	0	78	12.87%	1563.7	3.29%
NFY(CCAAT)/Promoter/Homer	1.00E-23	-5.33E+01	0	117	19.31%	3279.4	6.90%
PR(NR)/T47D-PR-ChIP-Seq(GSE31130)/Homer	1.00E-22	-5.12E+01	0	215	35.48%	8811.4	18.55%
Fosl2(bZIP)/3T3L1-Fosl2-ChIP-Seq(GSE56872)/Homer	1.00E-20	-4.62E+01	0	60	9.90%	1090.3	2.30%
JunB(bZIP)/DendriticCells-Junb-ChIP-Seq(GSE36099)/Homer	1.00E-19	-4.59E+01	0	79	13.04%	1838.9	3.87%
Atf3(bZIP)/GBM-ATF3-ChIP-Seq(GSE33912)/Homer	1.00E-19	-4.52E+01	0	88	14.52%	2249.9	4.74%
Fra1(bZIP)/BT549-Fra1-ChIP-Seq(GSE46166)/Homer	1.00E-19	-4.49E+01	0	78	12.87%	1827.9	3.85%
BATF(bZIP)/Th17-BATF-ChIP-Seq(GSE39756)/Homer	1.00E-18	-4.25E+01	0	84	13.86%	2169.9	4.57%
AP-1(bZIP)/ThioMac-PU.1-ChIP-Seq(GSE21512)/Homer	1.00E-17	-4.11E+01	0	92	15.18%	2589.7	5.45%
Jun-AP1(bZIP)/K562-cJun-ChIP-Seq(GSE31477)/Homer	1.00E-17	-4.01E+01	0	48	7.92%	806.8	1.70%
En1(Homeobox)/SUM149-EN1-ChIP-Seq(GSE120957)/Homer	1.00E-10	-2.43E+01	0	147	24.26%	6725.3	14.16%
