From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9JHU4	Q9JHU4	reviewed	DYHC1_MOUSE	Cytoplasmic dynein 1 heavy chain 1 (Cytoplasmic dynein heavy chain 1) (Dynein heavy chain, cytosolic)	Dync1h1 Dhc1 Dnch1 Dnchc1 Dyhc	Mus musculus (Mouse)	4644
P14873	P14873	reviewed	MAP1B_MOUSE	Microtubule-associated protein 1B (MAP-1B) (MAP1(X)) (MAP1.2) [Cleaved into: MAP1B heavy chain; MAP1 light chain LC1]	Map1b Mtap1b Mtap5	Mus musculus (Mouse)	2464
Q8VDD5	Q8VDD5	reviewed	MYH9_MOUSE	Myosin-9 (Cellular myosin heavy chain, type A) (Myosin heavy chain 9) (Myosin heavy chain, non-muscle IIa) (Non-muscle myosin heavy chain A) (NMMHC-A) (Non-muscle myosin heavy chain IIa) (NMMHC II-a) (NMMHC-IIA)	Myh9	Mus musculus (Mouse)	1960
Q9QXS1	Q9QXS1	reviewed	PLEC_MOUSE	Plectin (PCN) (PLTN) (Plectin-1) (Plectin-6)	Plec Plec1	Mus musculus (Mouse)	4691
Q8BTI8	Q8BTI8	reviewed	SRRM2_MOUSE	Serine/arginine repetitive matrix protein 2	Srrm2 Kiaa0324	Mus musculus (Mouse)	2703
Q61879	Q61879	reviewed	MYH10_MOUSE	Myosin-10 (Cellular myosin heavy chain, type B) (Myosin heavy chain 10) (Myosin heavy chain, non-muscle IIb) (Non-muscle myosin heavy chain B) (NMMHC-B) (Non-muscle myosin heavy chain IIb) (NMMHC II-b) (NMMHC-IIB)	Myh10	Mus musculus (Mouse)	1976
P16546	P16546	reviewed	SPTN1_MOUSE	Spectrin alpha chain, non-erythrocytic 1 (Alpha-II spectrin) (Fodrin alpha chain)	Sptan1 Spna2 Spta2	Mus musculus (Mouse)	2472
Q62261	Q62261	reviewed	SPTB2_MOUSE	Spectrin beta chain, non-erythrocytic 1 (Beta-II spectrin) (Embryonic liver fodrin) (Fodrin beta chain)	Sptbn1 Elf Spnb-2 Spnb2 Sptb2	Mus musculus (Mouse)	2363
Q99PL5	Q99PL5	reviewed	RRBP1_MOUSE	Ribosome-binding protein 1 (Ribosome receptor protein) (RRp) (mRRp)	Rrbp1	Mus musculus (Mouse)	1605
Q68FD5	Q68FD5	reviewed	CLH1_MOUSE	Clathrin heavy chain 1	Cltc	Mus musculus (Mouse)	1675
P27546	P27546	reviewed	MAP4_MOUSE	Microtubule-associated protein 4 (MAP-4)	Map4 Mtap4	Mus musculus (Mouse)	1125
P19096	P19096	reviewed	FAS_MOUSE	Fatty acid synthase (EC 2.3.1.85) (Type I Fatty Acid Synthase) [Includes: [Acyl-carrier-protein] S-acetyltransferase (EC 2.3.1.38); [Acyl-carrier-protein] S-malonyltransferase (EC 2.3.1.39); 3-oxoacyl-[acyl-carrier-protein] synthase (EC 2.3.1.41); 3-oxoacyl-[acyl-carrier-protein] reductase (EC 1.1.1.100); 3-hydroxyacyl-[acyl-carrier-protein] dehydratase (EC 4.2.1.59); Enoyl-[acyl-carrier-protein] reductase (EC 1.3.1.39); Acyl-[acyl-carrier-protein] hydrolase (EC 3.1.2.14)]	Fasn	Mus musculus (Mouse)	2504
P11499	P11499	reviewed	HS90B_MOUSE	Heat shock protein HSP 90-beta (Heat shock 84 kDa) (HSP 84) (HSP84) (Tumor-specific transplantation 84 kDa antigen) (TSTA)	Hsp90ab1 Hsp84 Hsp84-1 Hspcb	Mus musculus (Mouse)	724
P07901	P07901	reviewed	HS90A_MOUSE	Heat shock protein HSP 90-alpha (EC 3.6.4.10) (Heat shock 86 kDa) (HSP 86) (HSP86) (Tumor-specific transplantation 86 kDa antigen) (TSTA)	Hsp90aa1 Hsp86 Hsp86-1 Hspca	Mus musculus (Mouse)	733
