From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
Q9BQG0	Q9BQG0	reviewed	MBB1A_HUMAN	Myb-binding protein 1A	MYBBP1A P160	Homo sapiens (Human)	1328
Q09666	Q09666	reviewed	AHNK_HUMAN	Neuroblast differentiation-associated protein AHNAK (Desmoyokin)	AHNAK PM227	Homo sapiens (Human)	5890
Q12888	Q12888	reviewed	TP53B_HUMAN	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	TP53BP1	Homo sapiens (Human)	1972
P13861	P13861	reviewed	KAP2_HUMAN	cAMP-dependent protein kinase type II-alpha regulatory subunit	PRKAR2A PKR2 PRKAR2	Homo sapiens (Human)	404
Q9UGU0	Q9UGU0	reviewed	TCF20_HUMAN	Transcription factor 20 (TCF-20) (Nuclear factor SPBP) (Protein AR1) (Stromelysin-1 PDGF-responsive element-binding protein) (SPRE-binding protein)	TCF20 KIAA0292 SPBP	Homo sapiens (Human)	1960
P19338	P19338	reviewed	NUCL_HUMAN	Nucleolin (Protein C23)	NCL	Homo sapiens (Human)	710
P23327	P23327	reviewed	SRCH_HUMAN	Sarcoplasmic reticulum histidine-rich calcium-binding protein	HRC HCP	Homo sapiens (Human)	699
P27824	P27824	reviewed	CALX_HUMAN	Calnexin (IP90) (Major histocompatibility complex class I antigen-binding protein p88) (p90)	CANX	Homo sapiens (Human)	592
P29590	P29590	reviewed	PML_HUMAN	Protein PML (E3 SUMO-protein ligase PML) (EC 2.3.2.-) (Promyelocytic leukemia protein) (RING finger protein 71) (RING-type E3 SUMO transferase PML) (Tripartite motif-containing protein 19) (TRIM19)	PML MYL PP8675 RNF71 TRIM19	Homo sapiens (Human)	882
Q96HC4	Q96HC4	reviewed	PDLI5_HUMAN	PDZ and LIM domain protein 5 (Enigma homolog) (Enigma-like PDZ and LIM domains protein)	PDLIM5 ENH L9	Homo sapiens (Human)	596
Q8N6C5	Q8N6C5	reviewed	IGSF1_HUMAN	Immunoglobulin superfamily member 1 (IgSF1) (Immunoglobulin-like domain-containing protein 1) (Inhibin-binding protein) (InhBP) (Pituitary gland-specific factor 2) (p120)	IGSF1 IGDC1 KIAA0364 PGSF2	Homo sapiens (Human)	1336
Q9BU76	Q9BU76	reviewed	MMTA2_HUMAN	Multiple myeloma tumor-associated protein 2 (hMMTAG2)	MMTAG2 C1orf35	Homo sapiens (Human)	263
Q86YZ3	Q86YZ3	reviewed	HORN_HUMAN	Hornerin	HRNR S100A18	Homo sapiens (Human)	2850
Q63ZY3	Q63ZY3	reviewed	KANK2_HUMAN	KN motif and ankyrin repeat domain-containing protein 2 (Ankyrin repeat domain-containing protein 25) (Matrix-remodeling-associated protein 3) (SRC-1-interacting protein) (SIP) (SRC-interacting protein) (SRC1-interacting protein)	KANK2 ANKRD25 KIAA1518 MXRA3 SIP	Homo sapiens (Human)	851
Q07617	Q07617	reviewed	SPAG1_HUMAN	Sperm-associated antigen 1 (HSD-3.8) (Infertility-related sperm protein Spag-1)	SPAG1	Homo sapiens (Human)	926
Q8N392	Q8N392	reviewed	RHG18_HUMAN	Rho GTPase-activating protein 18 (MacGAP) (Rho-type GTPase-activating protein 18)	ARHGAP18	Homo sapiens (Human)	663
Q9UQ35	Q9UQ35	reviewed	SRRM2_HUMAN	Serine/arginine repetitive matrix protein 2 (300 kDa nuclear matrix antigen) (Serine/arginine-rich splicing factor-related nuclear matrix protein of 300 kDa) (SR-related nuclear matrix protein of 300 kDa) (Ser/Arg-related nuclear matrix protein of 300 kDa) (Splicing coactivator subunit SRm300) (Tax-responsive enhancer element-binding protein 803) (TaxREB803)	SRRM2 KIAA0324 SRL300 SRM300 HSPC075	Homo sapiens (Human)	2752
P16402	P16402	reviewed	H13_HUMAN	Histone H1.3 (Histone H1c) (Histone H1s-2)	H1-3 H1F3 HIST1H1D	Homo sapiens (Human)	221
P10412	P10412	reviewed	H14_HUMAN	Histone H1.4 (Histone H1b) (Histone H1s-4)	H1-4 H1F4 HIST1H1E	Homo sapiens (Human)	219
Q9UK58	Q9UK58	reviewed	CCNL1_HUMAN	Cyclin-L1 (Cyclin-L)	CCNL1 BM-001 UNQ530/PRO1073	Homo sapiens (Human)	526
Q68EM7	Q68EM7	reviewed	RHG17_HUMAN	Rho GTPase-activating protein 17 (Rho-type GTPase-activating protein 17) (RhoGAP interacting with CIP4 homologs protein 1) (RICH-1)	ARHGAP17 RICH1 MSTP066 MSTP110	Homo sapiens (Human)	881
P08238	P08238	reviewed	HS90B_HUMAN	Heat shock protein HSP 90-beta (HSP 90) (Heat shock 84 kDa) (HSP 84) (HSP84)	HSP90AB1 HSP90B HSPC2 HSPCB	Homo sapiens (Human)	724
Q58FF7	Q58FF7	reviewed	H90B3_HUMAN	Putative heat shock protein HSP 90-beta-3 (Heat shock protein 90-beta c) (Heat shock protein 90Bc)	HSP90AB3P HSP90BC	Homo sapiens (Human)	597
Q1KMD3	Q1KMD3	reviewed	HNRL2_HUMAN	Heterogeneous nuclear ribonucleoprotein U-like protein 2 (Scaffold-attachment factor A2) (SAF-A2)	HNRNPUL2 HNRPUL2	Homo sapiens (Human)	747
P13224	P13224	reviewed	GP1BB_HUMAN	Platelet glycoprotein Ib beta chain (GP-Ib beta) (GPIb-beta) (GPIbB) (Antigen CD42b-beta) (CD antigen CD42c)	GP1BB	Homo sapiens (Human)	206
P46937	P46937	reviewed	YAP1_HUMAN	Transcriptional coactivator YAP1 (Yes-associated protein 1) (Protein yorkie homolog) (Yes-associated protein YAP65 homolog)	YAP1 YAP65	Homo sapiens (Human)	504
Q5T5C0	Q5T5C0	reviewed	STXB5_HUMAN	Syntaxin-binding protein 5 (Lethal(2) giant larvae protein homolog 3) (Tomosyn-1)	STXBP5 LLGL3	Homo sapiens (Human)	1151
Q8IYB3	Q8IYB3	reviewed	SRRM1_HUMAN	Serine/arginine repetitive matrix protein 1 (SR-related nuclear matrix protein of 160 kDa) (SRm160) (Ser/Arg-related nuclear matrix protein)	SRRM1 SRM160	Homo sapiens (Human)	904
P11137	P11137	reviewed	MTAP2_HUMAN	Microtubule-associated protein 2 (MAP-2)	MAP2	Homo sapiens (Human)	1827
O15173	O15173	reviewed	PGRC2_HUMAN	Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6)	PGRMC2 DG6 PMBP	Homo sapiens (Human)	223
Q6ULP2	Q6ULP2	reviewed	AFTIN_HUMAN	Aftiphilin	AFTPH AFTH	Homo sapiens (Human)	936
P23497	P23497	reviewed	SP100_HUMAN	Nuclear autoantigen Sp-100 (Nuclear dot-associated Sp100 protein) (Speckled 100 kDa)	SP100	Homo sapiens (Human)	879
P07910	P07910	reviewed	HNRPC_HUMAN	Heterogeneous nuclear ribonucleoproteins C1/C2 (hnRNP C1/C2)	HNRNPC HNRPC	Homo sapiens (Human)	306
Q9Y2U8	Q9Y2U8	reviewed	MAN1_HUMAN	Inner nuclear membrane protein Man1 (LEM domain-containing protein 3)	LEMD3 MAN1	Homo sapiens (Human)	911
Q02040	Q02040	reviewed	AK17A_HUMAN	A-kinase anchor protein 17A (AKAP-17A) (721P) (B-lymphocyte antigen) (Protein XE7) (Protein kinase A-anchoring protein 17A) (PRKA17A) (Splicing factor, arginine/serine-rich 17A)	AKAP17A CXYorf3 DXYS155E SFRS17A XE7	Homo sapiens (Human)	695
Q63HR2	Q63HR2	reviewed	TENS2_HUMAN	Tensin-2 (EC 3.1.3.48) (C1 domain-containing phosphatase and tensin homolog) (C1-TEN) (Tensin-like C1 domain-containing phosphatase)	TNS2 KIAA1075 TENC1	Homo sapiens (Human)	1409
Q9UKV3	Q9UKV3	reviewed	ACINU_HUMAN	Apoptotic chromatin condensation inducer in the nucleus (Acinus)	ACIN1 ACINUS KIAA0670	Homo sapiens (Human)	1341
Q01105	Q01105	reviewed	SET_HUMAN	Protein SET (HLA-DR-associated protein II) (Inhibitor of granzyme A-activated DNase) (IGAAD) (PHAPII) (Phosphatase 2A inhibitor I2PP2A) (I-2PP2A) (Template-activating factor I) (TAF-I)	SET	Homo sapiens (Human)	290
P35749	P35749	reviewed	MYH11_HUMAN	Myosin-11 (Myosin heavy chain 11) (Myosin heavy chain, smooth muscle isoform) (SMMHC)	MYH11 KIAA0866	Homo sapiens (Human)	1972
Q9NWW5	Q9NWW5	reviewed	CLN6_HUMAN	Ceroid-lipofuscinosis neuronal protein 6 (Protein CLN6)	CLN6	Homo sapiens (Human)	311
O14795	O14795	reviewed	UN13B_HUMAN	Protein unc-13 homolog B (Munc13-2) (munc13)	UNC13B UNC13	Homo sapiens (Human)	1591
Q86VR2	Q86VR2	reviewed	RETR3_HUMAN	Reticulophagy regulator 3	RETREG3 FAM134C	Homo sapiens (Human)	466
Q9Y4H2	Q9Y4H2	reviewed	IRS2_HUMAN	Insulin receptor substrate 2 (IRS-2)	IRS2	Homo sapiens (Human)	1338
Q7Z4V5	Q7Z4V5	reviewed	HDGR2_HUMAN	Hepatoma-derived growth factor-related protein 2 (HDGF-related protein 2) (HRP-2) (Hepatoma-derived growth factor 2) (HDGF-2)	HDGFL2 HDGF2 HDGFRP2 HRP2 UNQ785/PRO1604	Homo sapiens (Human)	671
Q9H1B7	Q9H1B7	reviewed	I2BPL_HUMAN	Probable E3 ubiquitin-protein ligase IRF2BPL (EC 2.3.2.27) (Enhanced at puberty protein 1) (Interferon regulatory factor 2-binding protein-like)	IRF2BPL C14orf4 EAP1 KIAA1865 My039	Homo sapiens (Human)	796
Q01167	Q01167	reviewed	FOXK2_HUMAN	Forkhead box protein K2 (G/T-mismatch specific binding protein) (nGTBP) (Interleukin enhancer-binding factor 1)	FOXK2 ILF ILF1	Homo sapiens (Human)	660
Q7Z4S6	Q7Z4S6	reviewed	KI21A_HUMAN	Kinesin-like protein KIF21A (Kinesin-like protein KIF2) (Renal carcinoma antigen NY-REN-62)	KIF21A KIAA1708 KIF2	Homo sapiens (Human)	1674
Q9UKJ3	Q9UKJ3	reviewed	GPTC8_HUMAN	G patch domain-containing protein 8	GPATCH8 GPATC8 KIAA0553	Homo sapiens (Human)	1502
O43847	O43847	reviewed	NRDC_HUMAN	Nardilysin (EC 3.4.24.61) (N-arginine dibasic convertase) (NRD convertase) (NRD-C) (Nardilysin convertase)	NRDC NRD1	Homo sapiens (Human)	1151
