From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P13808	P13808	reviewed	B3A2_MOUSE	Anion exchange protein 2 (AE 2) (Anion exchanger 2) (Band 3-related protein) (B3RP) (Non-erythroid band 3-like protein) (Solute carrier family 4 member 2)	Slc4a2 Ae2	Mus musculus (Mouse)	1237
P63147	P63147	reviewed	UBE2B_MOUSE	Ubiquitin-conjugating enzyme E2 B (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme B) (E214K) (RAD6 homolog B) (HR6B) (mHR6B) (Ubiquitin carrier protein B) (Ubiquitin-protein ligase B)	Ube2b Rad6b	Mus musculus (Mouse)	152
Q9Z2Q6	Q9Z2Q6	reviewed	SEPT5_MOUSE	Septin-5 (Cell division control-related protein 1) (CDCrel-1) (Peanut-like protein 1)	Septin5 Pnutl1 Sept5	Mus musculus (Mouse)	369
P51660	P51660	reviewed	DHB4_MOUSE	Peroxisomal multifunctional enzyme type 2 (MFE-2) (17-beta-hydroxysteroid dehydrogenase 4) (17-beta-HSD 4) (D-bifunctional protein) (DBP) (Multifunctional protein 2) (MFP-2) [Cleaved into: (3R)-hydroxyacyl-CoA dehydrogenase (EC 1.1.1.n12); Enoyl-CoA hydratase 2 (EC 4.2.1.107) (EC 4.2.1.119) (3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholest-24-enoyl-CoA hydratase)]	Hsd17b4 Edh17b4	Mus musculus (Mouse)	735
P97808	P97808	reviewed	FXYD5_MOUSE	FXYD domain-containing ion transport regulator 5 (EF-8) (Ion channel homolog RIC) (Oncoprotein-induced protein 2)	Fxyd5 Oit2	Mus musculus (Mouse)	178
Q91Y44	Q91Y44	reviewed	BRDT_MOUSE	Bromodomain testis-specific protein (Bromodomain-containing female sterile homeotic-like protein) (RING3-like protein)	Brdt Fsrg3	Mus musculus (Mouse)	956
Q05BC3	Q05BC3	reviewed	EMAL1_MOUSE	Echinoderm microtubule-associated protein-like 1 (EMAP-1)	Eml1	Mus musculus (Mouse)	814
Q8BMK0	Q8BMK0	reviewed	CEP85_MOUSE	Centrosomal protein of 85 kDa (Cep85) (Coiled-coil domain-containing protein 21)	Cep85 Ccdc21	Mus musculus (Mouse)	761
P14152	P14152	reviewed	MDHC_MOUSE	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37) (Aromatic alpha-keto acid reductase) (KAR) (EC 1.1.1.96) (Cytosolic malate dehydrogenase)	Mdh1 Mor2	Mus musculus (Mouse)	334
Q8VC23	Q8VC23	reviewed	CK086_MOUSE	Uncharacterized protein C11orf86 homolog		Mus musculus (Mouse)	124
Q9ES46	Q9ES46	reviewed	PARVB_MOUSE	Beta-parvin	Parvb	Mus musculus (Mouse)	365
Q8R5M0	Q8R5M0	reviewed	GIPC3_MOUSE	PDZ domain-containing protein GIPC3 (Regulator of G-protein signaling 19-interacting protein 3)	Gipc3 Rgs19ip3	Mus musculus (Mouse)	297
Q8CGA2	Q8CGA2	reviewed	TBC14_MOUSE	TBC1 domain family member 14	Tbc1d14 D5Ertd110e Kiaa1322	Mus musculus (Mouse)	694
Q80Y14	Q80Y14	reviewed	GLRX5_MOUSE	Glutaredoxin-related protein 5, mitochondrial (Monothiol glutaredoxin-5)	Glrx5	Mus musculus (Mouse)	152
P56960	P56960	reviewed	EXOSX_MOUSE	Exosome component 10 (EC 3.1.13.-) (Autoantigen PM/Scl 2 homolog) (Polymyositis/scleroderma autoantigen 2 homolog)	Exosc10 Pmscl2	Mus musculus (Mouse)	887
Q8VD24	Q8VD24	reviewed	ZCC18_MOUSE	Zinc finger CCHC domain-containing protein 18	Zcchc18 Sizn2	Mus musculus (Mouse)	393
O08583	O08583	reviewed	THOC4_MOUSE	THO complex subunit 4 (Tho4) (Ally of AML-1 and LEF-1) (Aly/REF export factor) (REF1-I) (RNA and export factor-binding protein 1) (Transcriptional coactivator Aly/REF)	Alyref Aly Ref1 Refbp1 THOC4	Mus musculus (Mouse)	255
Q61584	Q61584	reviewed	FXR1_MOUSE	RNA-binding protein FXR1 (FXR1P) (mFxr1p)	Fxr1 Fxr1h	Mus musculus (Mouse)	677
P49117	P49117	reviewed	NR2C2_MOUSE	Nuclear receptor subfamily 2 group C member 2 (Orphan nuclear receptor TAK1) (Orphan nuclear receptor TR4) (Testicular receptor 4)	Nr2c2 Mtr2r1 Tak1 Tr4	Mus musculus (Mouse)	596
Q8BKA3	Q8BKA3	reviewed	SRRM4_MOUSE	Serine/arginine repetitive matrix protein 4 (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	Srrm4	Mus musculus (Mouse)	608
Q9CPY3	Q9CPY3	reviewed	CDCA5_MOUSE	Sororin (Cell division cycle-associated protein 5)	Cdca5	Mus musculus (Mouse)	264
Q8BTI8	Q8BTI8	reviewed	SRRM2_MOUSE	Serine/arginine repetitive matrix protein 2	Srrm2 Kiaa0324	Mus musculus (Mouse)	2703
Q9Z0R4	Q9Z0R4	reviewed	ITSN1_MOUSE	Intersectin-1 (EH and SH3 domains protein 1)	Itsn1 Ese1 Itsn	Mus musculus (Mouse)	1714
Q8BQZ4	Q8BQZ4	reviewed	RLGPB_MOUSE	Ral GTPase-activating protein subunit beta (p170)	Ralgapb Kiaa1219	Mus musculus (Mouse)	1484
Q9R1L5	Q9R1L5	reviewed	MAST1_MOUSE	Microtubule-associated serine/threonine-protein kinase 1 (EC 2.7.11.1) (Syntrophin-associated serine/threonine-protein kinase)	Mast1 Kiaa0973 Sast	Mus musculus (Mouse)	1570
Q9JLV1	Q9JLV1	reviewed	BAG3_MOUSE	BAG family molecular chaperone regulator 3 (BAG-3) (Bcl-2-associated athanogene 3) (Bcl-2-binding protein Bis)	Bag3 Bis MNCb-2243	Mus musculus (Mouse)	577
Q99M03	Q99M03	reviewed	RWD2B_MOUSE	RWD domain-containing protein 2B	Rwdd2b ORF5	Mus musculus (Mouse)	290
Q8BKT3	Q8BKT3	reviewed	GCFC2_MOUSE	Intron Large complex component GCFC2 (GC-rich sequence DNA-binding factor) (GC-rich sequence DNA-binding factor 2) (Transcription factor 9) (TCF-9)	Gcfc2 Gcf Tcf9	Mus musculus (Mouse)	769
Q60769	Q60769	reviewed	TNAP3_MOUSE	Tumor necrosis factor alpha-induced protein 3 (TNF alpha-induced protein 3) (EC 2.3.2.-) (EC 3.4.19.12) (Putative DNA-binding protein A20) (Zinc finger protein A20)	Tnfaip3 Tnfip3	Mus musculus (Mouse)	775
Q9QYH6	Q9QYH6	reviewed	MAGD1_MOUSE	Melanoma-associated antigen D1 (Dlxin-1) (MAGE-D1 antigen) (Neurotrophin receptor-interacting MAGE homolog)	Maged1 Nrage	Mus musculus (Mouse)	775
