From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length
P20357	P20357	reviewed	MTAP2_MOUSE	Microtubule-associated protein 2 (MAP-2)	Map2 Mtap2	Mus musculus (Mouse)	1828
Q8CH02	Q8CH02	reviewed	SUGP1_MOUSE	SURP and G-patch domain-containing protein 1 (Splicing factor 4)	Sugp1 Sf4	Mus musculus (Mouse)	643
Q8BSY0	Q8BSY0	reviewed	ASPH_MOUSE	Aspartyl/asparaginyl beta-hydroxylase (EC 1.14.11.16) (Aspartate beta-hydroxylase) (ASP beta-hydroxylase) (Peptide-aspartate beta-dioxygenase)	Asph Bah	Mus musculus (Mouse)	741
Q9D4H2	Q9D4H2	reviewed	GCC1_MOUSE	GRIP and coiled-coil domain-containing protein 1 (Golgi coiled-coil protein 1)	Gcc1	Mus musculus (Mouse)	778
Q6WQJ1	Q6WQJ1	reviewed	DGLA_MOUSE	Diacylglycerol lipase-alpha (DAGL-alpha) (DGL-alpha) (EC 3.1.1.116) (Neural stem cell-derived dendrite regulator) (Sn1-specific diacylglycerol lipase alpha)	Dagla Kiaa0659 Nsddr	Mus musculus (Mouse)	1044
Q62376	Q62376	reviewed	RU17_MOUSE	U1 small nuclear ribonucleoprotein 70 kDa (U1 snRNP 70 kDa) (U1-70K) (snRNP70)	Snrnp70 Snrp70	Mus musculus (Mouse)	448
Q3V1V3	Q3V1V3	reviewed	ESF1_MOUSE	ESF1 homolog (ABT1-associated protein)	Esf1 Abtap	Mus musculus (Mouse)	845
G5E870	G5E870	reviewed	TRIPC_MOUSE	E3 ubiquitin-protein ligase TRIP12 (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase TRIP12) (Thyroid receptor-interacting protein 12) (TR-interacting protein 12) (TRIP-12)	Trip12	Mus musculus (Mouse)	2025
P58871	P58871	reviewed	TB182_MOUSE	182 kDa tankyrase-1-binding protein	Tnks1bp1 Kiaa1741 Tab182	Mus musculus (Mouse)	1720
O70494	O70494	reviewed	SP3_MOUSE	Transcription factor Sp3	Sp3	Mus musculus (Mouse)	783
Q3UJB9	Q3UJB9	reviewed	EDC4_MOUSE	Enhancer of mRNA-decapping protein 4	Edc4	Mus musculus (Mouse)	1406
Q8C052	Q8C052	reviewed	MAP1S_MOUSE	Microtubule-associated protein 1S (MAP-1S) (BPY2-interacting protein 1) (Microtubule-associated protein 8) [Cleaved into: MAP1S heavy chain; MAP1S light chain]	Map1s Bpy2ip1 Map8 Mtap1s	Mus musculus (Mouse)	973
P57776	P57776	reviewed	EF1D_MOUSE	Elongation factor 1-delta (EF-1-delta)	Eef1d	Mus musculus (Mouse)	281
P48193	P48193	reviewed	EPB41_MOUSE	Protein 4.1 (P4.1) (4.1R) (Band 4.1) (Erythrocyte membrane protein band 4.1)	Epb41 Epb4.1 Kiaa4056	Mus musculus (Mouse)	858
P52483	P52483	reviewed	UB2E3_MOUSE	Ubiquitin-conjugating enzyme E2 E3 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme E3) (UbcM2) (Ubiquitin carrier protein E3) (Ubiquitin-conjugating enzyme E2-23 kDa) (Ubiquitin-protein ligase E3)	Ube2e3 Ubce4 Ubcm2	Mus musculus (Mouse)	207
Q8R010	Q8R010	reviewed	AIMP2_MOUSE	Aminoacyl tRNA synthase complex-interacting multifunctional protein 2 (Multisynthase complex auxiliary component p38) (Protein JTV-1)	Aimp2 Jtv1	Mus musculus (Mouse)	320
Q8BUH8	Q8BUH8	reviewed	SENP7_MOUSE	Sentrin-specific protease 7 (EC 3.4.22.-) (SUMO-1-specific protease 2) (Sentrin/SUMO-specific protease SENP7)	Senp7 Kiaa1707 Susp2	Mus musculus (Mouse)	1037
Q8R574	Q8R574	reviewed	KPRB_MOUSE	Phosphoribosyl pyrophosphate synthase-associated protein 2 (PRPP synthase-associated protein 2) (41 kDa phosphoribosypyrophosphate synthetase-associated protein) (PAP41)	Prpsap2	Mus musculus (Mouse)	369
Q9WU40	Q9WU40	reviewed	MAN1_MOUSE	Inner nuclear membrane protein Man1 (LEM domain-containing protein 3)	Lemd3 Man1	Mus musculus (Mouse)	921
Q9ERQ3	Q9ERQ3	reviewed	ZN704_MOUSE	Zinc finger protein 704 (Glucocorticoid-induced gene 1 protein)	Znf704 Gig1 Zfp704	Mus musculus (Mouse)	566
Q91Z49	Q91Z49	reviewed	UIF_MOUSE	UAP56-interacting factor (Forty-two-three domain-containing protein 1) (Protein 40-2-3)	Fyttd1 Uif	Mus musculus (Mouse)	317
Q8CG79	Q8CG79	reviewed	ASPP2_MOUSE	Apoptosis-stimulating of p53 protein 2 (Tumor suppressor p53-binding protein 2) (53BP2) (p53-binding protein 2) (p53BP2)	Tp53bp2 Aspp2 Trp53bp2	Mus musculus (Mouse)	1128
Q8JZQ9	Q8JZQ9	reviewed	EIF3B_MOUSE	Eukaryotic translation initiation factor 3 subunit B (eIF3b) (Eukaryotic translation initiation factor 3 subunit 9) (eIF-3-eta) (eIF3 p116)	Eif3b Eif3s9	Mus musculus (Mouse)	803
Q7TQD2	Q7TQD2	reviewed	TPPP_MOUSE	Tubulin polymerization-promoting protein (TPPP) (EC 3.6.5.-) (25 kDa brain-specific protein) (TPPP/p25) (p25-alpha)	Tppp	Mus musculus (Mouse)	218
Q5SQF8	Q5SQF8	reviewed	SP30L_MOUSE	Histone deacetylase complex subunit SAP30L (Sin3 corepressor complex subunit SAP30L) (Sin3-associated protein p30-like)	Sap30l	Mus musculus (Mouse)	182
Q99LI7	Q99LI7	reviewed	CSTF3_MOUSE	Cleavage stimulation factor subunit 3 (CF-1 77 kDa subunit) (Cleavage stimulation factor 77 kDa subunit) (CSTF 77 kDa subunit) (CstF-77)	Cstf3	Mus musculus (Mouse)	717
Q9CXG3	Q9CXG3	reviewed	PPIL4_MOUSE	Peptidyl-prolyl cis-trans isomerase-like 4 (PPIase) (EC 5.2.1.8) (Cyclophilin-like protein PPIL4) (Rotamase PPIL4)	Ppil4	Mus musculus (Mouse)	492
Q9CY50	Q9CY50	reviewed	SSRA_MOUSE	Translocon-associated protein subunit alpha (TRAP-alpha) (Signal sequence receptor subunit alpha) (SSR-alpha)	Ssr1	Mus musculus (Mouse)	286
P70399	P70399	reviewed	TP53B_MOUSE	TP53-binding protein 1 (53BP1) (p53-binding protein 1) (p53BP1)	Tp53bp1 Trp53bp1	Mus musculus (Mouse)	1969
Q5U3K5	Q5U3K5	reviewed	RABL6_MOUSE	Rab-like protein 6 (GTP-binding protein Parf) (Rab-like protein 1) (RBEL1)	Rabl6 Parf	Mus musculus (Mouse)	725
A2AR02	A2AR02	reviewed	PPIG_MOUSE	Peptidyl-prolyl cis-trans isomerase G (PPIase G) (Peptidyl-prolyl isomerase G) (EC 5.2.1.8) (Cyclophilin G) (Rotamase G)	Ppig	Mus musculus (Mouse)	752
Q8BSS9	Q8BSS9	reviewed	LIPA2_MOUSE	Liprin-alpha-2 (Protein tyrosine phosphatase receptor type f polypeptide-interacting protein alpha-2) (PTPRF-interacting protein alpha-2)	Ppfia2	Mus musculus (Mouse)	1257
Q8VBT0	Q8VBT0	reviewed	TMX1_MOUSE	Thioredoxin-related transmembrane protein 1 (Thioredoxin domain-containing protein 1)	Tmx1 Txndc Txndc1	Mus musculus (Mouse)	278
Q80XU3	Q80XU3	reviewed	NUCKS_MOUSE	Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1 (JC7)	Nucks1 Nucks	Mus musculus (Mouse)	234
P70288	P70288	reviewed	HDAC2_MOUSE	Histone deacetylase 2 (HD2) (EC 3.5.1.98) (Protein deacylase HDAC2) (EC 3.5.1.-) (YY1 transcription factor-binding protein)	Hdac2 Yy1bp	Mus musculus (Mouse)	488
Q9JKC6	Q9JKC6	reviewed	CEND_MOUSE	Cell cycle exit and neuronal differentiation protein 1 (BM88 antigen)	Cend1 Bm88	Mus musculus (Mouse)	149
P31324	P31324	reviewed	KAP3_MOUSE	cAMP-dependent protein kinase type II-beta regulatory subunit	Prkar2b	Mus musculus (Mouse)	416
Q3B7Z2	Q3B7Z2	reviewed	OSBP1_MOUSE	Oxysterol-binding protein 1	Osbp Kiaa4220	Mus musculus (Mouse)	805
Q99NH2	Q99NH2	reviewed	PARD3_MOUSE	Partitioning defective 3 homolog (PAR-3) (PARD-3) (Atypical PKC isotype-specific-interacting protein) (ASIP) (Ephrin-interacting protein) (PHIP)	Pard3 Par3	Mus musculus (Mouse)	1333
Q810A7	Q810A7	reviewed	DDX42_MOUSE	ATP-dependent RNA helicase DDX42 (EC 3.6.4.13) (DEAD box protein 42)	Ddx42	Mus musculus (Mouse)	929
Q63932	Q63932	reviewed	MP2K2_MOUSE	Dual specificity mitogen-activated protein kinase kinase 2 (MAP kinase kinase 2) (MAPKK 2) (EC 2.7.12.2) (ERK activator kinase 2) (MAPK/ERK kinase 2) (MEK 2)	Map2k2 Mek2 Mkk2 Prkmk2	Mus musculus (Mouse)	401
Q8VCI5	Q8VCI5	reviewed	PEX19_MOUSE	Peroxisomal biogenesis factor 19 (Peroxin-19) (Peroxisomal farnesylated protein) (PxF)	Pex19 Pxf	Mus musculus (Mouse)	299
Q8VBT9	Q8VBT9	reviewed	ASPC1_MOUSE	Tether containing UBX domain for GLUT4 (Alveolar soft part sarcoma chromosomal region candidate gene 1 protein homolog)	Aspscr1 Tug	Mus musculus (Mouse)	550
Q62318	Q62318	reviewed	TIF1B_MOUSE	Transcription intermediary factor 1-beta (TIF1-beta) (E3 SUMO-protein ligase TRIM28) (EC 2.3.2.27) (KRAB-A-interacting protein) (KRIP-1) (RING-type E3 ubiquitin transferase TIF1-beta) (Tripartite motif-containing protein 28)	Trim28 Kap1 Krip1 Tif1b	Mus musculus (Mouse)	834
P15806	P15806	reviewed	TFE2_MOUSE	Transcription factor E2-alpha (Immunoglobulin enhancer-binding factor E12/E47) (Transcription factor 3) (TCF-3) (Transcription factor A1)	Tcf3 Alf2 Me2 Tcfe2a	Mus musculus (Mouse)	651
Q5NCR9	Q5NCR9	reviewed	NSRP1_MOUSE	Nuclear speckle splicing regulatory protein 1 (Coiled-coil domain-containing protein 55) (Nuclear speckle-related protein 70) (NSrp70)	Nsrp1 Ccdc55 Nsrp70	Mus musculus (Mouse)	542
Q99LL5	Q99LL5	reviewed	PWP1_MOUSE	Periodic tryptophan protein 1 homolog	Pwp1	Mus musculus (Mouse)	501
